dates2,cum_cases,cum_deaths,cum_recover,new_cases,new_deaths,new_recover,new_uninfected
03/05/20,0,0,0,,,,
03/06/20,0,0,0,0.0,0.0,0.0,0.0
03/07/20,0,0,0,0.0,0.0,0.0,0.0
03/08/20,1,0,0,1.0,0.0,0.0,0.0
03/09/20,1,0,0,0.0,0.0,0.0,0.0
03/10/20,5,0,0,4.0,0.0,0.0,0.0
03/11/20,5,0,0,0.0,0.0,0.0,0.0
03/12/20,10,0,0,5.0,0.0,0.0,0.0
03/13/20,10,0,0,0.0,0.0,0.0,0.0
03/14/20,10,0,0,0.0,0.0,0.0,0.0
03/15/20,16,0,0,6.0,0.0,0.0,0.0
03/16/20,17,0,0,1.0,0.0,0.0,0.0
03/17/20,22,0,0,5.0,0.0,0.0,0.0
03/18/20,31,0,0,9.0,0.0,0.0,0.0
03/19/20,39,0,0,8.0,0.0,0.0,0.0
03/20/20,71,1,0,32.0,1.0,0.0,1.0
03/21/20,77,1,0,6.0,0.0,0.0,0.0
03/22/20,98,1,0,21.0,0.0,0.0,0.0
03/23/20,116,2,0,18.0,1.0,0.0,1.0
03/24/20,137,2,0,21.0,0.0,0.0,0.0
03/25/20,183,2,0,46.0,0.0,0.0,0.0
03/26/20,231,3,21,48.0,1.0,21.0,22.0
03/27/20,267,3,49,36.0,0.0,28.0,28.0
03/28/20,304,4,51,37.0,1.0,2.0,3.0
03/29/20,342,5,66,38.0,1.0,15.0,16.0
03/30/20,401,9,106,59.0,4.0,40.0,44.0
03/31/20,495,9,121,94.0,0.0,15.0,15.0
04/01/20,586,11,142,91.0,2.0,21.0,23.0
04/02/20,653,12,173,67.0,1.0,31.0,32.0
04/03/20,757,15,206,104.0,3.0,33.0,36.0
04/04/20,902,21,235,145.0,6.0,29.0,35.0
04/05/20,998,22,258,96.0,1.0,23.0,24.0
04/06/20,1097,24,287,99.0,2.0,29.0,31.0
04/07/20,1211,22,318,114.0,-2.0,31.0,29.0
04/08/20,1440,27,361,229.0,5.0,43.0,48.0
