date,cum_case,cum_death,cum_recover,active
20200310,0,0,0,0
20200309,0,0,0,0
20200308,0,0,0,0
20200307,0,0,0,0
20200306,0,0,0,0
20200311,1,0,0,1
20200313,4,0,0,4
20200312,4,0,0,4
20200315,6,0,0,6
20200314,6,0,0,6
20200316,8,0,0,8
20200317,16,0,0,16
20200318,25,0,0,25
20200319,30,0,0,30
20200320,38,0,0,38
20200321,45,0,0,45
20200322,56,0,0,56
20200323,68,0,0,68
20200324,91,0,0,91
20200325,115,0,0,115
20200326,130,1,4,125
20200327,163,2,9,152
20200328,214,3,9,202
20200329,232,6,9,217
20200330,264,6,9,249
20200331,319,10,22,287
20200401,368,11,49,308
20200402,393,12,49,332
20200403,450,14,71,365
