date,cum_case,cum_death,cum_recover,active
20200308,1,0,0,1
20200307,1,0,0,1
20200315,2,0,0,2
20200314,2,0,0,2
20200313,2,0,0,2
20200312,2,0,0,2
20200311,2,0,0,2
20200310,2,0,0,2
20200309,2,0,0,2
20200316,7,0,0,7
20200317,10,0,0,10
20200318,14,0,0,14
20200319,16,0,0,16
20200320,26,0,0,26
20200321,37,0,0,37
20200322,48,0,0,48
20200323,56,0,0,56
20200324,77,1,0,76
20200325,90,1,0,89
20200326,95,0,0,95
20200327,106,0,0,106
20200328,120,0,0,120
20200329,151,0,0,151
20200330,175,0,0,175
20200331,204,0,49,155
20200401,208,1,58,149
20200402,258,1,69,188
20200403,285,2,72,211
