date,cum_case,cum_death,cum_recover,active
20200308,0,0,0,0
20200307,0,0,0,0
20200306,0,0,0,0
20200309,3,0,0,3
20200310,8,0,0,8
20200311,13,0,0,13
20200312,14,0,0,14
20200313,16,0,0,16
20200314,17,0,0,17
20200315,18,0,0,18
20200316,22,0,0,22
20200317,23,0,0,23
20200318,29,0,0,29
20200319,38,0,0,38
20200320,45,0,0,45
20200321,68,0,0,68
20200322,90,0,0,90
20200323,105,0,0,105
20200324,124,0,0,124
20200325,145,1,0,144
20200326,179,1,15,163
20200327,235,3,18,214
20200328,298,3,15,280
20200329,336,4,17,315
20200330,424,6,23,395
20200331,497,7,33,457
20200401,549,9,118,422
20200402,614,11,46,557
20200403,699,11,188,500
