,dates2,cum_cases,cum_deaths,cum_recover,new_cases,new_deaths,new_recover,new_uninfected
0,03/06/20,0,0,0,0,0,0,0
1,03/07/20,1,0,0,1,0,0,0
2,03/08/20,1,0,0,0,0,0,0
3,03/09/20,4,0,0,3,0,0,0
4,03/10/20,6,0,0,2,0,0,0
5,03/11/20,8,0,0,2,0,0,0
6,03/12/20,8,0,0,0,0,0,0
7,03/13/20,11,0,0,3,0,0,0
8,03/14/20,14,0,0,3,0,0,0
9,03/15/20,16,0,0,2,0,0,0
10,03/16/20,21,1,0,5,1,0,1
11,03/17/20,22,1,0,1,0,0,0
12,03/18/20,26,1,0,4,0,0,0
13,03/19/20,35,1,0,9,0,0,0
14,03/20/20,47,1,0,12,0,0,0
15,03/21/20,54,2,0,7,1,0,1
16,03/22/20,99,3,0,45,1,0,1
17,03/23/20,104,3,0,5,0,0,0
18,03/24/20,124,4,0,20,1,0,1
19,03/25/20,157,4,0,33,0,0,0
20,03/26/20,198,4,0,41,0,0,0
21,03/27/20,248,6,0,50,2,0,2
22,03/28/20,302,8,0,54,2,0,2
23,03/29/20,394,9,0,92,1,0,1
24,03/30/20,439,9,0,45,0,0,0
25,03/31/20,480,11,0,41,2,0,2
26,04/01/20,591,17,0,111,6,0,6
27,04/02/20,680,20,0,89,3,0,3
28,04/03/20,770,31,0,90,11,0,11
29,04/04/20,831,37,0,61,6,0,6
30,04/05/20,917,40,0,86,3,0,3
31,04/06/20,955,45,0,38,5,0,5
32,04/07/20,1008,59,0,53,14,0,14
33,04/08/20,1149,65,0,141,6,0,6
34,04/09/20,1346,73,0,197,8,0,8
