,dates2,cum_cases,cum_deaths,cum_recover,new_cases,new_deaths,new_recover,new_uninfected
0,03/05/20,0,0,0.0,0,0,0,0
1,03/06/20,3,0,0.0,3,0,0,0
2,03/07/20,3,0,0.0,0,0,0,0
3,03/08/20,3,0,0.0,0,0,0,0
4,03/09/20,5,0,0.0,2,0,0,0
5,03/10/20,6,0,0.0,1,0,0,0
6,03/11/20,9,0,0.0,3,0,0,0
7,03/12/20,12,0,0.0,3,0,0,0
8,03/13/20,17,0,0.0,5,0,0,0
9,03/14/20,26,0,0.0,9,0,0,0
10,03/15/20,31,0,0.0,5,0,0,0
11,03/16/20,37,0,0.0,6,0,0,0
12,03/17/20,57,0,0.0,20,0,0,0
13,03/18/20,85,0,0.0,28,0,0,0
14,03/19/20,107,1,0.0,22,1,0,1
15,03/20/20,149,1,0.0,42,0,0,0
16,03/21/20,190,2,0.0,41,1,0,1
17,03/22/20,244,3,0.0,54,1,0,1
18,03/23/20,288,3,0.0,44,0,0,0
19,03/24/20,349,3,0.0,61,0,0,0
20,03/25/20,423,4,0.0,74,1,0,1
21,03/26/20,580,4,0.0,157,0,0,0
22,03/27/20,774,5,25.0,194,1,25,26
23,03/28/20,992,5,,218,0,0,-25
24,03/29/20,1239,10,,247,5,0,5
25,03/30/20,1413,15,,174,5,0,5
26,03/31/20,1660,18,,247,3,0,3
27,04/01/20,1985,31,,325,13,0,13
28,04/02/20,2331,36,81.0,346,5,0,86
29,04/03/20,2758,42,159.0,427,6,78,84
30,04/04/20,3125,53,159.0,367,11,0,11
31,04/05/20,3609,67,159.0,484,14,0,14
32,04/06/20,4045,91,184.0,436,24,25,49
33,04/07/20,4371,103,288.0,326,12,104,116
34,04/08/20,5529,124,365.0,1158,21,77,98
35,04/09/20,6185,138,376.0,656,14,11,25
36,04/10/20,6968,171,397.0,783,33,21,54
