date,cum_case,cum_death,cum_recover,active
20200311,0,0,0,0
20200310,0,0,0,0
20200309,0,0,0,0
20200308,0,0,0,0
20200307,0,0,0,0
20200312,1,0,0,1
20200315,3,0,0,3
20200314,3,0,0,3
20200313,3,0,0,3
20200316,17,0,0,17
20200317,32,0,0,32
20200318,43,0,0,43
20200319,53,0,0,53
20200320,57,0,0,57
20200321,73,0,0,73
20200322,89,0,0,89
20200323,107,0,0,107
20200324,125,0,0,125
20200325,149,0,7,142
20200326,155,0,16,139
20200327,168,1,24,143
20200328,211,1,36,174
20200329,253,3,41,209
20200330,275,3,41,231
20200331,303,5,68,230
20200401,344,7,80,257
20200402,376,7,94,275
20200403,432,9,113,310
