,dates2,cum_cases,cum_deaths,cum_recover,new_cases,new_deaths,new_recover,new_uninfected
0,03/05/20,0,0,0,0,0,0,0
1,03/06/20,0,0,0,0,0,0,0
2,03/07/20,0,0,0,0,0,0,0
3,03/08/20,0,0,0,0,0,0,0
4,03/09/20,0,0,0,0,0,0,0
5,03/10/20,0,0,0,0,0,0,0
6,03/11/20,2,0,0,2,0,0,0
7,03/12/20,2,0,0,0,0,0,0
8,03/13/20,16,0,0,14,0,0,0
9,03/14/20,25,0,0,9,0,0,0
10,03/15/20,33,0,0,8,0,0,0
11,03/16/20,53,0,0,20,0,0,0
12,03/17/20,65,0,0,12,0,0,0
13,03/18/20,80,0,0,15,0,0,0
14,03/19/20,336,3,0,256,3,0,3
15,03/20/20,549,3,0,213,0,0,0
16,03/21/20,787,5,0,238,2,0,2
17,03/22/20,1035,8,0,248,3,0,3
18,03/23/20,1328,15,0,293,7,0,7
19,03/24/20,1791,24,0,463,9,0,9
20,03/25/20,7060,43,0,5269,19,0,19
21,03/26/20,7767,60,0,707,17,0,17
22,03/27/20,8659,92,0,892,32,0,32
23,03/28/20,9287,92,0,628,0,0,0
24,03/29/20,10010,132,0,723,40,0,40
25,03/30/20,10901,184,0,891,52,0,52
26,03/31/20,11875,259,0,974,75,0,75
27,04/01/20,12888,337,0,1013,78,0,78
28,04/02/20,14117,417,0,1229,80,0,80
29,04/03/20,15252,479,56,1135,62,56,118
30,04/04/20,16395,540,56,1143,61,0,61
31,04/05/20,17567,617,56,1172,77,0,77
32,04/06/20,18850,727,56,1283,110,0,110
33,04/07/20,19823,845,56,973,118,0,118
34,04/08/20,20589,959,56,766,114,0,114
35,04/09/20,21504,1076,56,915,117,0,117
