date,cum_case,cum_death,cum_recover,active
20200311,0,0,0,0
20200310,0,0,0,0
20200309,0,0,0,0
20200308,0,0,0,0
20200307,0,0,0,0
20200316,1,0,0,1
20200315,1,0,0,1
20200314,1,0,0,1
20200313,1,0,0,1
20200312,1,0,0,1
20200317,3,0,0,3
20200318,6,0,0,6
20200319,15,0,0,15
20200320,20,0,0,20
20200322,28,0,0,28
20200321,28,0,0,28
20200323,30,0,0,30
20200324,34,0,0,34
20200325,39,0,0,39
20200326,52,0,0,52
20200327,65,0,15,50
20200328,83,1,16,66
20200329,98,1,18,79
20200330,109,2,19,88
20200331,126,3,30,93
20200401,142,3,34,105
20200402,159,3,43,113
20200403,173,3,55,115
