date,cum_case,cum_death,cum_recover,active
20200307,2,0,0,2
20200306,2,0,0,2
20200305,2,0,0,2
20200304,2,0,0,2
20200311,4,0,0,4
20200310,4,0,0,4
20200309,4,0,0,4
20200308,4,0,0,4
20200313,6,0,0,6
20200312,6,0,0,6
20200314,7,0,0,7
20200316,13,0,0,13
20200315,13,0,0,13
20200317,17,0,0,17
20200318,26,0,0,26
20200319,39,0,0,39
20200320,44,0,0,44
20200321,55,0,0,55
20200322,65,0,0,65
20200323,78,0,0,78
20200324,101,1,0,100
20200325,108,1,0,107
20200326,137,1,0,136
20200327,158,1,0,157
20200328,187,2,0,185
20200329,214,2,0,212
20200331,314,3,0,311
20200330,314,3,0,311
20200402,415,4,91,320
20200401,415,4,56,355
20200403,479,5,101,373
