date,cum_case,cum_death,cum_recover,active
20200310,0,0,0,0
20200309,0,0,0,0
20200308,0,0,0,0
20200307,0,0,0,0
20200306,0,0,0,0
20200311,3,0,0,3
20200312,5,0,0,5
20200314,10,0,0,10
20200313,10,0,0,10
20200315,13,0,0,13
20200316,17,0,0,17
20200317,23,0,0,23
20200318,28,0,0,28
20200319,35,0,0,35
20200320,43,0,0,43
20200322,57,0,0,57
20200321,57,0,0,57
20200323,65,0,0,65
20200324,83,0,0,83
20200325,100,1,0,99
20200326,112,1,0,111
20200327,136,1,0,135
20200328,191,1,0,190
20200330,237,2,26,209
20200329,237,2,2,233
20200331,281,4,26,251
20200401,315,5,26,284
20200402,363,6,26,331
20200403,403,7,26,370
