date,cum_case,cum_death,cum_recover,active
20200304,6,0,0,6
20200305,22,0,0,22
20200306,33,0,0,33
20200307,76,0,0,76
20200308,105,0,0,105
20200309,142,0,0,142
20200310,173,0,0,173
20200312,216,0,0,216
20200311,216,0,0,216
20200313,421,0,0,421
20200314,524,0,0,524
20200315,729,3,0,726
20200316,950,7,0,943
20200317,1700,7,0,1693
20200318,2382,12,0,2370
20200319,4152,12,0,4140
20200320,7102,35,0,7067
20200321,10356,44,0,10312
20200322,15168,114,0,15054
20200323,20875,114,0,20761
20200324,25665,210,0,25455
20200325,30811,285,0,30526
20200326,37258,385,0,36873
20200327,44635,519,2045,42071
20200328,52318,728,2726,48864
20200329,59513,965,3572,54976
20200330,66497,1218,4204,61075
20200331,75795,1550,4975,69270
20200401,83712,1941,6142,75629
20200402,92381,2373,7434,82574
20200403,102863,2935,8886,91042
