dates2,cum_cases,cum_deaths,cum_recover,new_cases,new_deaths,new_recover,new_uninfected
03/07/20,1,0,0,0,0,0,0
03/08/20,1,0,0,0,0,0,0
03/09/20,1,0,0,0,0,0,0
03/10/20,2,0,0,1,0,0,0
03/11/20,2,0,0,0,0,0,0
03/12/20,3,0,0,1,0,0,0
03/13/20,3,0,0,0,0,0,0
03/14/20,4,0,0,1,0,0,0
03/15/20,9,0,0,5,0,0,0
03/16/20,10,0,0,1,0,0,0
03/17/20,17,0,0,7,0,0,0
03/18/20,29,0,0,12,0,0,0
03/19/20,44,1,0,15,1,0,1
03/20/20,49,1,0,5,0,0,0
03/21/20,53,1,0,4,0,0,0
03/22/20,67,2,0,14,1,0,1
03/23/20,81,2,0,14,0,0,0
03/24/20,106,3,0,25,1,0,1
03/25/20,164,5,0,58,2,0,2
03/26/20,248,7,0,84,2,0,2
03/27/20,322,8,0,74,1,0,1
03/28/20,377,15,0,55,7,0,7
03/29/20,429,16,0,52,1,0,1
03/30/20,481,17,0,52,1,0,1
03/31/20,565,23,0,84,6,0,6
04/01/20,719,30,0,154,7,0,7
04/02/20,879,34,0,160,4,0,4
04/03/20,988,38,383,109,4,383,387
04/04/20,1159,42,0,171,4,-383,-379
04/05/20,1252,46,0,93,4,0,4
04/06/20,1327,51,522,75,5,522,527
04/07/20,1472,67,612,145,16,90,106
04/08/20,1524,79,686,52,12,74,86
04/09/20,1684,80,686,160,1,0,1
