date,cum_case,cum_death,cum_recover,active
20200307,2,0,0,2
20200310,3,0,0,3
20200309,3,0,0,3
20200308,3,0,0,3
20200312,5,0,0,5
20200311,5,0,0,5
20200313,14,0,0,14
20200315,20,0,0,20
20200314,20,0,0,20
20200317,21,0,0,21
20200316,21,0,0,21
20200319,33,0,0,33
20200318,33,0,0,33
20200320,54,0,0,54
20200321,66,0,0,66
20200322,83,0,0,83
20200324,106,0,0,106
20200323,106,0,0,106
20200325,124,0,0,124
20200327,165,0,0,165
20200326,165,0,0,165
20200328,203,0,0,203
20200329,294,3,0,291
20200330,408,4,0,404
20200331,488,8,35,445
20200401,566,10,35,521
20200402,657,12,35,610
20200403,711,14,35,662
