,dates2,cum_cases,cum_deaths,cum_recover,new_cases,new_deaths,new_recover,new_uninfected
0,03/05/20,1,0,0.0,0,0,0,0
1,03/06/20,1,0,0.0,0,0,0,0
2,03/07/20,1,0,0.0,0,0,0,0
3,03/08/20,3,0,0.0,2,0,0,0
4,03/09/20,3,0,0.0,0,0,0,0
5,03/10/20,7,0,0.0,4,0,0,0
6,03/11/20,7,0,0.0,0,0,0,0
7,03/12/20,18,0,0.0,11,0,0,0
8,03/13/20,26,0,0.0,8,0,0,0
9,03/14/20,32,0,0.0,6,0,0,0
10,03/15/20,39,0,0.0,7,0,0,0
11,03/16/20,52,0,0.0,13,0,0,0
12,03/17/20,73,0,0.0,21,0,0,0
13,03/18/20,98,0,0.0,25,0,0,0
14,03/19/20,154,0,0.0,56,0,0,0
15,03/20/20,228,0,0.0,74,0,0,0
16,03/21/20,371,0,0.0,143,0,0,0
17,03/22/20,505,0,0.0,134,0,0,0
18,03/23/20,615,2,0.0,110,2,0,2
19,03/24/20,667,2,0.0,52,0,0,0
20,03/25/20,784,3,0.0,117,1,0,1
21,03/26/20,957,3,0.0,173,0,0,0
22,03/27/20,1203,6,0.0,246,3,0,3
23,03/28/20,1373,6,0.0,170,0,0,0
24,03/29/20,1537,7,0.0,164,1,0,1
25,03/30/20,1834,13,0.0,297,6,0,6
26,03/31/20,2239,23,121.0,405,10,121,131
27,04/01/20,2683,24,137.0,444,1,16,17
28,04/02/20,2845,32,220.0,162,8,83,91
29,04/03/20,3067,37,248.0,222,5,28,33
30,04/04/20,3321,43,416.0,254,6,168,174
31,04/05/20,3633,44,,312,1,0,-120
32,04/06/20,3802,65,416.0,169,21,0,82
33,04/07/20,4138,72,466.0,336,7,50,117
34,04/08/20,4362,79,592.0,224,7,126,133
35,04/09/20,4634,94,921.0,272,15,329,344
