dates2,cum_cases,cum_deaths,cum_recover,new_cases,new_deaths,new_recover,new_uninfected
03/16/20,1,0,0,0,0,0,0
03/17/20,2,0,0,1,0,0,0
03/18/20,2,0,0,0,0,0,0
03/19/20,3,0,0,1,0,0,0
03/20/20,3,0,0,0,0,0,0
03/21/20,6,0,0,3,0,0,0
03/22/20,6,0,0,0,0,0,0
03/23/20,17,0,0,11,0,0,0
03/24/20,17,0,0,0,0,0,0
03/25/20,17,0,0,0,0,0,0
03/26/20,17,0,0,0,0,0,0
03/27/20,19,0,0,2,0,0,0
03/28/20,22,0,0,3,0,0,0
03/29/20,23,0,0,1,0,0,0
03/30/20,30,0,0,7,0,0,0
03/31/20,30,0,21,0,0,21,21
04/01/20,30,0,21,0,0,0,0
04/02/20,33,0,25,3,0,4,4
04/03/20,38,0,29,5,0,4,4
04/04/20,40,0,34,2,0,5,5
04/05/20,42,1,34,2,1,0,1
04/06/20,43,1,36,1,0,2,2
04/07/20,43,1,36,0,0,0,0
04/08/20,45,1,39,2,0,3,3
04/09/20,46,1,39,1,0,0,0
