date,cum_case,cum_death,cum_recover,active
20200307,0,0,0,0
20200306,0,0,0,0
20200311,1,0,0,1
20200310,1,0,0,1
20200309,1,0,0,1
20200308,1,0,0,1
20200313,2,0,0,2
20200312,2,0,0,2
20200315,4,0,0,4
20200314,4,0,0,4
20200316,8,0,0,8
20200317,10,0,0,10
20200318,19,0,0,19
20200319,22,0,0,22
20200321,29,2,0,27
20200320,29,2,0,27
20200322,52,2,0,50
20200323,75,5,0,70
20200324,95,7,0,88
20200325,123,8,0,115
20200326,158,9,0,149
20200327,184,10,0,174
20200328,211,12,0,199
20200329,235,12,0,223
20200330,256,12,0,244
20200331,293,13,15,265
20200401,321,16,15,290
20200402,338,17,15,306
20200403,389,17,15,357
