,dates2,cum_cases,cum_deaths,cum_recover,new_cases,new_deaths,new_recover,new_uninfected
0,1/22/20,0,0,0,0,0,0,0
1,1/23/20,0,0,0,0,0,0,0
2,1/24/20,0,0,0,0,0,0,0
3,1/25/20,0,0,0,0,0,0,0
4,1/26/20,0,0,0,0,0,0,0
5,1/27/20,0,0,0,0,0,0,0
6,1/28/20,0,0,0,0,0,0,0
7,1/29/20,4,0,0,4,0,0,0
8,1/30/20,4,0,0,0,0,0,0
9,1/31/20,4,0,0,0,0,0,0
10,2/1/20,4,0,0,0,0,0,0
11,2/2/20,5,0,0,1,0,0,0
12,2/3/20,5,0,0,0,0,0,0
13,2/4/20,5,0,0,0,0,0,0
14,2/5/20,5,0,0,0,0,0,0
15,2/6/20,5,0,0,0,0,0,0
16,2/7/20,5,0,0,0,0,0,0
17,2/8/20,7,0,0,2,0,0,0
18,2/9/20,7,0,0,0,0,0,0
19,2/10/20,8,0,0,1,0,0,0
20,2/11/20,8,0,0,0,0,0,0
21,2/12/20,8,0,1,0,0,1,1
22,2/13/20,8,0,1,0,0,0,0
23,2/14/20,8,0,1,0,0,0,0
24,2/15/20,8,0,3,0,0,2,2
25,2/16/20,9,0,4,1,0,1,1
26,2/17/20,9,0,4,0,0,0,0
27,2/18/20,9,0,4,0,0,0,0
28,2/19/20,9,0,4,0,0,0,0
29,2/20/20,9,0,4,0,0,0,0
30,2/21/20,9,0,4,0,0,0,0
31,2/22/20,13,0,4,4,0,0,0
32,2/23/20,13,0,4,0,0,0,0
33,2/24/20,13,0,4,0,0,0,0
34,2/25/20,13,0,4,0,0,0,0
35,2/26/20,13,0,4,0,0,0,0
36,2/27/20,13,0,4,0,0,0,0
37,2/28/20,19,0,5,6,0,1,1
38,2/29/20,21,0,5,2,0,0,0
39,3/1/20,21,0,5,0,0,0,0
40,3/2/20,21,0,5,0,0,0,0
41,3/3/20,27,0,5,6,0,0,0
42,3/4/20,27,0,5,0,0,0,0
43,3/5/20,29,0,5,2,0,0,0
44,3/6/20,29,0,5,0,0,0,0
45,3/7/20,45,0,7,16,0,2,2
46,3/8/20,45,0,7,0,0,0,0
47,3/9/20,45,0,7,0,0,0,0
48,3/10/20,74,0,12,29,0,5,5
49,3/11/20,74,0,17,0,0,5,5
50,3/12/20,85,0,17,11,0,0,0
51,3/13/20,85,0,17,0,0,0,0
52,3/14/20,85,0,17,0,0,0,0
53,3/15/20,98,0,23,13,0,6,6
54,3/16/20,98,0,23,0,0,0,0
55,3/17/20,98,0,23,0,0,0,0
56,3/18/20,113,0,26,15,0,3,3
57,3/19/20,140,0,31,27,0,5,5
58,3/20/20,140,2,31,0,2,0,2
59,3/21/20,153,2,38,13,0,7,7
60,3/22/20,153,2,38,0,0,0,0
61,3/23/20,198,2,38,45,0,0,0
62,3/24/20,248,2,45,50,0,7,7
63,3/25/20,333,2,52,85,0,7,7
64,3/26/20,333,2,52,0,0,0,0
65,3/27/20,405,2,52,72,0,0,0
66,3/28/20,468,2,52,63,0,0,0
67,3/29/20,570,3,58,102,1,6,7
68,3/30/20,611,5,61,41,2,3,5
69,3/31/20,664,6,61,53,1,0,1
70,4/1/20,814,8,61,150,2,0,2
71,4/2/20,1024,8,96,210,0,35,35
72,4/3/20,1264,9,108,240,1,12,13
73,4/4/20,1505,10,125,241,1,17,18
74,4/5/20,1799,10,144,294,0,19,19
75,4/6/20,2076,11,167,277,1,23,24
76,4/7/20,2359,12,186,283,1,19,20
77,4/8/20,2659,12,239,300,0,53,53
78,4/9/20,2990,14,268,331,2,29,31
79,4/10/20,3360,16,418,370,2,150,152
