,dates2,cum_cases,cum_deaths,cum_recover,new_cases,new_deaths,new_recover,new_uninfected
0,01/22/20,0,0,0,0,0,0,0
1,01/23/20,0,0,0,0,0,0,0
2,01/24/20,0,0,0,0,0,0,0
3,01/25/20,0,0,0,0,0,0,0
4,01/26/20,0,0,0,0,0,0,0
5,01/27/20,0,0,0,0,0,0,0
6,01/28/20,0,0,0,0,0,0,0
7,01/29/20,0,0,0,0,0,0,0
8,01/30/20,0,0,0,0,0,0,0
9,01/31/20,0,0,0,0,0,0,0
10,02/01/20,0,0,0,0,0,0,0
11,02/02/20,0,0,0,0,0,0,0
12,02/03/20,0,0,0,0,0,0,0
13,02/04/20,0,0,0,0,0,0,0
14,02/05/20,0,0,0,0,0,0,0
15,02/06/20,0,0,0,0,0,0,0
16,02/07/20,0,0,0,0,0,0,0
17,02/08/20,0,0,0,0,0,0,0
18,02/09/20,0,0,0,0,0,0,0
19,02/10/20,0,0,0,0,0,0,0
20,02/11/20,0,0,0,0,0,0,0
21,02/12/20,0,0,0,0,0,0,0
22,02/13/20,0,0,0,0,0,0,0
23,02/14/20,0,0,0,0,0,0,0
24,02/15/20,0,0,0,0,0,0,0
25,02/16/20,0,0,0,0,0,0,0
26,02/17/20,0,0,0,0,0,0,0
27,02/18/20,0,0,0,0,0,0,0
28,02/19/20,0,0,0,0,0,0,0
29,02/20/20,0,0,0,0,0,0,0
30,02/21/20,0,0,0,0,0,0,0
31,02/22/20,0,0,0,0,0,0,0
32,02/23/20,0,0,0,0,0,0,0
33,02/24/20,0,0,0,0,0,0,0
34,02/25/20,0,0,0,0,0,0,0
35,02/26/20,0,0,0,0,0,0,0
36,02/27/20,0,0,0,0,0,0,0
37,02/28/20,0,0,0,0,0,0,0
38,02/29/20,0,0,0,0,0,0,0
39,03/01/20,0,0,0,0,0,0,0
40,03/02/20,0,0,0,0,0,0,0
41,03/03/20,0,0,0,0,0,0,0
42,03/04/20,0,0,0,0,0,0,0
43,03/05/20,0,0,0,0,0,0,0
44,03/06/20,0,0,0,0,0,0,0
45,03/07/20,0,0,0,0,0,0,0
46,03/08/20,0,0,0,0,0,0,0
47,03/09/20,2,0,0,2,0,0,0
48,03/10/20,10,0,0,8,0,0,0
49,03/11/20,12,1,0,2,1,0,1
50,03/12/20,23,1,0,11,0,0,0
51,03/13/20,33,1,0,10,0,0,0
52,03/14/20,38,1,0,5,0,0,0
53,03/15/20,42,1,0,4,0,0,0
54,03/16/20,51,1,0,9,0,0,0
55,03/17/20,55,1,0,4,0,0,0
56,03/18/20,59,2,0,4,1,0,1
57,03/19/20,64,2,0,5,0,0,0
58,03/20/20,70,2,0,6,0,0,0
59,03/21/20,76,2,2,6,0,2,2
60,03/22/20,89,2,2,13,0,0,0
61,03/23/20,104,4,2,15,2,0,2
62,03/24/20,123,5,10,19,1,8,9
63,03/25/20,146,5,17,23,0,7,7
64,03/26/20,174,6,17,28,1,0,1
65,03/27/20,186,8,31,12,2,14,16
66,03/28/20,197,10,31,11,2,0,2
67,03/29/20,212,10,33,15,0,2,2
68,03/30/20,223,11,44,11,1,11,12
69,03/31/20,243,15,52,20,4,8,12
70,04/01/20,259,15,67,16,0,15,15
71,04/02/20,277,16,76,18,1,9,10
72,04/03/20,304,17,89,27,1,13,14
73,04/04/20,333,20,99,29,3,10,13
74,04/05/20,361,20,104,28,0,5,5
75,04/06/20,377,21,116,16,1,12,13
76,04/07/20,383,22,131,6,1,15,16
77,04/08/20,400,22,154,17,0,23,23
78,04/09/20,409,23,165,9,1,11,12
79,04/10/20,416,23,182,7,0,17,17
80,04/11/20,433,23,197,17,0,15,15
81,04/12/20,446,23,217,13,0,20,20
82,04/13/20,467,23,232,21,0,15,15
83,04/14/20,475,24,248,8,1,16,17
84,04/15/20,494,25,251,19,1,3,4
