,dates2,cum_cases,cum_deaths,cum_recover,new_cases,new_deaths,new_recover,new_uninfected
0,01/22/20,0,0,0.0,0,0,0,0
1,01/23/20,0,0,0.0,0,0,0,0
2,01/24/20,0,0,0.0,0,0,0,0
3,01/25/20,0,0,0.0,0,0,0,0
4,01/26/20,0,0,0.0,0,0,0,0
5,01/27/20,0,0,0.0,0,0,0,0
6,01/28/20,0,0,0.0,0,0,0,0
7,01/29/20,0,0,0.0,0,0,0,0
8,01/30/20,0,0,0.0,0,0,0,0
9,01/31/20,0,0,0.0,0,0,0,0
10,02/01/20,0,0,0.0,0,0,0,0
11,02/02/20,0,0,0.0,0,0,0,0
12,02/03/20,0,0,0.0,0,0,0,0
13,02/04/20,0,0,0.0,0,0,0,0
14,02/05/20,0,0,0.0,0,0,0,0
15,02/06/20,0,0,0.0,0,0,0,0
16,02/07/20,0,0,0.0,0,0,0,0
17,02/08/20,0,0,0.0,0,0,0,0
18,02/09/20,0,0,0.0,0,0,0,0
19,02/10/20,0,0,0.0,0,0,0,0
20,02/11/20,0,0,0.0,0,0,0,0
21,02/12/20,0,0,0.0,0,0,0,0
22,02/13/20,0,0,0.0,0,0,0,0
23,02/14/20,0,0,0.0,0,0,0,0
24,02/15/20,0,0,0.0,0,0,0,0
25,02/16/20,0,0,0.0,0,0,0,0
26,02/17/20,0,0,0.0,0,0,0,0
27,02/18/20,0,0,0.0,0,0,0,0
28,02/19/20,0,0,0.0,0,0,0,0
29,02/20/20,0,0,0.0,0,0,0,0
30,02/21/20,0,0,0.0,0,0,0,0
31,02/22/20,0,0,0.0,0,0,0,0
32,02/23/20,0,0,0.0,0,0,0,0
33,02/24/20,0,0,0.0,0,0,0,0
34,02/25/20,1,0,0.0,1,0,0,0
35,02/26/20,1,0,0.0,0,0,0,0
36,02/27/20,1,0,0.0,0,0,0,0
37,02/28/20,1,0,0.0,0,0,0,0
38,02/29/20,1,0,0.0,0,0,0,0
39,03/01/20,1,0,0.0,0,0,0,0
40,03/02/20,3,0,0.0,2,0,0,0
41,03/03/20,5,0,0.0,2,0,0,0
42,03/04/20,12,0,0.0,7,0,0,0
43,03/05/20,12,0,0.0,0,0,0,0
44,03/06/20,17,0,0.0,5,0,0,0
45,03/07/20,17,0,0.0,0,0,0,0
46,03/08/20,19,0,0.0,2,0,0,0
47,03/09/20,20,0,0.0,1,0,0,0
48,03/10/20,20,0,0.0,0,0,0,0
49,03/11/20,20,0,0.0,0,0,0,0
50,03/12/20,24,1,8.0,4,1,8,9
51,03/13/20,26,2,8.0,2,1,0,1
52,03/14/20,37,3,12.0,11,1,4,5
53,03/15/20,48,4,12.0,11,1,0,1
54,03/16/20,54,4,12.0,6,0,0,0
55,03/17/20,60,4,12.0,6,0,0,0
56,03/18/20,74,7,12.0,14,3,0,3
57,03/19/20,87,9,32.0,13,2,20,22
58,03/20/20,90,11,32.0,3,2,0,2
59,03/21/20,139,15,32.0,49,4,0,4
60,03/22/20,201,17,65.0,62,2,33,35
61,03/23/20,230,17,65.0,29,0,0,0
62,03/24/20,264,19,,34,2,0,-39
63,03/25/20,302,21,65.0,38,2,0,43
64,03/26/20,367,25,,65,4,0,-32
65,03/27/20,409,26,65.0,42,1,0,1
66,03/28/20,454,29,65.0,45,3,0,5
67,03/29/20,511,31,65.0,57,2,0,2
68,03/30/20,584,35,65.0,73,4,0,10
69,03/31/20,716,44,65.0,132,9,0,18
70,04/01/20,847,58,65.0,131,14,0,29
71,04/02/20,986,86,65.0,139,28,0,28
72,04/03/20,1171,105,65.0,185,19,0,20
73,04/04/20,1251,130,90.0,80,25,25,53
74,04/05/20,1320,152,90.0,69,22,0,22
75,04/06/20,1423,173,90.0,103,21,0,21
76,04/07/20,1468,193,113.0,45,20,23,43
77,04/08/20,1572,205,237.0,104,12,124,136
78,04/09/20,1666,235,347.0,94,30,110,140
79,04/10/20,1761,256,405.0,95,21,58,79
80,04/11/20,1825,275,460.0,64,19,55,74
81,04/12/20,1914,293,591.0,89,18,131,149
82,04/13/20,1983,313,601.0,69,20,10,30
83,04/14/20,2070,326,691.0,87,13,90,103
84,04/15/20,2160,336,708.0,90,10,17,27
85,04/16/20,2268,348,783.0,108,12,75,87
86,04/17/20,2418,364,846.0,150,16,63,79
87,04/18/20,2534,367,894.0,116,3,48,51
88,04/19/20,2629,375,1047.0,95,8,153,161
89,04/20/20,2718,384,1099.0,89,9,52,61
90,04/21/20,2811,392,1152.0,93,8,53,61
91,04/22/20,2910,402,1204.0,99,10,52,62
92,04/23/20,3007,407,1355.0,97,5,151,156
93,04/24/20,3127,415,1408.0,120,8,53,61
94,04/25/20,3256,419,1479.0,129,4,71,75
95,04/26/20,3382,425,1508.0,126,6,29,35
