dates2,cum_cases,cum_deaths,cum_recover,new_cases,new_deaths,new_recover,new_uninfected
01/22/20,0,0,0,0,0,0,0
01/23/20,0,0,0,0,0,0,0
01/24/20,0,0,0,0,0,0,0
01/25/20,0,0,0,0,0,0,0
01/26/20,0,0,0,0,0,0,0
01/27/20,0,0,0,0,0,0,0
01/28/20,0,0,0,0,0,0,0
01/29/20,0,0,0,0,0,0,0
01/30/20,0,0,0,0,0,0,0
01/31/20,0,0,0,0,0,0,0
02/01/20,0,0,0,0,0,0,0
02/02/20,0,0,0,0,0,0,0
02/03/20,0,0,0,0,0,0,0
02/04/20,0,0,0,0,0,0,0
02/05/20,0,0,0,0,0,0,0
02/06/20,0,0,0,0,0,0,0
02/07/20,0,0,0,0,0,0,0
02/08/20,0,0,0,0,0,0,0
02/09/20,0,0,0,0,0,0,0
02/10/20,0,0,0,0,0,0,0
02/11/20,0,0,0,0,0,0,0
02/12/20,0,0,0,0,0,0,0
02/13/20,0,0,0,0,0,0,0
02/14/20,0,0,0,0,0,0,0
02/15/20,0,0,0,0,0,0,0
02/16/20,0,0,0,0,0,0,0
02/17/20,0,0,0,0,0,0,0
02/18/20,0,0,0,0,0,0,0
02/19/20,0,0,0,0,0,0,0
02/20/20,0,0,0,0,0,0,0
02/21/20,0,0,0,0,0,0,0
02/22/20,0,0,0,0,0,0,0
02/23/20,0,0,0,0,0,0,0
02/24/20,0,0,0,0,0,0,0
02/25/20,0,0,0,0,0,0,0
02/26/20,0,0,0,0,0,0,0
02/27/20,0,0,0,0,0,0,0
02/28/20,0,0,0,0,0,0,0
02/29/20,0,0,0,0,0,0,0
03/01/20,1,0,0,1,0,0,0
03/02/20,1,0,0,0,0,0,0
03/03/20,1,0,0,0,0,0,0
03/04/20,1,0,0,0,0,0,0
03/05/20,1,0,0,0,0,0,0
03/06/20,1,0,0,0,0,0,0
03/07/20,1,0,0,0,0,0,0
03/08/20,1,0,0,0,0,0,0
03/09/20,1,0,0,0,0,0,0
03/10/20,1,0,0,0,0,0,0
03/11/20,1,0,0,0,0,0,0
03/12/20,4,0,0,3,0,0,0
03/13/20,8,0,0,4,0,0,0
03/14/20,18,0,0,10,0,0,0
03/15/20,26,0,0,8,0,0,0
03/16/20,52,0,0,26,0,0,0
03/17/20,78,0,1,26,0,1,1
03/18/20,84,0,1,6,0,0,0
03/19/20,115,0,1,31,0,0,0
03/20/20,136,0,1,21,0,0,0
03/21/20,160,0,1,24,0,0,0
03/22/20,194,0,2,34,0,1,1
03/23/20,235,0,2,41,0,0,0
03/24/20,249,0,14,14,0,12,12
03/25/20,265,0,16,16,0,2,2
03/26/20,290,1,18,25,1,2,3
03/27/20,329,1,28,39,0,10,10
03/28/20,407,1,30,78,0,2,2
03/29/20,424,3,30,17,2,0,2
03/30/20,482,3,30,58,0,0,0
03/31/20,532,3,30,50,0,0,0
04/01/20,571,4,31,39,1,1,2
04/02/20,663,7,33,92,3,2,5
04/03/20,736,7,43,73,0,10,10
04/04/20,770,7,43,34,0,0,0
04/05/20,822,7,57,52,0,14,14
04/06/20,833,8,62,11,1,5,6
04/07/20,853,8,87,20,0,25,25
04/08/20,881,9,114,28,1,27,28
04/09/20,921,10,138,40,1,24,25
04/10/20,937,12,149,16,2,11,13
04/11/20,967,13,173,30,1,24,25
04/12/20,1013,13,197,46,0,24,24
04/13/20,1039,14,211,26,1,14,15
04/14/20,1067,16,265,28,2,54,56
04/15/20,1111,17,297,44,1,32,33
04/16/20,1159,18,358,48,1,61,62
