,dates2,cum_cases,cum_deaths,cum_recover,new_cases,new_deaths,new_recover,new_uninfected
0,01/22/20,0,0,0.0,0,0,0,0
1,01/23/20,0,0,0.0,0,0,0,0
2,01/24/20,0,0,0.0,0,0,0,0
3,01/25/20,0,0,0.0,0,0,0,0
4,01/26/20,0,0,0.0,0,0,0,0
5,01/27/20,0,0,0.0,0,0,0,0
6,01/28/20,0,0,0.0,0,0,0,0
7,01/29/20,0,0,0.0,0,0,0,0
8,01/30/20,0,0,0.0,0,0,0,0
9,01/31/20,0,0,0.0,0,0,0,0
10,02/01/20,0,0,0.0,0,0,0,0
11,02/02/20,0,0,0.0,0,0,0,0
12,02/03/20,0,0,0.0,0,0,0,0
13,02/04/20,0,0,0.0,0,0,0,0
14,02/05/20,0,0,0.0,0,0,0,0
15,02/06/20,0,0,0.0,0,0,0,0
16,02/07/20,0,0,0.0,0,0,0,0
17,02/08/20,0,0,0.0,0,0,0,0
18,02/09/20,0,0,0.0,0,0,0,0
19,02/10/20,0,0,0.0,0,0,0,0
20,02/11/20,0,0,0.0,0,0,0,0
21,02/12/20,0,0,0.0,0,0,0,0
22,02/13/20,0,0,0.0,0,0,0,0
23,02/14/20,0,0,0.0,0,0,0,0
24,02/15/20,0,0,0.0,0,0,0,0
25,02/16/20,0,0,0.0,0,0,0,0
26,02/17/20,0,0,0.0,0,0,0,0
27,02/18/20,0,0,0.0,0,0,0,0
28,02/19/20,0,0,0.0,0,0,0,0
29,02/20/20,0,0,0.0,0,0,0,0
30,02/21/20,0,0,0.0,0,0,0,0
31,02/22/20,0,0,0.0,0,0,0,0
32,02/23/20,0,0,0.0,0,0,0,0
33,02/24/20,0,0,0.0,0,0,0,0
34,02/25/20,2,0,0.0,2,0,0,0
35,02/26/20,2,0,0.0,0,0,0,0
36,02/27/20,3,0,0.0,1,0,0,0
37,02/28/20,3,0,0.0,0,0,0,0
38,02/29/20,9,0,0.0,6,0,0,0
39,03/01/20,14,0,0.0,5,0,0,0
40,03/02/20,18,0,0.0,4,0,0,0
41,03/03/20,21,0,0.0,3,0,0,0
42,03/04/20,29,0,0.0,8,0,0,0
43,03/05/20,41,0,0.0,12,0,0,0
44,03/06/20,55,0,0.0,14,0,0,0
45,03/07/20,79,0,0.0,24,0,0,0
46,03/08/20,104,0,0.0,25,0,0,0
47,03/09/20,131,0,2.0,27,0,2,2
48,03/10/20,182,0,4.0,51,0,2,2
49,03/11/20,246,0,4.0,64,0,0,0
50,03/12/20,302,1,4.0,56,1,0,1
51,03/13/20,504,1,6.0,202,0,2,2
52,03/14/20,655,1,6.0,151,0,0,0
53,03/15/20,860,1,6.0,205,0,0,0
54,03/16/20,1018,3,6.0,158,2,0,2
55,03/17/20,1332,3,,314,0,0,-5
56,03/18/20,1646,4,9.0,314,1,0,9
57,03/19/20,2013,6,9.0,367,2,0,2
58,03/20/20,2388,6,9.0,375,0,0,0
59,03/21/20,2814,8,9.0,426,2,0,2
60,03/22/20,3582,16,9.0,768,8,0,8
61,03/23/20,4474,21,9.0,892,5,0,5
62,03/24/20,5283,28,9.0,809,7,0,7
63,03/25/20,5588,30,9.0,305,2,0,2
64,03/26/20,6909,49,112.0,1321,19,103,122
65,03/27/20,7657,58,225.0,748,9,113,122
66,03/28/20,8271,68,225.0,614,10,0,10
67,03/29/20,8788,86,479.0,517,18,254,272
68,03/30/20,9618,108,636.0,830,22,157,179
69,03/31/20,10180,128,1095.0,562,20,459,479
70,04/01/20,10711,146,1436.0,531,18,341,359
71,04/02/20,11129,158,1749.0,418,12,313,325
72,04/03/20,11524,168,2022.0,395,10,273,283
73,04/04/20,11781,186,2507.0,257,18,485,503
74,04/05/20,12051,204,2998.0,270,18,491,509
75,04/06/20,12297,220,3463.0,246,16,465,481
76,04/07/20,12639,243,4046.0,342,23,583,606
77,04/08/20,12942,273,4512.0,303,30,466,496
78,04/09/20,13244,295,5240.0,302,22,728,750
79,04/10/20,13555,319,6064.0,311,24,824,848
80,04/11/20,13806,337,6604.0,251,18,540,558
81,04/12/20,13945,350,6987.0,139,13,383,396
82,04/13/20,14041,368,7343.0,96,18,356,374
83,04/14/20,14226,384,7633.0,185,16,290,306
84,04/15/20,14336,393,8098.0,110,9,465,474
85,04/16/20,14476,410,8986.0,140,17,888,905
86,04/17/20,14595,431,9704.0,119,21,718,739
87,04/18/20,14671,443,10214.0,76,12,510,522
88,04/19/20,14749,452,10501.0,78,9,287,296
89,04/20/20,14795,470,10631.0,46,18,130,148
90,04/21/20,14873,491,10971.0,78,21,340,361
91,04/22/20,14925,510,11328.0,52,19,357,376
92,04/23/20,15002,522,11694.0,77,12,366,378
93,04/24/20,15071,530,11872.0,69,8,178,186
94,04/25/20,15148,536,12103.0,77,6,231,237
95,04/26/20,15225,542,12282.0,77,6,179,185
96,04/27/20,15274,549,12362.0,49,7,80,87
97,04/28/20,15357,569,12580.0,83,20,218,238
