,dates2,cum_cases,cum_deaths,cum_recover,new_cases,new_deaths,new_recover,new_uninfected
0,01/22/20,0,0,0.0,0,0,0,0
1,01/23/20,0,0,0.0,0,0,0,0
2,01/24/20,0,0,0.0,0,0,0,0
3,01/25/20,0,0,0.0,0,0,0,0
4,01/26/20,0,0,0.0,0,0,0,0
5,01/27/20,0,0,0.0,0,0,0,0
6,01/28/20,0,0,0.0,0,0,0,0
7,01/29/20,0,0,0.0,0,0,0,0
8,01/30/20,0,0,0.0,0,0,0,0
9,01/31/20,0,0,0.0,0,0,0,0
10,02/01/20,0,0,0.0,0,0,0,0
11,02/02/20,0,0,0.0,0,0,0,0
12,02/03/20,0,0,0.0,0,0,0,0
13,02/04/20,1,0,0.0,1,0,0,0
14,02/05/20,1,0,0.0,0,0,0,0
15,02/06/20,1,0,0.0,0,0,0,0
16,02/07/20,1,0,0.0,0,0,0,0
17,02/08/20,1,0,0.0,0,0,0,0
18,02/09/20,1,0,0.0,0,0,0,0
19,02/10/20,1,0,0.0,0,0,0,0
20,02/11/20,1,0,0.0,0,0,0,0
21,02/12/20,1,0,0.0,0,0,0,0
22,02/13/20,1,0,0.0,0,0,0,0
23,02/14/20,1,0,0.0,0,0,0,0
24,02/15/20,1,0,0.0,0,0,0,0
25,02/16/20,1,0,0.0,0,0,0,0
26,02/17/20,1,0,1.0,0,0,1,1
27,02/18/20,1,0,1.0,0,0,0,0
28,02/19/20,1,0,1.0,0,0,0,0
29,02/20/20,1,0,1.0,0,0,0,0
30,02/21/20,1,0,1.0,0,0,0,0
31,02/22/20,1,0,1.0,0,0,0,0
32,02/23/20,1,0,1.0,0,0,0,0
33,02/24/20,1,0,1.0,0,0,0,0
34,02/25/20,1,0,1.0,0,0,0,0
35,02/26/20,1,0,1.0,0,0,0,0
36,02/27/20,1,0,1.0,0,0,0,0
37,02/28/20,1,0,1.0,0,0,0,0
38,02/29/20,1,0,1.0,0,0,0,0
39,03/01/20,2,0,1.0,1,0,0,0
40,03/02/20,8,0,1.0,6,0,0,0
41,03/03/20,13,0,1.0,5,0,0,0
42,03/04/20,23,0,1.0,10,0,0,0
43,03/05/20,50,0,1.0,27,0,0,0
44,03/06/20,109,0,1.0,59,0,0,0
45,03/07/20,169,0,1.0,60,0,0,0
46,03/08/20,200,0,1.0,31,0,0,0
47,03/09/20,239,0,1.0,39,0,0,0
48,03/10/20,267,0,1.0,28,0,0,0
49,03/11/20,314,3,1.0,47,3,0,3
50,03/12/20,314,3,1.0,0,0,0,0
51,03/13/20,559,3,1.0,245,0,0,0
52,03/14/20,689,4,1.0,130,1,0,1
53,03/15/20,886,4,1.0,197,0,0,0
54,03/16/20,1058,5,1.0,172,1,0,1
55,03/17/20,1243,10,1.0,185,5,0,5
56,03/18/20,1486,14,31.0,243,4,30,34
57,03/19/20,1795,21,31.0,309,7,0,7
58,03/20/20,2257,37,,462,16,0,-14
59,03/21/20,2815,67,263.0,558,30,0,292
60,03/22/20,3401,75,263.0,586,8,0,8
61,03/23/20,3743,88,263.0,342,13,0,13
62,03/24/20,4269,122,461.0,526,34,198,232
63,03/25/20,4937,178,547.0,668,56,86,142
64,03/26/20,6235,220,675.0,1298,42,128,170
65,03/27/20,7284,289,858.0,1049,69,183,252
66,03/28/20,9134,353,1063.0,1850,64,205,269
67,03/29/20,10836,431,1359.0,1702,78,296,374
68,03/30/20,11899,513,1527.0,1063,82,168,250
69,03/31/20,12775,705,1696.0,876,192,169,361
70,04/01/20,13964,828,2132.0,1189,123,436,559
71,04/02/20,15348,1011,2495.0,1384,183,363,546
72,04/03/20,16770,1143,2872.0,1422,132,377,509
73,04/04/20,18431,1283,3247.0,1661,140,375,515
74,04/05/20,19691,1447,3751.0,1260,164,504,668
75,04/06/20,20814,1632,3986.0,1123,185,235,420
76,04/07/20,22194,2035,4157.0,1380,403,171,574
77,04/08/20,23403,2240,4681.0,1209,205,524,729
78,04/09/20,24983,2523,5164.0,1580,283,483,766
79,04/10/20,26667,3019,5568.0,1684,496,404,900
80,04/11/20,28018,3346,5986.0,1351,327,418,745
81,04/12/20,29647,3600,6463.0,1629,254,477,731
82,04/13/20,30589,3903,6707.0,942,303,244,547
83,04/14/20,31119,4157,6868.0,530,254,161,415
84,04/15/20,33573,4440,7107.0,2454,283,239,522
85,04/16/20,34809,4857,7562.0,1236,417,455,872
86,04/17/20,36138,5163,7961.0,1329,306,399,705
87,04/18/20,37183,5453,8348.0,1045,290,387,677
88,04/19/20,38496,5683,8757.0,1313,230,409,639
89,04/20/20,39983,5828,8895.0,1487,145,138,283
90,04/21/20,40956,5998,9002.0,973,170,107,277
91,04/22/20,41889,6262,9433.0,933,264,431,695
92,04/23/20,42797,6490,9800.0,908,228,367,595
93,04/24/20,44293,6679,10122.0,1496,189,322,511
94,04/25/20,45325,6917,10417.0,1032,238,295,533
95,04/26/20,46134,7094,10785.0,809,177,368,545
