,dates2,cum_cases,cum_deaths,cum_recover,new_cases,new_deaths,new_recover,new_uninfected
0,01/22/20,0,0,0,0,0,0,0
1,01/23/20,0,0,0,0,0,0,0
2,01/24/20,0,0,0,0,0,0,0
3,01/25/20,0,0,0,0,0,0,0
4,01/26/20,0,0,0,0,0,0,0
5,01/27/20,0,0,0,0,0,0,0
6,01/28/20,0,0,0,0,0,0,0
7,01/29/20,0,0,0,0,0,0,0
8,01/30/20,0,0,0,0,0,0,0
9,01/31/20,0,0,0,0,0,0,0
10,02/01/20,0,0,0,0,0,0,0
11,02/02/20,0,0,0,0,0,0,0
12,02/03/20,0,0,0,0,0,0,0
13,02/04/20,0,0,0,0,0,0,0
14,02/05/20,0,0,0,0,0,0,0
15,02/06/20,0,0,0,0,0,0,0
16,02/07/20,0,0,0,0,0,0,0
17,02/08/20,0,0,0,0,0,0,0
18,02/09/20,0,0,0,0,0,0,0
19,02/10/20,0,0,0,0,0,0,0
20,02/11/20,0,0,0,0,0,0,0
21,02/12/20,0,0,0,0,0,0,0
22,02/13/20,0,0,0,0,0,0,0
23,02/14/20,0,0,0,0,0,0,0
24,02/15/20,0,0,0,0,0,0,0
25,02/16/20,0,0,0,0,0,0,0
26,02/17/20,0,0,0,0,0,0,0
27,02/18/20,0,0,0,0,0,0,0
28,02/19/20,0,0,0,0,0,0,0
29,02/20/20,0,0,0,0,0,0,0
30,02/21/20,0,0,0,0,0,0,0
31,02/22/20,0,0,0,0,0,0,0
32,02/23/20,0,0,0,0,0,0,0
33,02/24/20,0,0,0,0,0,0,0
34,02/25/20,0,0,0,0,0,0,0
35,02/26/20,0,0,0,0,0,0,0
36,02/27/20,0,0,0,0,0,0,0
37,02/28/20,0,0,0,0,0,0,0
38,02/29/20,0,0,0,0,0,0,0
39,03/01/20,0,0,0,0,0,0,0
40,03/02/20,0,0,0,0,0,0,0
41,03/03/20,0,0,0,0,0,0,0
42,03/04/20,0,0,0,0,0,0,0
43,03/05/20,0,0,0,0,0,0,0
44,03/06/20,0,0,0,0,0,0,0
45,03/07/20,0,0,0,0,0,0,0
46,03/08/20,4,0,0,4,0,0,0
47,03/09/20,4,0,0,0,0,0,0
48,03/10/20,4,0,0,0,0,0,0
49,03/11/20,7,1,0,3,1,0,1
50,03/12/20,7,1,0,0,0,0,0
51,03/13/20,23,1,0,16,0,0,0
52,03/14/20,41,2,0,18,1,0,1
53,03/15/20,51,2,0,10,0,0,0
54,03/16/20,52,2,0,1,0,0,0
55,03/17/20,67,2,0,15,0,0,0
56,03/18/20,92,2,0,25,0,0,0
57,03/19/20,94,3,0,2,1,0,1
58,03/20/20,127,3,0,33,0,0,0
59,03/21/20,163,3,3,36,0,3,3
60,03/22/20,187,3,3,24,0,0,0
61,03/23/20,201,3,3,14,0,0,0
62,03/24/20,218,3,3,17,0,0,0
63,03/25/20,242,3,4,24,0,1,1
64,03/26/20,264,3,8,22,0,4,4
65,03/27/20,293,3,9,29,0,1,1
66,03/28/20,331,7,11,38,4,2,6
67,03/29/20,346,8,14,15,1,3,4
68,03/30/20,359,8,17,13,0,3,3
69,03/31/20,399,8,17,40,0,0,0
70,04/01/20,422,10,20,23,2,3,5
71,04/02/20,457,10,25,35,0,5,5
72,04/03/20,485,14,30,28,4,5,9
73,04/04/20,503,17,34,18,3,4,7
74,04/05/20,531,20,37,28,3,3,6
75,04/06/20,549,22,39,18,2,2,4
76,04/07/20,577,23,42,28,1,3,4
77,04/08/20,593,24,42,16,1,0,1
78,04/09/20,618,24,48,25,0,6,6
79,04/10/20,635,25,54,17,1,6,7
80,04/11/20,661,28,62,26,3,8,11
81,04/12/20,675,29,68,14,1,6,7
82,04/13/20,685,32,71,10,3,3,6
83,04/14/20,713,35,81,28,3,10,13
84,04/15/20,747,36,105,34,1,24,25
85,04/16/20,800,38,122,53,2,17,19
86,04/17/20,846,41,141,46,3,19,22
87,04/18/20,878,41,153,32,0,12,12
88,04/19/20,894,42,161,16,1,8,9
89,04/20/20,929,43,167,35,1,6,7
90,04/21/20,975,45,170,46,2,3,5
91,04/22/20,1024,49,174,49,4,4,8
92,04/23/20,1097,52,190,73,3,16,19
93,04/24/20,1234,54,197,137,2,7,9
94,04/25/20,1247,55,197,13,1,0,1
95,04/26/20,1300,56,205,53,1,8,9
96,04/27/20,1363,58,206,63,2,1,3
97,04/28/20,1399,58,222,36,0,16,16
