,dates2,cum_cases,cum_deaths,cum_recover,new_cases,new_deaths,new_recover,new_uninfected
0,01/22/20,0,0,0,0,0,0,0
1,01/23/20,0,0,0,0,0,0,0
2,01/24/20,0,0,0,0,0,0,0
3,01/25/20,0,0,0,0,0,0,0
4,01/26/20,0,0,0,0,0,0,0
5,01/27/20,0,0,0,0,0,0,0
6,01/28/20,0,0,0,0,0,0,0
7,01/29/20,0,0,0,0,0,0,0
8,01/30/20,0,0,0,0,0,0,0
9,01/31/20,0,0,0,0,0,0,0
10,02/01/20,0,0,0,0,0,0,0
11,02/02/20,0,0,0,0,0,0,0
12,02/03/20,0,0,0,0,0,0,0
13,02/04/20,0,0,0,0,0,0,0
14,02/05/20,0,0,0,0,0,0,0
15,02/06/20,0,0,0,0,0,0,0
16,02/07/20,0,0,0,0,0,0,0
17,02/08/20,0,0,0,0,0,0,0
18,02/09/20,0,0,0,0,0,0,0
19,02/10/20,0,0,0,0,0,0,0
20,02/11/20,0,0,0,0,0,0,0
21,02/12/20,0,0,0,0,0,0,0
22,02/13/20,0,0,0,0,0,0,0
23,02/14/20,0,0,0,0,0,0,0
24,02/15/20,0,0,0,0,0,0,0
25,02/16/20,0,0,0,0,0,0,0
26,02/17/20,0,0,0,0,0,0,0
27,02/18/20,0,0,0,0,0,0,0
28,02/19/20,0,0,0,0,0,0,0
29,02/20/20,0,0,0,0,0,0,0
30,02/21/20,0,0,0,0,0,0,0
31,02/22/20,0,0,0,0,0,0,0
32,02/23/20,0,0,0,0,0,0,0
33,02/24/20,0,0,0,0,0,0,0
34,02/25/20,0,0,0,0,0,0,0
35,02/26/20,0,0,0,0,0,0,0
36,02/27/20,0,0,0,0,0,0,0
37,02/28/20,0,0,0,0,0,0,0
38,02/29/20,0,0,0,0,0,0,0
39,03/01/20,0,0,0,0,0,0,0
40,03/02/20,0,0,0,0,0,0,0
41,03/03/20,0,0,0,0,0,0,0
42,03/04/20,0,0,0,0,0,0,0
43,03/05/20,0,0,0,0,0,0,0
44,03/06/20,0,0,0,0,0,0,0
45,03/07/20,0,0,0,0,0,0,0
46,03/08/20,0,0,0,0,0,0,0
47,03/09/20,0,0,0,0,0,0,0
48,03/10/20,1,0,0,1,0,0,0
49,03/11/20,2,0,0,1,0,0,0
50,03/12/20,2,0,0,0,0,0,0
51,03/13/20,2,0,0,0,0,0,0
52,03/14/20,2,0,0,0,0,0,0
53,03/15/20,3,0,0,1,0,0,0
54,03/16/20,15,0,0,12,0,0,0
55,03/17/20,15,0,0,0,0,0,0
56,03/18/20,20,1,0,5,1,0,1
57,03/19/20,33,1,0,13,0,0,0
58,03/20/20,40,1,0,7,0,0,0
59,03/21/20,64,2,5,24,1,5,6
60,03/22/20,75,4,5,11,2,0,2
61,03/23/20,99,4,5,24,0,0,0
62,03/24/20,114,4,7,15,0,2,2
63,03/25/20,146,4,10,32,0,3,3
64,03/26/20,152,7,10,6,3,0,3
65,03/27/20,180,9,12,28,2,2,4
66,03/28/20,207,11,21,27,2,9,11
67,03/29/20,222,12,23,15,1,2,3
68,03/30/20,246,12,31,24,0,8,8
69,03/31/20,261,14,32,15,2,1,3
70,04/01/20,282,16,46,21,2,14,16
71,04/02/20,288,16,50,6,0,4,4
72,04/03/20,302,16,50,14,0,0,0
73,04/04/20,318,16,66,16,0,16,16
74,04/05/20,345,17,90,27,1,24,25
75,04/06/20,364,18,108,19,1,18,19
76,04/07/20,384,19,127,20,1,19,20
77,04/08/20,414,23,134,30,4,7,11
78,04/09/20,443,24,146,29,1,12,13
79,04/10/20,443,24,146,0,0,0,0
80,04/11/20,484,27,155,41,3,9,12
81,04/12/20,497,27,161,13,0,6,6
82,04/13/20,497,27,161,0,0,0,0
83,04/14/20,528,30,177,31,3,16,19
84,04/15/20,542,32,226,14,2,49,51
85,04/16/20,546,32,257,4,0,31,31
86,04/17/20,557,35,294,11,3,37,40
87,04/18/20,565,36,321,8,1,27,28
88,04/19/20,576,36,338,11,0,17,17
89,04/20/20,581,38,357,5,2,19,21
90,04/21/20,600,38,362,19,0,5,5
91,04/22/20,609,39,389,9,1,27,28
92,04/23/20,616,41,410,7,2,21,23
93,04/24/20,629,41,425,13,0,15,15
94,04/25/20,629,41,442,0,0,17,17
95,04/26/20,632,42,453,3,1,11,12
96,04/27/20,635,42,469,3,0,16,16
97,04/28/20,638,42,476,3,0,7,7
