,dates2,cum_cases,cum_deaths,cum_recover,new_cases,new_deaths,new_recover,new_uninfected
0,01/22/20,0,0,0.0,0,0,0,0
1,01/23/20,0,0,0.0,0,0,0,0
2,01/24/20,0,0,0.0,0,0,0,0
3,01/25/20,0,0,0.0,0,0,0,0
4,01/26/20,0,0,0.0,0,0,0,0
5,01/27/20,0,0,0.0,0,0,0,0
6,01/28/20,0,0,0.0,0,0,0,0
7,01/29/20,0,0,0.0,0,0,0,0
8,01/30/20,0,0,0.0,0,0,0,0
9,01/31/20,0,0,0.0,0,0,0,0
10,02/01/20,0,0,0.0,0,0,0,0
11,02/02/20,0,0,0.0,0,0,0,0
12,02/03/20,0,0,0.0,0,0,0,0
13,02/04/20,0,0,0.0,0,0,0,0
14,02/05/20,0,0,0.0,0,0,0,0
15,02/06/20,0,0,0.0,0,0,0,0
16,02/07/20,0,0,0.0,0,0,0,0
17,02/08/20,0,0,0.0,0,0,0,0
18,02/09/20,0,0,0.0,0,0,0,0
19,02/10/20,0,0,0.0,0,0,0,0
20,02/11/20,0,0,0.0,0,0,0,0
21,02/12/20,0,0,0.0,0,0,0,0
22,02/13/20,0,0,0.0,0,0,0,0
23,02/14/20,0,0,0.0,0,0,0,0
24,02/15/20,0,0,0.0,0,0,0,0
25,02/16/20,0,0,0.0,0,0,0,0
26,02/17/20,0,0,0.0,0,0,0,0
27,02/18/20,0,0,0.0,0,0,0,0
28,02/19/20,0,0,0.0,0,0,0,0
29,02/20/20,0,0,0.0,0,0,0,0
30,02/21/20,0,0,0.0,0,0,0,0
31,02/22/20,0,0,0.0,0,0,0,0
32,02/23/20,0,0,0.0,0,0,0,0
33,02/24/20,0,0,0.0,0,0,0,0
34,02/25/20,0,0,0.0,0,0,0,0
35,02/26/20,0,0,0.0,0,0,0,0
36,02/27/20,0,0,0.0,0,0,0,0
37,02/28/20,0,0,0.0,0,0,0,0
38,02/29/20,0,0,0.0,0,0,0,0
39,03/01/20,0,0,0.0,0,0,0,0
40,03/02/20,0,0,0.0,0,0,0,0
41,03/03/20,0,0,0.0,0,0,0,0
42,03/04/20,0,0,0.0,0,0,0,0
43,03/05/20,0,0,0.0,0,0,0,0
44,03/06/20,1,0,0.0,1,0,0,0
45,03/07/20,1,0,0.0,0,0,0,0
46,03/08/20,2,0,0.0,1,0,0,0
47,03/09/20,2,0,0.0,0,0,0,0
48,03/10/20,2,0,0.0,0,0,0,0
49,03/11/20,2,0,0.0,0,0,0,0
50,03/12/20,2,0,0.0,0,0,0,0
51,03/13/20,2,0,0.0,0,0,0,0
52,03/14/20,2,0,0.0,0,0,0,0
53,03/15/20,2,0,0.0,0,0,0,0
54,03/16/20,4,0,0.0,2,0,0,0
55,03/17/20,10,0,0.0,6,0,0,0
56,03/18/20,10,0,0.0,0,0,0,0
57,03/19/20,13,0,0.0,3,0,0,0
58,03/20/20,20,0,0.0,7,0,0,0
59,03/21/20,27,0,0.0,7,0,0,0
60,03/22/20,40,0,0.0,13,0,0,0
61,03/23/20,56,0,0.0,16,0,0,0
62,03/24/20,66,0,0.0,10,0,0,0
63,03/25/20,75,1,2.0,9,1,2,3
64,03/26/20,75,1,2.0,0,0,0,0
65,03/27/20,91,2,2.0,16,1,0,1
66,03/28/20,91,2,2.0,0,0,0,0
67,03/29/20,139,6,5.0,48,4,3,7
68,03/30/20,139,6,5.0,0,0,0,0
69,03/31/20,193,6,5.0,54,0,0,0
70,04/01/20,233,6,10.0,40,0,5,5
71,04/02/20,306,7,10.0,73,1,0,1
72,04/03/20,509,8,17.0,203,1,7,8
73,04/04/20,555,9,17.0,46,1,0,1
74,04/05/20,650,9,17.0,95,0,0,0
75,04/06/20,658,9,17.0,8,0,0,0
76,04/07/20,658,9,43.0,0,0,26,26
77,04/08/20,730,10,60.0,72,1,17,18
78,04/09/20,730,10,60.0,0,0,0,0
79,04/10/20,820,12,98.0,90,2,38,40
80,04/11/20,820,12,98.0,0,0,0,0
81,04/12/20,820,12,98.0,0,0,0,0
82,04/13/20,820,12,98.0,0,0,0,0
83,04/14/20,848,14,130.0,28,2,32,34
84,04/15/20,848,17,165.0,0,3,35,38
85,04/16/20,996,22,,148,5,0,4
86,04/17/20,996,22,165.0,0,0,0,0
87,04/18/20,1017,22,177.0,21,0,12,13
88,04/19/20,1017,42,305.0,0,20,128,148
89,04/20/20,1163,42,305.0,146,0,0,0
90,04/21/20,1163,43,329.0,0,1,24,25
91,04/22/20,1163,43,397.0,0,0,68,68
92,04/23/20,1334,43,668.0,171,0,271,271
93,04/24/20,1430,43,668.0,96,0,0,0
94,04/25/20,1518,53,697.0,88,10,29,39
95,04/26/20,1621,56,786.0,103,3,89,92
