dates2,cum_cases,cum_deaths,cum_recover,new_cases,new_deaths,new_recover,new_uninfected
01/22/20,0,0,0,0,0,0,0
01/23/20,0,0,0,0,0,0,0
01/24/20,0,0,0,0,0,0,0
01/25/20,0,0,0,0,0,0,0
01/26/20,0,0,0,0,0,0,0
01/27/20,0,0,0,0,0,0,0
01/28/20,0,0,0,0,0,0,0
01/29/20,0,0,0,0,0,0,0
01/30/20,0,0,0,0,0,0,0
01/31/20,0,0,0,0,0,0,0
02/01/20,0,0,0,0,0,0,0
02/02/20,0,0,0,0,0,0,0
02/03/20,0,0,0,0,0,0,0
02/04/20,0,0,0,0,0,0,0
02/05/20,0,0,0,0,0,0,0
02/06/20,0,0,0,0,0,0,0
02/07/20,0,0,0,0,0,0,0
02/08/20,0,0,0,0,0,0,0
02/09/20,0,0,0,0,0,0,0
02/10/20,0,0,0,0,0,0,0
02/11/20,0,0,0,0,0,0,0
02/12/20,0,0,0,0,0,0,0
02/13/20,0,0,0,0,0,0,0
02/14/20,0,0,0,0,0,0,0
02/15/20,0,0,0,0,0,0,0
02/16/20,0,0,0,0,0,0,0
02/17/20,0,0,0,0,0,0,0
02/18/20,0,0,0,0,0,0,0
02/19/20,0,0,0,0,0,0,0
02/20/20,0,0,0,0,0,0,0
02/21/20,0,0,0,0,0,0,0
02/22/20,0,0,0,0,0,0,0
02/23/20,0,0,0,0,0,0,0
02/24/20,0,0,0,0,0,0,0
02/25/20,0,0,0,0,0,0,0
02/26/20,0,0,0,0,0,0,0
02/27/20,0,0,0,0,0,0,0
02/28/20,0,0,0,0,0,0,0
02/29/20,0,0,0,0,0,0,0
03/01/20,0,0,0,0,0,0,0
03/02/20,0,0,0,0,0,0,0
03/03/20,1,0,0,1,0,0,0
03/04/20,1,0,0,0,0,0,0
03/05/20,4,0,0,3,0,0,0
03/06/20,4,0,0,0,0,0,0
03/07/20,4,0,0,0,0,0,0
03/08/20,8,0,0,4,0,0,0
03/09/20,8,0,0,0,0,0,0
03/10/20,13,0,0,5,0,0,0
03/11/20,23,0,0,10,0,0,0
03/12/20,23,0,0,0,0,0,0
03/13/20,43,0,0,20,0,0,0
03/14/20,61,0,0,18,0,0,0
03/15/20,74,0,0,13,0,0,0
03/16/20,155,0,0,81,0,0,0
03/17/20,201,0,0,46,0,0,0
03/18/20,238,0,0,37,0,0,0
03/19/20,238,0,0,0,0,0,0
03/20/20,434,0,6,196,0,6,6
03/21/20,537,0,6,103,0,0,0
03/22/20,632,1,8,95,1,2,3
03/23/20,746,2,8,114,1,0,1
03/24/20,922,2,17,176,0,9,9
03/25/20,1142,3,22,220,1,5,6
03/26/20,1306,4,22,164,1,0,1
03/27/20,1610,5,43,304,1,21,22
03/28/20,1909,6,61,299,1,18,19
03/29/20,2139,7,75,230,1,14,15
03/30/20,2449,8,156,310,1,81,82
03/31/20,2738,12,156,289,4,0,4
04/01/20,3031,16,234,293,4,78,82
04/02/20,3404,18,335,373,2,101,103
04/03/20,3737,22,427,333,4,92,96
04/04/20,4161,27,528,424,5,101,106
04/05/20,4471,34,618,310,7,90,97
04/06/20,4815,37,728,344,3,110,113
04/07/20,5116,43,898,301,6,170,176
04/08/20,5546,48,1115,430,5,217,222
04/09/20,5972,57,1274,426,9,159,168
04/10/20,6501,65,1571,529,8,297,305
04/11/20,6927,73,1864,426,8,293,301
04/12/20,7213,80,2059,286,7,195,202
04/13/20,7525,82,2367,312,2,308,310
04/14/20,7917,92,2646,392,10,279,289
04/15/20,8273,94,2937,356,2,291,293
04/16/20,8807,105,3299,534,11,362,373
