,dates2,cum_cases,cum_deaths,cum_recover,new_cases,new_deaths,new_recover,new_uninfected
0,01/22/20,0,0,0,0,0,0,0
1,01/23/20,0,0,0,0,0,0,0
2,01/24/20,0,0,0,0,0,0,0
3,01/25/20,0,0,0,0,0,0,0
4,01/26/20,0,0,0,0,0,0,0
5,01/27/20,0,0,0,0,0,0,0
6,01/28/20,0,0,0,0,0,0,0
7,01/29/20,0,0,0,0,0,0,0
8,01/30/20,0,0,0,0,0,0,0
9,01/31/20,0,0,0,0,0,0,0
10,02/01/20,0,0,0,0,0,0,0
11,02/02/20,0,0,0,0,0,0,0
12,02/03/20,0,0,0,0,0,0,0
13,02/04/20,0,0,0,0,0,0,0
14,02/05/20,0,0,0,0,0,0,0
15,02/06/20,0,0,0,0,0,0,0
16,02/07/20,0,0,0,0,0,0,0
17,02/08/20,0,0,0,0,0,0,0
18,02/09/20,0,0,0,0,0,0,0
19,02/10/20,0,0,0,0,0,0,0
20,02/11/20,0,0,0,0,0,0,0
21,02/12/20,0,0,0,0,0,0,0
22,02/13/20,0,0,0,0,0,0,0
23,02/14/20,0,0,0,0,0,0,0
24,02/15/20,0,0,0,0,0,0,0
25,02/16/20,0,0,0,0,0,0,0
26,02/17/20,0,0,0,0,0,0,0
27,02/18/20,0,0,0,0,0,0,0
28,02/19/20,0,0,0,0,0,0,0
29,02/20/20,0,0,0,0,0,0,0
30,02/21/20,0,0,0,0,0,0,0
31,02/22/20,0,0,0,0,0,0,0
32,02/23/20,0,0,0,0,0,0,0
33,02/24/20,0,0,0,0,0,0,0
34,02/25/20,0,0,0,0,0,0,0
35,02/26/20,0,0,0,0,0,0,0
36,02/27/20,0,0,0,0,0,0,0
37,02/28/20,0,0,0,0,0,0,0
38,02/29/20,0,0,0,0,0,0,0
39,03/01/20,0,0,0,0,0,0,0
40,03/02/20,0,0,0,0,0,0,0
41,03/03/20,0,0,0,0,0,0,0
42,03/04/20,0,0,0,0,0,0,0
43,03/05/20,0,0,0,0,0,0,0
44,03/06/20,1,0,0,1,0,0,0
45,03/07/20,1,0,0,0,0,0,0
46,03/08/20,5,0,0,4,0,0,0
47,03/09/20,9,0,0,4,0,0,0
48,03/10/20,9,0,0,0,0,0,0
49,03/11/20,13,0,0,4,0,0,0
50,03/12/20,22,0,0,9,0,0,0
51,03/13/20,23,0,0,1,0,0,0
52,03/14/20,26,0,0,3,0,0,0
53,03/15/20,27,0,0,1,0,0,0
54,03/16/20,35,0,0,8,0,0,0
55,03/17/20,41,0,0,6,0,0,0
56,03/18/20,50,0,0,9,0,0,0
57,03/19/20,69,1,0,19,1,0,1
58,03/20/20,89,1,0,20,0,0,0
59,03/21/20,117,2,2,28,1,2,3
60,03/22/20,134,2,2,17,0,0,0
61,03/23/20,158,2,2,24,0,0,0
62,03/24/20,177,2,2,19,0,0,0
63,03/25/20,201,2,2,24,0,0,0
64,03/26/20,231,2,2,30,0,0,0
65,03/27/20,263,2,3,32,0,1,1
66,03/28/20,295,2,3,32,0,0,0
67,03/29/20,314,2,3,19,0,0,0
68,03/30/20,330,2,4,16,0,1,1
69,03/31/20,347,2,4,17,0,0,0
70,04/01/20,375,2,4,28,0,0,0
71,04/02/20,396,2,6,21,0,2,2
72,04/03/20,416,2,11,20,0,5,5
73,04/04/20,435,2,13,19,0,2,2
74,04/05/20,454,2,16,19,0,3,3
75,04/06/20,467,2,18,13,0,2,2
76,04/07/20,483,2,24,16,0,6,6
77,04/08/20,502,3,29,19,1,5,6
78,04/09/20,539,3,30,37,0,1,1
79,04/10/20,558,3,42,19,0,12,12
80,04/11/20,577,3,49,19,0,7,7
81,04/12/20,595,3,56,18,0,7,7
82,04/13/20,612,3,62,17,0,6,6
83,04/14/20,618,3,66,6,0,4,4
84,04/15/20,626,4,67,8,1,1,2
85,04/16/20,642,4,74,16,0,7,7
86,04/17/20,649,4,88,7,0,14,14
87,04/18/20,655,4,97,6,0,9,9
88,04/19/20,660,5,112,5,1,15,16
89,04/20/20,662,6,124,2,1,12,13
90,04/21/20,669,6,150,7,0,26,26
91,04/22/20,681,6,180,12,0,30,30
92,04/23/20,686,6,196,5,0,16,16
93,04/24/20,687,6,216,1,0,20,20
94,04/25/20,693,6,242,6,0,26,26
95,04/26/20,695,6,264,2,0,22,22
96,04/27/20,697,6,287,2,0,23,23
97,04/28/20,705,6,306,8,0,19,19
