,dates2,cum_cases,cum_deaths,cum_recover,new_cases,new_deaths,new_recover,new_uninfected
0,01/22/20,0,0,0,0,0,0,0
1,01/23/20,0,0,0,0,0,0,0
2,01/24/20,0,0,0,0,0,0,0
3,01/25/20,0,0,0,0,0,0,0
4,01/26/20,0,0,0,0,0,0,0
5,01/27/20,0,0,0,0,0,0,0
6,01/28/20,0,0,0,0,0,0,0
7,01/29/20,0,0,0,0,0,0,0
8,01/30/20,0,0,0,0,0,0,0
9,01/31/20,0,0,0,0,0,0,0
10,02/01/20,0,0,0,0,0,0,0
11,02/02/20,0,0,0,0,0,0,0
12,02/03/20,0,0,0,0,0,0,0
13,02/04/20,0,0,0,0,0,0,0
14,02/05/20,0,0,0,0,0,0,0
15,02/06/20,0,0,0,0,0,0,0
16,02/07/20,0,0,0,0,0,0,0
17,02/08/20,0,0,0,0,0,0,0
18,02/09/20,0,0,0,0,0,0,0
19,02/10/20,0,0,0,0,0,0,0
20,02/11/20,0,0,0,0,0,0,0
21,02/12/20,0,0,0,0,0,0,0
22,02/13/20,0,0,0,0,0,0,0
23,02/14/20,0,0,0,0,0,0,0
24,02/15/20,0,0,0,0,0,0,0
25,02/16/20,0,0,0,0,0,0,0
26,02/17/20,0,0,0,0,0,0,0
27,02/18/20,0,0,0,0,0,0,0
28,02/19/20,0,0,0,0,0,0,0
29,02/20/20,0,0,0,0,0,0,0
30,02/21/20,0,0,0,0,0,0,0
31,02/22/20,0,0,0,0,0,0,0
32,02/23/20,0,0,0,0,0,0,0
33,02/24/20,0,0,0,0,0,0,0
34,02/25/20,0,0,0,0,0,0,0
35,02/26/20,0,0,0,0,0,0,0
36,02/27/20,0,0,0,0,0,0,0
37,02/28/20,0,0,0,0,0,0,0
38,02/29/20,0,0,0,0,0,0,0
39,03/01/20,0,0,0,0,0,0,0
40,03/02/20,0,0,0,0,0,0,0
41,03/03/20,0,0,0,0,0,0,0
42,03/04/20,0,0,0,0,0,0,0
43,03/05/20,0,0,0,0,0,0,0
44,03/06/20,0,0,0,0,0,0,0
45,03/07/20,0,0,0,0,0,0,0
46,03/08/20,0,0,0,0,0,0,0
47,03/09/20,0,0,0,0,0,0,0
48,03/10/20,0,0,0,0,0,0,0
49,03/11/20,1,0,0,1,0,0,0
50,03/12/20,1,0,0,0,0,0,0
51,03/13/20,1,0,0,0,0,0,0
52,03/14/20,1,0,0,0,0,0,0
53,03/15/20,1,0,0,0,0,0,0
54,03/16/20,1,0,0,0,0,0,0
55,03/17/20,5,0,1,4,0,1,1
56,03/18/20,6,0,1,1,0,0,0
57,03/19/20,9,0,1,3,0,0,0
58,03/20/20,9,0,1,0,0,0,0
59,03/21/20,14,0,1,5,0,0,0
60,03/22/20,14,0,1,0,0,0,0
61,03/23/20,25,0,1,11,0,0,0
62,03/24/20,73,0,2,48,0,1,1
63,03/25/20,80,0,3,7,0,1,1
64,03/26/20,96,0,3,16,0,0,0
65,03/27/20,101,0,3,5,0,0,0
66,03/28/20,101,0,3,0,0,0,0
67,03/29/20,165,1,4,64,1,1,2
68,03/30/20,168,1,6,3,0,2,2
69,03/31/20,179,1,7,11,0,1,1
70,04/01/20,190,1,9,11,0,2,2
71,04/02/20,194,1,15,4,0,6,6
72,04/03/20,218,1,19,24,0,4,4
73,04/04/20,245,1,25,27,0,6,6
74,04/05/20,261,3,37,16,2,12,14
75,04/06/20,323,3,41,62,0,4,4
76,04/07/20,349,3,41,26,0,0,0
77,04/08/20,384,3,48,35,0,7,7
78,04/09/20,444,3,52,60,0,4,4
79,04/10/20,444,3,52,0,0,0,0
80,04/11/20,533,4,58,89,1,6,7
81,04/12/20,574,5,85,41,1,27,28
82,04/13/20,626,6,89,52,1,4,5
83,04/14/20,638,6,114,12,0,25,25
84,04/15/20,638,6,114,0,0,0,0
85,04/16/20,654,6,146,16,0,32,32
86,04/17/20,688,6,193,34,0,47,47
87,04/18/20,801,8,239,113,2,46,48
88,04/19/20,847,9,260,46,1,21,22
89,04/20/20,847,9,260,0,0,0,0
90,04/21/20,916,13,303,69,4,43,47
91,04/22/20,952,14,310,36,1,7,8
92,04/23/20,1004,14,359,52,0,49,49
93,04/24/20,1077,14,419,73,0,60,60
94,04/25/20,1077,14,419,0,0,0,0
95,04/26/20,1150,14,468,73,0,49,49
96,04/27/20,1164,14,499,14,0,31,31
97,04/28/20,1183,14,525,19,0,26,26
