,dates2,cum_cases,cum_deaths,cum_recover,new_cases,new_deaths,new_recover,new_uninfected
0,01/22/20,0,0.0,0,0,0,0,0
1,01/23/20,0,0.0,0,0,0,0,0
2,01/24/20,0,0.0,0,0,0,0,0
3,01/25/20,0,0.0,0,0,0,0,0
4,01/26/20,0,0.0,0,0,0,0,0
5,01/27/20,0,0.0,0,0,0,0,0
6,01/28/20,0,0.0,0,0,0,0,0
7,01/29/20,0,0.0,0,0,0,0,0
8,01/30/20,0,0.0,0,0,0,0,0
9,01/31/20,0,0.0,0,0,0,0,0
10,02/01/20,0,0.0,0,0,0,0,0
11,02/02/20,0,0.0,0,0,0,0,0
12,02/03/20,0,0.0,0,0,0,0,0
13,02/04/20,0,0.0,0,0,0,0,0
14,02/05/20,0,0.0,0,0,0,0,0
15,02/06/20,0,0.0,0,0,0,0,0
16,02/07/20,0,0.0,0,0,0,0,0
17,02/08/20,0,0.0,0,0,0,0,0
18,02/09/20,0,0.0,0,0,0,0,0
19,02/10/20,0,0.0,0,0,0,0,0
20,02/11/20,0,0.0,0,0,0,0,0
21,02/12/20,0,0.0,0,0,0,0,0
22,02/13/20,0,0.0,0,0,0,0,0
23,02/14/20,0,0.0,0,0,0,0,0
24,02/15/20,0,0.0,0,0,0,0,0
25,02/16/20,0,0.0,0,0,0,0,0
26,02/17/20,0,0.0,0,0,0,0,0
27,02/18/20,0,0.0,0,0,0,0,0
28,02/19/20,0,0.0,0,0,0,0,0
29,02/20/20,0,0.0,0,0,0,0,0
30,02/21/20,0,0.0,0,0,0,0,0
31,02/22/20,0,0.0,0,0,0,0,0
32,02/23/20,0,0.0,0,0,0,0,0
33,02/24/20,0,0.0,0,0,0,0,0
34,02/25/20,0,0.0,0,0,0,0,0
35,02/26/20,0,0.0,0,0,0,0,0
36,02/27/20,0,0.0,0,0,0,0,0
37,02/28/20,0,0.0,0,0,0,0,0
38,02/29/20,0,0.0,0,0,0,0,0
39,03/01/20,0,0.0,0,0,0,0,0
40,03/02/20,0,0.0,0,0,0,0,0
41,03/03/20,0,0.0,0,0,0,0,0
42,03/04/20,0,0.0,0,0,0,0,0
43,03/05/20,0,0.0,0,0,0,0,0
44,03/06/20,0,0.0,0,0,0,0,0
45,03/07/20,0,0.0,0,0,0,0,0
46,03/08/20,0,0.0,0,0,0,0,0
47,03/09/20,2,0.0,0,2,0,0,0
48,03/10/20,3,0.0,0,1,0,0,0
49,03/11/20,6,0.0,0,3,0,0,0
50,03/12/20,6,0.0,0,0,0,0,0
51,03/13/20,14,0.0,0,8,0,0,0
52,03/14/20,26,0.0,0,12,0,0,0
53,03/15/20,26,0.0,0,0,0,0,0
54,03/16/20,33,0.0,0,7,0,0,0
55,03/17/20,46,0.0,0,13,0,0,0
56,03/18/20,49,0.0,0,3,0,0,0
57,03/19/20,67,0.0,0,18,0,0,0
58,03/20/20,67,0.0,0,0,0,0,0
59,03/21/20,84,0.0,0,17,0,0,0
60,03/22/20,95,1.0,3,11,1,3,4
61,03/23/20,116,1.0,3,21,0,0,0
62,03/24/20,124,3.0,3,8,2,0,2
63,03/25/20,132,3.0,3,8,0,0,0
64,03/26/20,146,3.0,4,14,0,1,1
65,03/27/20,162,5.0,15,16,2,11,13
66,03/28/20,179,5.0,15,17,0,0,0
67,03/29/20,214,5.0,15,35,0,0,0
68,03/30/20,230,7.0,22,16,2,7,9
69,03/31/20,262,8.0,23,32,1,1,2
70,04/01/20,320,9.0,28,58,1,5,6
71,04/02/20,356,10.0,28,36,1,0,1
72,04/03/20,396,11.0,28,40,1,0,1
73,04/04/20,426,11.0,33,30,0,5,5
74,04/05/20,446,,37,20,0,4,2
75,04/06/20,465,11.0,45,19,0,8,8
76,04/07/20,494,11.0,47,29,0,2,2
77,04/08/20,526,11.0,52,32,0,5,5
78,04/09/20,564,11.0,53,38,0,1,2
79,04/10/20,595,11.0,58,31,0,5,5
80,04/11/20,616,11.0,61,21,0,3,3
81,04/12/20,633,11.0,65,17,0,4,5
82,04/13/20,662,12.0,65,29,1,0,1
83,04/14/20,695,12.0,65,33,0,0,0
84,04/15/20,715,12.0,65,20,0,0,0
85,04/16/20,735,12.0,77,20,0,12,12
86,04/17/20,750,12.0,77,15,0,0,0
87,04/18/20,761,12.0,79,11,0,2,2
88,04/19/20,767,12.0,81,6,0,2,2
89,04/20/20,772,12.0,81,5,0,0,0
90,04/21/20,784,12.0,98,12,0,17,17
91,04/22/20,790,13.0,98,6,1,0,1
92,04/23/20,795,13.0,98,5,0,0,0
93,04/24/20,804,14.0,98,9,1,0,1
94,04/25/20,810,14.0,148,6,0,50,50
95,04/26/20,817,14.0,148,7,0,0,0
96,04/27/20,822,15.0,148,5,1,0,1
97,04/28/20,837,15.0,148,15,0,0,0
