,dates2,cum_cases,cum_deaths,cum_recover,new_cases,new_deaths,new_recover,new_uninfected
0,01/22/20,0,0,0,0,0,0,0
1,01/23/20,0,0,0,0,0,0,0
2,01/24/20,0,0,0,0,0,0,0
3,01/25/20,0,0,0,0,0,0,0
4,01/26/20,0,0,0,0,0,0,0
5,01/27/20,0,0,0,0,0,0,0
6,01/28/20,0,0,0,0,0,0,0
7,01/29/20,0,0,0,0,0,0,0
8,01/30/20,0,0,0,0,0,0,0
9,01/31/20,0,0,0,0,0,0,0
10,02/01/20,0,0,0,0,0,0,0
11,02/02/20,0,0,0,0,0,0,0
12,02/03/20,0,0,0,0,0,0,0
13,02/04/20,0,0,0,0,0,0,0
14,02/05/20,0,0,0,0,0,0,0
15,02/06/20,0,0,0,0,0,0,0
16,02/07/20,0,0,0,0,0,0,0
17,02/08/20,0,0,0,0,0,0,0
18,02/09/20,0,0,0,0,0,0,0
19,02/10/20,0,0,0,0,0,0,0
20,02/11/20,0,0,0,0,0,0,0
21,02/12/20,0,0,0,0,0,0,0
22,02/13/20,0,0,0,0,0,0,0
23,02/14/20,0,0,0,0,0,0,0
24,02/15/20,0,0,0,0,0,0,0
25,02/16/20,0,0,0,0,0,0,0
26,02/17/20,0,0,0,0,0,0,0
27,02/18/20,0,0,0,0,0,0,0
28,02/19/20,0,0,0,0,0,0,0
29,02/20/20,0,0,0,0,0,0,0
30,02/21/20,0,0,0,0,0,0,0
31,02/22/20,0,0,0,0,0,0,0
32,02/23/20,0,0,0,0,0,0,0
33,02/24/20,0,0,0,0,0,0,0
34,02/25/20,0,0,0,0,0,0,0
35,02/26/20,0,0,0,0,0,0,0
36,02/27/20,0,0,0,0,0,0,0
37,02/28/20,0,0,0,0,0,0,0
38,02/29/20,0,0,0,0,0,0,0
39,03/01/20,3,0,0,3,0,0,0
40,03/02/20,3,0,0,0,0,0,0
41,03/03/20,5,0,0,2,0,0,0
42,03/04/20,8,0,0,3,0,0,0
43,03/05/20,12,0,0,4,0,0,0
44,03/06/20,18,0,0,6,0,0,0
45,03/07/20,19,0,0,1,0,0,0
46,03/08/20,31,0,0,12,0,0,0
47,03/09/20,31,0,0,0,0,0,0
48,03/10/20,41,0,0,10,0,0,0
49,03/11/20,91,0,0,50,0,0,0
50,03/12/20,94,0,0,3,0,0,0
51,03/13/20,141,0,0,47,0,0,0
52,03/14/20,189,0,0,48,0,0,0
53,03/15/20,253,0,0,64,0,0,0
54,03/16/20,298,0,3,45,0,3,3
55,03/17/20,396,0,3,98,0,0,0
56,03/18/20,464,0,3,68,0,0,0
57,03/19/20,694,0,3,230,0,0,0
58,03/20/20,833,0,4,139,0,1,1
59,03/21/20,995,0,6,162,0,2,2
60,03/22/20,1120,1,6,125,1,0,1
61,03/23/20,1236,1,6,116,0,0,0
62,03/24/20,1394,3,10,158,2,4,6
63,03/25/20,1654,6,10,260,3,0,3
64,03/26/20,1925,9,10,271,3,0,3
65,03/27/20,2279,9,11,354,0,1,1
66,03/28/20,2631,11,11,352,2,0,2
67,03/29/20,2817,16,11,186,5,0,5
68,03/30/20,3001,23,25,184,7,14,21
69,03/31/20,3308,31,45,307,8,20,28
70,04/01/20,3508,39,61,200,8,16,24
71,04/02/20,3858,44,67,350,5,6,11
72,04/03/20,4091,53,72,233,9,5,14
73,04/04/20,4472,59,78,381,6,6,12
74,04/05/20,4587,67,96,115,8,18,26
75,04/06/20,4822,78,121,235,11,25,36
76,04/07/20,5017,88,172,195,10,51,61
77,04/08/20,5312,99,233,295,11,61,72
78,04/09/20,5569,112,301,257,13,68,81
79,04/10/20,5732,119,346,163,7,45,52
80,04/11/20,5831,129,411,99,10,65,75
81,04/12/20,5991,138,464,160,9,53,62
82,04/13/20,6059,143,519,68,5,55,60
83,04/14/20,6111,161,642,52,18,123,141
84,04/15/20,6216,166,819,105,5,177,182
85,04/16/20,6433,169,972,217,3,153,156
86,04/17/20,6549,173,1174,116,4,202,206
87,04/18/20,6606,181,1227,57,8,53,61
88,04/19/20,6746,186,1298,140,5,71,76
89,04/20/20,6900,194,1559,154,8,261,269
90,04/21/20,7033,201,1753,133,7,194,201
91,04/22/20,7132,208,1989,99,7,236,243
92,04/23/20,7187,210,2152,55,2,163,165
93,04/24/20,7273,214,2371,86,4,219,223
94,04/25/20,7352,218,2453,79,4,82,86
95,04/26/20,7404,220,2545,52,2,92,94
96,04/27/20,7445,223,2826,41,3,281,284
97,04/28/20,7504,227,2948,59,4,122,126
