dates2,cum_cases,cum_deaths,cum_recover,new_cases,new_deaths,new_recover,new_uninfected
01/22/20,0,0,0,0,0,0,0
01/23/20,0,0,0,0,0,0,0
01/24/20,0,0,0,0,0,0,0
01/25/20,0,0,0,0,0,0,0
01/26/20,0,0,0,0,0,0,0
01/27/20,0,0,0,0,0,0,0
01/28/20,0,0,0,0,0,0,0
01/29/20,0,0,0,0,0,0,0
01/30/20,0,0,0,0,0,0,0
01/31/20,0,0,0,0,0,0,0
02/01/20,0,0,0,0,0,0,0
02/02/20,0,0,0,0,0,0,0
02/03/20,0,0,0,0,0,0,0
02/04/20,0,0,0,0,0,0,0
02/05/20,0,0,0,0,0,0,0
02/06/20,0,0,0,0,0,0,0
02/07/20,61,0,0,61,0,0,0
02/08/20,61,0,0,0,0,0,0
02/09/20,64,0,0,3,0,0,0
02/10/20,135,0,0,71,0,0,0
02/11/20,135,0,0,0,0,0,0
02/12/20,175,0,0,40,0,0,0
02/13/20,175,0,0,0,0,0,0
02/14/20,218,0,0,43,0,0,0
02/15/20,285,0,0,67,0,0,0
02/16/20,355,0,0,70,0,0,0
02/17/20,454,0,0,99,0,0,0
02/18/20,542,0,0,88,0,0,0
02/19/20,621,0,1,79,0,1,1
02/20/20,634,2,1,13,2,0,2
02/21/20,634,2,1,0,0,0,0
02/22/20,634,2,1,0,0,0,0
02/23/20,691,3,0,57,1,-1,0
02/24/20,691,3,0,0,0,0,0
02/25/20,691,3,0,0,0,0,0
02/26/20,705,4,10,14,1,10,11
02/27/20,705,4,10,0,0,0,0
02/28/20,705,6,10,0,2,0,2
02/29/20,705,6,10,0,0,0,0
03/01/20,705,6,10,0,0,0,0
03/02/20,705,6,10,0,0,0,0
03/03/20,706,6,10,1,0,0,0
03/04/20,706,6,10,0,0,0,0
03/05/20,706,6,10,0,0,0,0
03/06/20,706,6,40,0,0,30,30
03/07/20,706,6,40,0,0,0,0
03/08/20,706,6,40,0,0,0,0
03/09/20,706,6,40,0,0,0,0
03/10/20,706,6,40,0,0,0,0
03/11/20,706,7,325,0,1,285,286
03/12/20,706,7,325,0,0,0,0
03/13/20,706,7,325,0,0,0,0
03/14/20,706,7,325,0,0,0,0
03/15/20,706,7,325,0,0,0,0
03/16/20,706,7,325,0,0,0,0
03/17/20,706,7,325,0,0,0,0
03/18/20,712,7,325,6,0,0,0
03/19/20,712,7,325,0,0,0,0
03/20/20,712,7,325,0,0,0,0
03/21/20,712,8,325,0,1,0,1
03/22/20,712,8,325,0,0,0,0
03/23/20,712,8,325,0,0,0,0
03/24/20,712,10,325,0,2,0,2
03/25/20,712,10,587,0,0,262,262
03/26/20,712,10,597,0,0,10,10
03/27/20,712,10,597,0,0,0,0
03/28/20,712,10,597,0,0,0,0
03/29/20,712,10,603,0,0,6,6
03/30/20,712,10,603,0,0,0,0
03/31/20,712,10,603,0,0,0,0
04/01/20,712,11,603,0,1,0,1
04/02/20,712,11,619,0,0,16,16
04/03/20,712,11,619,0,0,0,0
04/04/20,712,11,619,0,0,0,0
04/05/20,712,11,619,0,0,0,0
04/06/20,712,11,619,0,0,0,0
04/07/20,712,11,619,0,0,0,0
04/08/20,712,11,619,0,0,0,0
04/09/20,712,11,619,0,0,0,0
04/10/20,712,11,619,0,0,0,0
04/11/20,712,11,619,0,0,0,0
04/12/20,712,11,619,0,0,0,0
04/13/20,712,11,619,0,0,0,0
04/14/20,712,12,639,0,1,20,21
04/15/20,712,12,639,0,0,0,0
04/16/20,712,12,644,0,0,5,5
