,dates2,cum_cases,cum_deaths,cum_recover,new_cases,new_deaths,new_recover,new_uninfected
0,01/22/20,0,0,0,0,0,0,0
1,01/23/20,0,0,0,0,0,0,0
2,01/24/20,0,0,0,0,0,0,0
3,01/25/20,0,0,0,0,0,0,0
4,01/26/20,0,0,0,0,0,0,0
5,01/27/20,0,0,0,0,0,0,0
6,01/28/20,0,0,0,0,0,0,0
7,01/29/20,0,0,0,0,0,0,0
8,01/30/20,0,0,0,0,0,0,0
9,01/31/20,0,0,0,0,0,0,0
10,02/01/20,0,0,0,0,0,0,0
11,02/02/20,0,0,0,0,0,0,0
12,02/03/20,0,0,0,0,0,0,0
13,02/04/20,0,0,0,0,0,0,0
14,02/05/20,0,0,0,0,0,0,0
15,02/06/20,0,0,0,0,0,0,0
16,02/07/20,0,0,0,0,0,0,0
17,02/08/20,0,0,0,0,0,0,0
18,02/09/20,0,0,0,0,0,0,0
19,02/10/20,0,0,0,0,0,0,0
20,02/11/20,0,0,0,0,0,0,0
21,02/12/20,0,0,0,0,0,0,0
22,02/13/20,0,0,0,0,0,0,0
23,02/14/20,0,0,0,0,0,0,0
24,02/15/20,0,0,0,0,0,0,0
25,02/16/20,0,0,0,0,0,0,0
26,02/17/20,0,0,0,0,0,0,0
27,02/18/20,0,0,0,0,0,0,0
28,02/19/20,0,0,0,0,0,0,0
29,02/20/20,0,0,0,0,0,0,0
30,02/21/20,0,0,0,0,0,0,0
31,02/22/20,0,0,0,0,0,0,0
32,02/23/20,0,0,0,0,0,0,0
33,02/24/20,0,0,0,0,0,0,0
34,02/25/20,0,0,0,0,0,0,0
35,02/26/20,0,0,0,0,0,0,0
36,02/27/20,0,0,0,0,0,0,0
37,02/28/20,0,0,0,0,0,0,0
38,02/29/20,0,0,0,0,0,0,0
39,03/01/20,1,0,0,1,0,0,0
40,03/02/20,1,0,0,0,0,0,0
41,03/03/20,1,0,0,0,0,0,0
42,03/04/20,1,0,0,0,0,0,0
43,03/05/20,1,0,0,0,0,0,0
44,03/06/20,2,0,0,1,0,0,0
45,03/07/20,2,0,0,0,0,0,0
46,03/08/20,5,0,0,3,0,0,0
47,03/09/20,5,0,0,0,0,0,0
48,03/10/20,5,0,0,0,0,0,0
49,03/11/20,5,0,0,0,0,0,0
50,03/12/20,5,0,0,0,0,0,0
51,03/13/20,5,0,0,0,0,0,0
52,03/14/20,11,0,0,6,0,0,0
53,03/15/20,11,0,0,0,0,0,0
54,03/16/20,11,0,0,0,0,0,0
55,03/17/20,21,1,0,10,1,0,1
56,03/18/20,21,1,0,0,0,0,0
57,03/19/20,34,2,0,13,1,0,1
58,03/20/20,72,2,0,38,0,0,0
59,03/21/20,112,2,0,40,0,0,0
60,03/22/20,202,3,0,90,1,0,1
61,03/23/20,245,3,0,43,0,0,0
62,03/24/20,312,6,3,67,3,3,6
63,03/25/20,392,10,3,80,4,0,4
64,03/26/20,488,10,3,96,0,0,0
65,03/27/20,581,20,3,93,10,0,10
66,03/28/20,719,28,3,138,8,0,8
67,03/29/20,859,39,3,140,11,0,11
68,03/30/20,901,42,4,42,3,1,4
69,03/31/20,1109,51,5,208,9,1,10
70,04/01/20,1284,57,9,175,6,4,10
71,04/02/20,1380,60,16,96,3,7,10
72,04/03/20,1488,68,16,108,8,0,8
73,04/04/20,1488,68,16,0,0,0,0
74,04/05/20,1745,82,17,257,14,1,15
75,04/06/20,1828,86,33,83,4,16,20
76,04/07/20,1956,98,36,128,12,3,15
77,04/08/20,2111,108,50,155,10,14,24
78,04/09/20,2349,118,80,238,10,30,40
79,04/10/20,2620,126,98,271,8,18,26
80,04/11/20,2759,135,108,139,9,10,19
81,04/12/20,2967,173,131,208,38,23,61
82,04/13/20,3167,177,152,200,4,21,25
83,04/14/20,3286,183,162,119,6,10,16
84,04/15/20,3614,189,208,328,6,46,52
