,dates2,cum_cases,cum_deaths,cum_recover,new_cases,new_deaths,new_recover,new_uninfected
0,01/22/20,0,0,0,0,0,0,0
1,01/23/20,0,0,0,0,0,0,0
2,01/24/20,0,0,0,0,0,0,0
3,01/25/20,0,0,0,0,0,0,0
4,01/26/20,0,0,0,0,0,0,0
5,01/27/20,0,0,0,0,0,0,0
6,01/28/20,0,0,0,0,0,0,0
7,01/29/20,0,0,0,0,0,0,0
8,01/30/20,0,0,0,0,0,0,0
9,01/31/20,0,0,0,0,0,0,0
10,02/01/20,0,0,0,0,0,0,0
11,02/02/20,0,0,0,0,0,0,0
12,02/03/20,0,0,0,0,0,0,0
13,02/04/20,0,0,0,0,0,0,0
14,02/05/20,0,0,0,0,0,0,0
15,02/06/20,0,0,0,0,0,0,0
16,02/07/20,0,0,0,0,0,0,0
17,02/08/20,0,0,0,0,0,0,0
18,02/09/20,0,0,0,0,0,0,0
19,02/10/20,0,0,0,0,0,0,0
20,02/11/20,0,0,0,0,0,0,0
21,02/12/20,0,0,0,0,0,0,0
22,02/13/20,0,0,0,0,0,0,0
23,02/14/20,0,0,0,0,0,0,0
24,02/15/20,0,0,0,0,0,0,0
25,02/16/20,0,0,0,0,0,0,0
26,02/17/20,0,0,0,0,0,0,0
27,02/18/20,0,0,0,0,0,0,0
28,02/19/20,0,0,0,0,0,0,0
29,02/20/20,0,0,0,0,0,0,0
30,02/21/20,0,0,0,0,0,0,0
31,02/22/20,0,0,0,0,0,0,0
32,02/23/20,0,0,0,0,0,0,0
33,02/24/20,0,0,0,0,0,0,0
34,02/25/20,0,0,0,0,0,0,0
35,02/26/20,0,0,0,0,0,0,0
36,02/27/20,1,0,0,1,0,0,0
37,02/28/20,1,0,0,0,0,0,0
38,02/29/20,1,0,0,0,0,0,0
39,03/01/20,1,0,0,0,0,0,0
40,03/02/20,1,0,0,0,0,0,0
41,03/03/20,2,0,0,1,0,0,0
42,03/04/20,2,0,0,0,0,0,0
43,03/05/20,3,0,0,1,0,0,0
44,03/06/20,10,0,0,7,0,0,0
45,03/07/20,10,0,0,0,0,0,0
46,03/08/20,10,0,0,0,0,0,0
47,03/09/20,10,0,0,0,0,0,0
48,03/10/20,12,0,0,2,0,0,0
49,03/11/20,16,0,0,4,0,0,0
50,03/12/20,16,0,0,0,0,0,0
51,03/13/20,79,0,0,63,0,0,0
52,03/14/20,115,0,0,36,0,0,0
53,03/15/20,171,0,1,56,0,1,1
54,03/16/20,205,0,1,34,0,0,0
55,03/17/20,225,0,1,20,0,0,0
56,03/18/20,258,0,1,33,0,0,0
57,03/19/20,267,0,1,9,0,0,0
58,03/20/20,283,0,1,16,0,0,0
59,03/21/20,306,0,1,23,0,0,0
60,03/22/20,326,0,2,20,0,1,1
61,03/23/20,352,0,2,26,0,0,0
62,03/24/20,369,0,7,17,0,5,5
63,03/25/20,404,1,8,35,1,1,2
64,03/26/20,538,1,8,134,0,0,0
65,03/27/20,575,1,11,37,0,3,3
66,03/28/20,645,1,20,70,0,9,9
67,03/29/20,679,3,20,34,2,0,2
68,03/30/20,715,3,20,36,0,0,0
69,03/31/20,745,4,26,30,1,6,7
70,04/01/20,779,5,33,34,1,7,8
71,04/02/20,858,11,45,79,6,12,18
72,04/03/20,961,12,48,103,1,3,4
73,04/04/20,1039,13,59,78,1,11,12
74,04/05/20,1097,15,62,58,2,3,5
75,04/06/20,1108,19,62,11,4,0,4
76,04/07/20,1149,21,69,41,2,7,9
77,04/08/20,1185,24,72,36,3,3,6
78,04/09/20,1207,24,83,22,0,11,11
79,04/10/20,1258,24,93,51,0,10,10
80,04/11/20,1304,24,93,46,0,0,0
81,04/12/20,1309,25,98,5,1,5,6
82,04/13/20,1332,28,102,23,3,4,7
83,04/14/20,1373,31,115,41,3,13,16
84,04/15/20,1400,35,117,27,4,2,6
85,04/16/20,1434,36,133,34,1,16,17
86,04/17/20,1459,38,145,25,2,12,14
87,04/18/20,1512,38,162,53,0,17,17
88,04/19/20,1528,40,164,16,2,2,4
89,04/20/20,1535,40,165,7,0,1,1
90,04/21/20,1552,43,169,17,3,4,7
91,04/22/20,1559,44,184,7,1,15,16
92,04/23/20,1592,45,192,33,1,8,9
93,04/24/20,1605,46,206,13,1,14,15
94,04/25/20,1635,46,228,30,0,22,22
95,04/26/20,1643,49,233,8,3,5,8
96,04/27/20,1647,50,233,4,1,0,1
97,04/28/20,1660,50,240,13,0,7,7
