,dates2,cum_cases,cum_deaths,cum_recover,new_cases,new_deaths,new_recover,new_uninfected
0,01/22/20,0,0.0,0,0,0,0,0
1,01/23/20,0,0.0,0,0,0,0,0
2,01/24/20,0,0.0,0,0,0,0,0
3,01/25/20,0,0.0,0,0,0,0,0
4,01/26/20,0,0.0,0,0,0,0,0
5,01/27/20,0,0.0,0,0,0,0,0
6,01/28/20,0,0.0,0,0,0,0,0
7,01/29/20,1,0.0,0,1,0,0,0
8,01/30/20,1,0.0,0,0,0,0,0
9,01/31/20,1,0.0,0,0,0,0,0
10,02/01/20,1,0.0,0,0,0,0,0
11,02/02/20,1,0.0,0,0,0,0,0
12,02/03/20,1,0.0,0,0,0,0,0
13,02/04/20,1,0.0,0,0,0,0,0
14,02/05/20,1,0.0,0,0,0,0,0
15,02/06/20,1,0.0,0,0,0,0,0
16,02/07/20,1,0.0,0,0,0,0,0
17,02/08/20,1,0.0,0,0,0,0,0
18,02/09/20,1,0.0,0,0,0,0,0
19,02/10/20,1,0.0,0,0,0,0,0
20,02/11/20,1,0.0,0,0,0,0,0
21,02/12/20,1,0.0,1,0,0,1,1
22,02/13/20,1,0.0,1,0,0,0,0
23,02/14/20,1,0.0,1,0,0,0,0
24,02/15/20,1,0.0,1,0,0,0,0
25,02/16/20,1,0.0,1,0,0,0,0
26,02/17/20,1,0.0,1,0,0,0,0
27,02/18/20,1,0.0,1,0,0,0,0
28,02/19/20,1,0.0,1,0,0,0,0
29,02/20/20,1,0.0,1,0,0,0,0
30,02/21/20,1,0.0,1,0,0,0,0
31,02/22/20,1,0.0,1,0,0,0,0
32,02/23/20,1,0.0,1,0,0,0,0
33,02/24/20,1,0.0,1,0,0,0,0
34,02/25/20,1,0.0,1,0,0,0,0
35,02/26/20,2,0.0,1,1,0,0,0
36,02/27/20,2,0.0,1,0,0,0,0
37,02/28/20,2,0.0,1,0,0,0,0
38,02/29/20,3,0.0,1,1,0,0,0
39,03/01/20,6,0.0,1,3,0,0,0
40,03/02/20,6,0.0,1,0,0,0,0
41,03/03/20,6,0.0,1,0,0,0,0
42,03/04/20,6,0.0,1,0,0,0,0
43,03/05/20,12,0.0,1,6,0,0,0
44,03/06/20,15,0.0,1,3,0,0,0
45,03/07/20,15,0.0,1,0,0,0,0
46,03/08/20,23,0.0,1,8,0,0,0
47,03/09/20,30,0.0,1,7,0,0,0
48,03/10/20,40,0.0,1,10,0,0,0
49,03/11/20,59,0.0,1,19,0,0,0
50,03/12/20,59,0.0,1,0,0,0,0
51,03/13/20,155,0.0,1,96,0,0,0
52,03/14/20,225,0.0,1,70,0,0,0
53,03/15/20,244,0.0,10,19,0,9,9
54,03/16/20,277,0.0,10,33,0,0,0
55,03/17/20,321,0.0,10,44,0,0,0
56,03/18/20,336,0.0,10,15,0,0,0
57,03/19/20,400,0.0,10,64,0,0,0
58,03/20/20,450,0.0,10,50,0,0,0
59,03/21/20,523,1.0,10,73,1,0,1
60,03/22/20,626,1.0,10,103,0,0,0
61,03/23/20,700,1.0,10,74,0,0,0
62,03/24/20,792,1.0,10,92,0,0,0
63,03/25/20,880,3.0,10,88,2,0,2
64,03/26/20,958,5.0,10,78,2,0,2
65,03/27/20,1041,7.0,10,83,2,0,2
66,03/28/20,1167,9.0,10,126,2,0,2
67,03/29/20,1240,11.0,10,73,2,0,2
68,03/30/20,1352,13.0,10,112,2,0,2
69,03/31/20,1418,17.0,10,66,4,0,4
70,04/01/20,1446,17.0,10,28,0,0,0
71,04/02/20,1518,19.0,300,72,2,290,292
72,04/03/20,1615,20.0,300,97,1,0,1
73,04/04/20,1882,25.0,300,267,5,0,5
74,04/05/20,1927,28.0,300,45,3,0,3
75,04/06/20,2176,,300,249,0,0,-1
76,04/07/20,2308,34.0,300,132,0,0,7
77,04/08/20,2487,40.0,300,179,6,0,6
78,04/09/20,2605,42.0,300,118,2,0,2
79,04/10/20,2769,48.0,300,164,6,0,6
80,04/11/20,2905,49.0,300,136,1,0,1
81,04/12/20,2974,56.0,300,69,7,0,7
82,04/13/20,3064,59.0,300,90,3,0,3
83,04/14/20,3161,64.0,300,97,5,0,5
84,04/15/20,3237,72.0,300,76,8,0,8
