,dates2,cum_cases,cum_deaths,cum_recover,new_cases,new_deaths,new_recover,new_uninfected
0,01/22/20,0,0.0,0,0,0,0,0
1,01/23/20,0,0.0,0,0,0,0,0
2,01/24/20,0,0.0,0,0,0,0,0
3,01/25/20,0,0.0,0,0,0,0,0
4,01/26/20,0,0.0,0,0,0,0,0
5,01/27/20,1,0.0,0,1,0,0,0
6,01/28/20,4,0.0,0,3,0,0,0
7,01/29/20,4,0.0,0,0,0,0,0
8,01/30/20,4,0.0,0,0,0,0,0
9,01/31/20,5,0.0,0,1,0,0,0
10,02/01/20,8,0.0,0,3,0,0,0
11,02/02/20,10,0.0,0,2,0,0,0
12,02/03/20,12,0.0,0,2,0,0,0
13,02/04/20,12,0.0,0,0,0,0,0
14,02/05/20,12,0.0,0,0,0,0,0
15,02/06/20,12,0.0,0,0,0,0,0
16,02/07/20,13,0.0,0,1,0,0,0
17,02/08/20,13,0.0,0,0,0,0,0
18,02/09/20,14,0.0,0,1,0,0,0
19,02/10/20,14,0.0,0,0,0,0,0
20,02/11/20,16,0.0,0,2,0,0,0
21,02/12/20,16,0.0,0,0,0,0,0
22,02/13/20,16,0.0,1,0,0,1,1
23,02/14/20,16,0.0,1,0,0,0,0
24,02/15/20,16,0.0,1,0,0,0,0
25,02/16/20,16,0.0,1,0,0,0,0
26,02/17/20,16,0.0,1,0,0,0,0
27,02/18/20,16,0.0,12,0,0,11,11
28,02/19/20,16,0.0,12,0,0,0,0
29,02/20/20,16,0.0,12,0,0,0,0
30,02/21/20,16,0.0,14,0,0,2,2
31,02/22/20,16,0.0,14,0,0,0,0
32,02/23/20,16,0.0,14,0,0,0,0
33,02/24/20,16,0.0,14,0,0,0,0
34,02/25/20,17,0.0,14,1,0,0,0
35,02/26/20,27,0.0,15,10,0,1,1
36,02/27/20,46,0.0,16,19,0,1,1
37,02/28/20,48,0.0,16,2,0,0,0
38,02/29/20,79,0.0,16,31,0,0,0
39,03/01/20,130,0.0,16,51,0,0,0
40,03/02/20,159,0.0,16,29,0,0,0
41,03/03/20,196,0.0,16,37,0,0,0
42,03/04/20,262,0.0,16,66,0,0,0
43,03/05/20,482,0.0,16,220,0,0,0
44,03/06/20,670,0.0,17,188,0,1,1
45,03/07/20,799,0.0,18,129,0,1,1
46,03/08/20,1040,0.0,18,241,0,0,0
47,03/09/20,1176,2.0,18,136,2,0,2
48,03/10/20,1457,2.0,18,281,0,0,0
49,03/11/20,1908,3.0,25,451,1,7,8
50,03/12/20,2078,3.0,25,170,0,0,0
51,03/13/20,3675,7.0,46,1597,4,21,25
52,03/14/20,4585,9.0,46,910,2,0,2
53,03/15/20,5795,11.0,46,1210,2,0,2
54,03/16/20,7272,17.0,67,1477,6,21,27
55,03/17/20,9257,24.0,67,1985,7,0,7
56,03/18/20,12327,28.0,105,3070,4,38,42
57,03/19/20,15320,44.0,113,2993,16,8,24
58,03/20/20,19848,67.0,180,4528,23,67,90
59,03/21/20,22213,84.0,233,2365,17,53,70
60,03/22/20,24873,94.0,266,2660,10,33,43
61,03/23/20,29056,123.0,266,4183,29,0,29
62,03/24/20,32986,157.0,3243,3930,34,2977,3011
63,03/25/20,37323,206.0,3547,4337,49,304,353
64,03/26/20,43938,267.0,5673,6615,61,2126,2187
65,03/27/20,50871,342.0,6658,6933,75,985,1060
66,03/28/20,57695,433.0,8481,6824,91,1823,1914
67,03/29/20,62095,533.0,9211,4400,100,730,830
68,03/30/20,66885,645.0,13500,4790,112,4289,4401
69,03/31/20,71808,775.0,16100,4923,130,2600,2730
70,04/01/20,77872,920.0,18700,6064,145,2600,2745
71,04/02/20,84794,1107.0,22440,6922,187,3740,3927
72,04/03/20,91159,1275.0,24575,6365,168,2135,2303
73,04/04/20,96092,1444.0,26400,4933,169,1825,1994
74,04/05/20,100123,1584.0,28700,4031,140,2300,2440
75,04/06/20,103374,1810.0,28700,3251,226,0,226
76,04/07/20,107663,2016.0,36081,4289,206,7381,7587
77,04/08/20,113296,2349.0,46300,5633,333,10219,10552
78,04/09/20,118181,2607.0,52407,4885,258,6107,6365
79,04/10/20,122171,2767.0,53913,3990,160,1506,1666
80,04/11/20,124908,,57400,2737,0,3487,3456
81,04/12/20,127854,3022.0,60300,2946,0,2900,3186
82,04/13/20,130072,3194.0,64300,2218,172,4000,4172
83,04/14/20,131359,3294.0,68200,1287,100,3900,4000
84,04/15/20,134753,3804.0,72600,3394,510,4400,4910
85,04/16/20,137698,4052.0,77000,2945,248,4400,4648
86,04/17/20,141397,4352.0,83114,3699,300,6114,6414
87,04/18/20,143342,4459.0,85400,1945,107,2286,2393
88,04/19/20,145184,4586.0,88000,1842,127,2600,2727
89,04/20/20,147065,4862.0,91500,1881,276,3500,3776
90,04/21/20,148291,5033.0,95200,1226,171,3700,3871
91,04/22/20,150648,5279.0,99400,2357,246,4200,4446
92,04/23/20,153129,5575.0,103300,2481,296,3900,4196
93,04/24/20,154999,5760.0,109800,1870,185,6500,6685
94,04/25/20,156513,5877.0,109800,1514,117,0,117
95,04/26/20,157770,5976.0,112000,1257,99,2200,2299
96,04/27/20,158758,6126.0,114500,988,150,2500,2650
97,04/28/20,159912,6314.0,117400,1154,188,2900,3088
