,dates2,cum_cases,cum_deaths,cum_recover,new_cases,new_deaths,new_recover,new_uninfected
0,01/22/20,0,0,0,0,0,0,0
1,01/23/20,0,0,0,0,0,0,0
2,01/24/20,0,0,0,0,0,0,0
3,01/25/20,0,0,0,0,0,0,0
4,01/26/20,0,0,0,0,0,0,0
5,01/27/20,0,0,0,0,0,0,0
6,01/28/20,0,0,0,0,0,0,0
7,01/29/20,0,0,0,0,0,0,0
8,01/30/20,0,0,0,0,0,0,0
9,01/31/20,0,0,0,0,0,0,0
10,02/01/20,0,0,0,0,0,0,0
11,02/02/20,0,0,0,0,0,0,0
12,02/03/20,0,0,0,0,0,0,0
13,02/04/20,0,0,0,0,0,0,0
14,02/05/20,0,0,0,0,0,0,0
15,02/06/20,0,0,0,0,0,0,0
16,02/07/20,0,0,0,0,0,0,0
17,02/08/20,0,0,0,0,0,0,0
18,02/09/20,0,0,0,0,0,0,0
19,02/10/20,0,0,0,0,0,0,0
20,02/11/20,0,0,0,0,0,0,0
21,02/12/20,0,0,0,0,0,0,0
22,02/13/20,0,0,0,0,0,0,0
23,02/14/20,0,0,0,0,0,0,0
24,02/15/20,0,0,0,0,0,0,0
25,02/16/20,0,0,0,0,0,0,0
26,02/17/20,0,0,0,0,0,0,0
27,02/18/20,0,0,0,0,0,0,0
28,02/19/20,0,0,0,0,0,0,0
29,02/20/20,0,0,0,0,0,0,0
30,02/21/20,0,0,0,0,0,0,0
31,02/22/20,0,0,0,0,0,0,0
32,02/23/20,0,0,0,0,0,0,0
33,02/24/20,0,0,0,0,0,0,0
34,02/25/20,0,0,0,0,0,0,0
35,02/26/20,1,0,0,1,0,0,0
36,02/27/20,3,0,0,2,0,0,0
37,02/28/20,4,0,0,1,0,0,0
38,02/29/20,4,0,0,0,0,0,0
39,03/01/20,7,0,0,3,0,0,0
40,03/02/20,7,0,0,0,0,0,0
41,03/03/20,7,0,0,0,0,0,0
42,03/04/20,9,0,0,2,0,0,0
43,03/05/20,31,0,0,22,0,0,0
44,03/06/20,45,0,0,14,0,0,0
45,03/07/20,46,0,0,1,0,0,0
46,03/08/20,73,0,0,27,0,0,0
47,03/09/20,73,0,0,0,0,0,0
48,03/10/20,89,0,0,16,0,0,0
49,03/11/20,99,1,0,10,1,0,1
50,03/12/20,99,1,0,0,0,0,0
51,03/13/20,190,1,0,91,0,0,0
52,03/14/20,228,3,8,38,2,8,10
53,03/15/20,331,4,8,103,1,0,1
54,03/16/20,331,4,8,0,0,0,0
55,03/17/20,387,5,8,56,1,0,1
56,03/18/20,418,5,8,31,0,0,0
57,03/19/20,418,6,8,0,1,0,1
58,03/20/20,495,6,19,77,0,11,11
59,03/21/20,530,13,19,35,7,0,7
60,03/22/20,624,15,19,94,2,0,2
61,03/23/20,695,17,19,71,2,0,2
62,03/24/20,743,20,29,48,3,10,13
63,03/25/20,821,22,36,78,2,7,9
64,03/26/20,892,26,36,71,4,0,4
65,03/27/20,966,28,52,74,2,16,18
66,03/28/20,1061,32,52,95,4,0,4
67,03/29/20,1156,38,52,95,6,0,6
68,03/30/20,1212,43,52,56,5,0,5
69,03/31/20,1314,49,52,102,6,0,6
70,04/01/20,1415,50,52,101,1,0,1
71,04/02/20,1544,53,61,129,3,9,12
72,04/03/20,1613,63,78,69,10,17,27
73,04/04/20,1673,68,78,60,5,0,5
74,04/05/20,1735,73,78,62,5,0,5
75,04/06/20,1755,79,269,20,6,191,197
76,04/07/20,1832,81,269,77,2,0,2
77,04/08/20,1884,83,269,52,2,0,2
78,04/09/20,1955,87,269,71,4,0,4
79,04/10/20,2011,92,269,56,5,0,5
80,04/11/20,2081,93,269,70,1,0,1
81,04/12/20,2114,98,269,33,5,0,5
82,04/13/20,2145,99,269,31,1,0,1
83,04/14/20,2170,101,269,25,2,0,2
84,04/15/20,2192,102,269,22,1,0,1
85,04/16/20,2207,105,269,15,3,0,3
86,04/17/20,2224,108,269,17,3,0,3
87,04/18/20,2235,110,269,11,2,0,2
88,04/19/20,2235,113,269,0,3,0,3
89,04/20/20,2245,116,269,10,3,0,3
90,04/21/20,2401,121,577,156,5,308,313
91,04/22/20,2408,121,577,7,0,0,0
92,04/23/20,2463,125,577,55,4,0,4
93,04/24/20,2490,130,577,27,5,0,5
94,04/25/20,2506,130,577,16,0,0,0
95,04/26/20,2517,134,577,11,4,0,4
96,04/27/20,2534,136,577,17,2,0,2
97,04/28/20,2566,138,577,32,2,0,2
