,dates2,cum_cases,cum_deaths,cum_recover,new_cases,new_deaths,new_recover,new_uninfected
0,01/22/20,0,0,0,0,0,0,0
1,01/23/20,0,0,0,0,0,0,0
2,01/24/20,0,0,0,0,0,0,0
3,01/25/20,0,0,0,0,0,0,0
4,01/26/20,0,0,0,0,0,0,0
5,01/27/20,0,0,0,0,0,0,0
6,01/28/20,0,0,0,0,0,0,0
7,01/29/20,0,0,0,0,0,0,0
8,01/30/20,0,0,0,0,0,0,0
9,01/31/20,0,0,0,0,0,0,0
10,02/01/20,0,0,0,0,0,0,0
11,02/02/20,0,0,0,0,0,0,0
12,02/03/20,0,0,0,0,0,0,0
13,02/04/20,0,0,0,0,0,0,0
14,02/05/20,0,0,0,0,0,0,0
15,02/06/20,0,0,0,0,0,0,0
16,02/07/20,0,0,0,0,0,0,0
17,02/08/20,0,0,0,0,0,0,0
18,02/09/20,0,0,0,0,0,0,0
19,02/10/20,0,0,0,0,0,0,0
20,02/11/20,0,0,0,0,0,0,0
21,02/12/20,0,0,0,0,0,0,0
22,02/13/20,0,0,0,0,0,0,0
23,02/14/20,0,0,0,0,0,0,0
24,02/15/20,0,0,0,0,0,0,0
25,02/16/20,0,0,0,0,0,0,0
26,02/17/20,0,0,0,0,0,0,0
27,02/18/20,0,0,0,0,0,0,0
28,02/19/20,0,0,0,0,0,0,0
29,02/20/20,0,0,0,0,0,0,0
30,02/21/20,0,0,0,0,0,0,0
31,02/22/20,0,0,0,0,0,0,0
32,02/23/20,0,0,0,0,0,0,0
33,02/24/20,0,0,0,0,0,0,0
34,02/25/20,0,0,0,0,0,0,0
35,02/26/20,0,0,0,0,0,0,0
36,02/27/20,0,0,0,0,0,0,0
37,02/28/20,0,0,0,0,0,0,0
38,02/29/20,0,0,0,0,0,0,0
39,03/01/20,0,0,0,0,0,0,0
40,03/02/20,0,0,0,0,0,0,0
41,03/03/20,0,0,0,0,0,0,0
42,03/04/20,2,0,0,2,0,0,0
43,03/05/20,2,0,0,0,0,0,0
44,03/06/20,2,0,0,0,0,0,0
45,03/07/20,4,0,0,2,0,0,0
46,03/08/20,7,0,0,3,0,0,0
47,03/09/20,9,0,0,2,0,0,0
48,03/10/20,9,0,0,0,0,0,0
49,03/11/20,13,0,0,4,0,0,0
50,03/12/20,13,0,0,0,0,0,0
51,03/13/20,19,0,0,6,0,0,0
52,03/14/20,30,0,1,11,0,1,1
53,03/15/20,32,1,1,2,1,0,1
54,03/16/20,39,1,1,7,0,0,0
55,03/17/20,50,1,2,11,0,1,1
56,03/18/20,58,1,2,8,0,0,0
57,03/19/20,73,1,2,15,0,0,0
58,03/20/20,85,3,2,12,2,0,2
59,03/21/20,103,4,7,18,1,5,6
60,03/22/20,131,6,16,28,2,9,11
61,03/23/20,167,7,16,36,1,0,1
62,03/24/20,187,9,21,20,2,5,7
63,03/25/20,226,10,21,39,1,0,1
64,03/26/20,261,10,28,35,0,7,7
65,03/27/20,300,10,34,39,0,6,6
66,03/28/20,343,11,34,43,1,0,1
67,03/29/20,408,13,34,65,2,0,2
68,03/30/20,447,15,34,39,2,0,2
69,03/31/20,492,16,37,45,1,3,4
70,04/01/20,525,20,40,33,4,3,7
71,04/02/20,585,21,42,60,1,2,3
72,04/03/20,623,26,43,38,5,1,6
73,04/04/20,678,32,58,55,6,15,21
74,04/05/20,733,34,66,55,2,8,10
75,04/06/20,744,38,67,11,4,1,5
76,04/07/20,817,47,71,73,9,4,13
77,04/08/20,895,58,94,78,11,23,34
78,04/09/20,980,66,96,85,8,2,10
79,04/10/20,1190,77,112,210,11,16,27
80,04/11/20,1310,85,115,120,8,3,11
81,04/12/20,1410,99,118,100,14,3,17
82,04/13/20,1458,109,120,48,10,2,12
83,04/14/20,1512,122,122,54,13,2,15
84,04/15/20,1579,134,192,67,12,70,82
85,04/16/20,1652,142,199,73,8,7,15
86,04/17/20,1763,156,207,111,14,8,22
87,04/18/20,1834,172,231,71,16,24,40
88,04/19/20,1916,189,250,82,17,19,36
89,04/20/20,1984,199,267,68,10,17,27
90,04/21/20,2098,213,287,114,14,20,34
91,04/22/20,2168,225,295,70,12,8,20
92,04/23/20,2284,239,390,116,14,95,109
93,04/24/20,2443,262,458,159,23,68,91
94,04/25/20,2443,262,458,0,0,0,0
95,04/26/20,2500,272,485,57,10,27,37
96,04/27/20,2583,280,498,83,8,13,21
97,04/28/20,2649,291,516,66,11,18,29
