,dates2,cum_cases,cum_deaths,cum_recover,new_cases,new_deaths,new_recover,new_uninfected
0,01/22/20,0,0.0,0,0,0,0,0
1,01/23/20,0,0.0,0,0,0,0,0
2,01/24/20,0,0.0,0,0,0,0,0
3,01/25/20,0,0.0,0,0,0,0,0
4,01/26/20,0,0.0,0,0,0,0,0
5,01/27/20,0,0.0,0,0,0,0,0
6,01/28/20,0,0.0,0,0,0,0,0
7,01/29/20,0,0.0,0,0,0,0,0
8,01/30/20,1,0.0,0,1,0,0,0
9,01/31/20,1,0.0,0,0,0,0,0
10,02/01/20,1,0.0,0,0,0,0,0
11,02/02/20,2,0.0,0,1,0,0,0
12,02/03/20,3,0.0,0,1,0,0,0
13,02/04/20,3,0.0,0,0,0,0,0
14,02/05/20,3,0.0,0,0,0,0,0
15,02/06/20,3,0.0,0,0,0,0,0
16,02/07/20,3,0.0,0,0,0,0,0
17,02/08/20,3,0.0,0,0,0,0,0
18,02/09/20,3,0.0,0,0,0,0,0
19,02/10/20,3,0.0,0,0,0,0,0
20,02/11/20,3,0.0,0,0,0,0,0
21,02/12/20,3,0.0,0,0,0,0,0
22,02/13/20,3,0.0,0,0,0,0,0
23,02/14/20,3,0.0,0,0,0,0,0
24,02/15/20,3,0.0,0,0,0,0,0
25,02/16/20,3,0.0,3,0,0,3,3
26,02/17/20,3,0.0,3,0,0,0,0
27,02/18/20,3,0.0,3,0,0,0,0
28,02/19/20,3,0.0,3,0,0,0,0
29,02/20/20,3,0.0,3,0,0,0,0
30,02/21/20,3,0.0,3,0,0,0,0
31,02/22/20,3,0.0,3,0,0,0,0
32,02/23/20,3,0.0,3,0,0,0,0
33,02/24/20,3,0.0,3,0,0,0,0
34,02/25/20,3,0.0,3,0,0,0,0
35,02/26/20,3,0.0,3,0,0,0,0
36,02/27/20,3,0.0,3,0,0,0,0
37,02/28/20,3,0.0,3,0,0,0,0
38,02/29/20,3,0.0,3,0,0,0,0
39,03/01/20,3,0.0,3,0,0,0,0
40,03/02/20,5,0.0,3,2,0,0,0
41,03/03/20,5,0.0,3,0,0,0,0
42,03/04/20,28,0.0,3,23,0,0,0
43,03/05/20,30,0.0,3,2,0,0,0
44,03/06/20,31,0.0,3,1,0,0,0
45,03/07/20,34,0.0,3,3,0,0,0
46,03/08/20,39,0.0,3,5,0,0,0
47,03/09/20,43,0.0,3,4,0,0,0
48,03/10/20,56,0.0,4,13,0,1,1
49,03/11/20,62,1.0,4,6,1,0,1
50,03/12/20,73,1.0,4,11,0,0,0
51,03/13/20,82,2.0,4,9,1,0,1
52,03/14/20,102,2.0,4,20,0,0,0
53,03/15/20,113,2.0,13,11,0,9,9
54,03/16/20,119,2.0,13,6,0,0,0
55,03/17/20,142,3.0,14,23,1,1,2
56,03/18/20,156,3.0,14,14,0,0,0
57,03/19/20,194,4.0,15,38,1,1,2
58,03/20/20,244,5.0,20,50,1,5,6
59,03/21/20,330,,23,86,0,3,2
60,03/22/20,396,7.0,27,66,0,4,7
61,03/23/20,499,10.0,27,103,3,0,3
62,03/24/20,536,10.0,40,37,0,13,13
63,03/25/20,657,12.0,43,121,2,3,5
64,03/26/20,727,20.0,45,70,8,2,10
65,03/27/20,887,20.0,73,160,0,28,28
66,03/28/20,987,24.0,84,100,4,11,15
67,03/29/20,1024,27.0,95,37,3,11,14
68,03/30/20,1251,32.0,102,227,5,7,12
69,03/31/20,1397,35.0,123,146,3,21,24
70,04/01/20,1998,58.0,148,601,23,25,48
71,04/02/20,2543,72.0,191,545,14,43,57
72,04/03/20,2567,72.0,192,24,0,1,1
73,04/04/20,3082,86.0,229,515,14,37,51
74,04/05/20,3588,99.0,229,506,13,0,13
75,04/06/20,4778,136.0,375,1190,37,146,183
76,04/07/20,5311,150.0,421,533,14,46,60
77,04/08/20,5916,178.0,506,605,28,85,113
78,04/09/20,6725,226.0,620,809,48,114,162
79,04/10/20,7598,246.0,774,873,20,154,174
80,04/11/20,8446,288.0,969,848,42,195,237
81,04/12/20,9205,331.0,1080,759,43,111,154
82,04/13/20,10453,358.0,1181,1248,27,101,128
83,04/14/20,11487,393.0,1359,1034,35,178,213
84,04/15/20,12322,405.0,1432,835,12,73,85
