,dates2,cum_cases,cum_deaths,cum_recover,new_cases,new_deaths,new_recover,new_uninfected
0,01/22/20,0,0,0,0,0,0,0
1,01/23/20,0,0,0,0,0,0,0
2,01/24/20,0,0,0,0,0,0,0
3,01/25/20,0,0,0,0,0,0,0
4,01/26/20,0,0,0,0,0,0,0
5,01/27/20,0,0,0,0,0,0,0
6,01/28/20,0,0,0,0,0,0,0
7,01/29/20,0,0,0,0,0,0,0
8,01/30/20,0,0,0,0,0,0,0
9,01/31/20,0,0,0,0,0,0,0
10,02/01/20,0,0,0,0,0,0,0
11,02/02/20,0,0,0,0,0,0,0
12,02/03/20,0,0,0,0,0,0,0
13,02/04/20,0,0,0,0,0,0,0
14,02/05/20,0,0,0,0,0,0,0
15,02/06/20,0,0,0,0,0,0,0
16,02/07/20,0,0,0,0,0,0,0
17,02/08/20,0,0,0,0,0,0,0
18,02/09/20,0,0,0,0,0,0,0
19,02/10/20,0,0,0,0,0,0,0
20,02/11/20,0,0,0,0,0,0,0
21,02/12/20,0,0,0,0,0,0,0
22,02/13/20,0,0,0,0,0,0,0
23,02/14/20,0,0,0,0,0,0,0
24,02/15/20,0,0,0,0,0,0,0
25,02/16/20,0,0,0,0,0,0,0
26,02/17/20,0,0,0,0,0,0,0
27,02/18/20,0,0,0,0,0,0,0
28,02/19/20,0,0,0,0,0,0,0
29,02/20/20,0,0,0,0,0,0,0
30,02/21/20,0,0,0,0,0,0,0
31,02/22/20,0,0,0,0,0,0,0
32,02/23/20,0,0,0,0,0,0,0
33,02/24/20,0,0,0,0,0,0,0
34,02/25/20,0,0,0,0,0,0,0
35,02/26/20,0,0,0,0,0,0,0
36,02/27/20,0,0,0,0,0,0,0
37,02/28/20,0,0,0,0,0,0,0
38,02/29/20,0,0,0,0,0,0,0
39,03/01/20,0,0,0,0,0,0,0
40,03/02/20,2,0,0,2,0,0,0
41,03/03/20,2,0,0,0,0,0,0
42,03/04/20,2,0,0,0,0,0,0
43,03/05/20,2,0,0,0,0,0,0
44,03/06/20,4,0,0,2,0,0,0
45,03/07/20,4,0,0,0,0,0,0
46,03/08/20,6,0,0,2,0,0,0
47,03/09/20,19,0,0,13,0,0,0
48,03/10/20,27,0,2,8,0,2,2
49,03/11/20,34,1,2,7,1,0,1
50,03/12/20,34,1,2,0,0,0,0
51,03/13/20,69,4,2,35,3,0,3
52,03/14/20,96,5,8,27,1,6,7
53,03/15/20,117,5,8,21,0,0,0
54,03/16/20,134,5,8,17,0,0,0
55,03/17/20,172,5,8,38,0,0,0
56,03/18/20,227,19,11,55,14,3,17
57,03/19/20,311,25,11,84,6,0,6
58,03/20/20,369,32,15,58,7,4,11
59,03/21/20,450,38,15,81,6,0,6
60,03/22/20,514,48,29,64,10,14,24
61,03/23/20,579,49,29,65,1,0,1
62,03/24/20,686,55,30,107,6,1,7
63,03/25/20,790,58,31,104,3,1,4
64,03/26/20,893,78,35,103,20,4,24
65,03/27/20,1046,87,46,153,9,11,20
66,03/28/20,1155,102,59,109,15,13,28
67,03/29/20,1285,114,64,130,12,5,17
68,03/30/20,1414,122,75,129,8,11,19
69,03/31/20,1528,136,81,114,14,6,20
70,04/01/20,1677,157,103,149,21,22,43
71,04/02/20,1790,170,112,113,13,9,22
72,04/03/20,1986,181,134,196,11,22,33
73,04/04/20,2092,191,150,106,10,16,26
74,04/05/20,2273,198,164,181,7,14,21
75,04/06/20,2491,209,192,218,11,28,39
76,04/07/20,2738,221,204,247,12,12,24
77,04/08/20,2956,240,222,218,19,18,37
78,04/09/20,3293,280,252,337,40,30,70
79,04/10/20,3512,306,282,219,26,30,56
80,04/11/20,3842,327,286,330,21,4,25
81,04/12/20,4241,373,359,399,46,73,119
82,04/13/20,4557,399,380,316,26,21,47
83,04/14/20,4839,459,426,282,60,46,106
84,04/15/20,5136,469,446,297,10,20,30
85,04/16/20,5516,496,548,380,27,102,129
86,04/17/20,5923,520,607,407,24,59,83
87,04/18/20,6248,535,631,325,15,24,39
88,04/19/20,6575,582,686,327,47,55,102
89,04/20/20,6760,590,747,185,8,61,69
90,04/21/20,7135,616,842,375,26,95,121
91,04/22/20,7418,635,913,283,19,71,90
92,04/23/20,7775,647,960,357,12,47,59
93,04/24/20,8211,689,1002,436,42,42,84
94,04/25/20,8607,720,1042,396,31,40,71
95,04/26/20,8882,743,1107,275,23,65,88
96,04/27/20,9096,765,1151,214,22,44,66
97,04/28/20,9511,773,1254,415,8,103,111
