,dates2,cum_cases,cum_deaths,cum_recover,new_cases,new_deaths,new_recover,new_uninfected
0,01/22/20,0,0,0,0,0,0,0
1,01/23/20,0,0,0,0,0,0,0
2,01/24/20,0,0,0,0,0,0,0
3,01/25/20,0,0,0,0,0,0,0
4,01/26/20,0,0,0,0,0,0,0
5,01/27/20,0,0,0,0,0,0,0
6,01/28/20,0,0,0,0,0,0,0
7,01/29/20,0,0,0,0,0,0,0
8,01/30/20,0,0,0,0,0,0,0
9,01/31/20,0,0,0,0,0,0,0
10,02/01/20,0,0,0,0,0,0,0
11,02/02/20,0,0,0,0,0,0,0
12,02/03/20,0,0,0,0,0,0,0
13,02/04/20,0,0,0,0,0,0,0
14,02/05/20,0,0,0,0,0,0,0
15,02/06/20,0,0,0,0,0,0,0
16,02/07/20,0,0,0,0,0,0,0
17,02/08/20,0,0,0,0,0,0,0
18,02/09/20,0,0,0,0,0,0,0
19,02/10/20,0,0,0,0,0,0,0
20,02/11/20,0,0,0,0,0,0,0
21,02/12/20,0,0,0,0,0,0,0
22,02/13/20,0,0,0,0,0,0,0
23,02/14/20,0,0,0,0,0,0,0
24,02/15/20,0,0,0,0,0,0,0
25,02/16/20,0,0,0,0,0,0,0
26,02/17/20,0,0,0,0,0,0,0
27,02/18/20,0,0,0,0,0,0,0
28,02/19/20,2,2,0,2,2,0,2
29,02/20/20,5,2,0,3,0,0,0
30,02/21/20,18,4,0,13,2,0,2
31,02/22/20,28,5,0,10,1,0,1
32,02/23/20,43,8,0,15,3,0,3
33,02/24/20,61,12,0,18,4,0,4
34,02/25/20,95,16,0,34,4,0,4
35,02/26/20,139,19,49,44,3,49,52
36,02/27/20,245,26,49,106,7,0,7
37,02/28/20,388,34,73,143,8,24,32
38,02/29/20,593,43,123,205,9,50,59
39,03/01/20,978,54,175,385,11,52,63
40,03/02/20,1501,66,291,523,12,116,128
41,03/03/20,2336,77,291,835,11,0,11
42,03/04/20,2922,92,552,586,15,261,276
43,03/05/20,3513,107,739,591,15,187,202
44,03/06/20,4747,124,913,1234,17,174,191
45,03/07/20,5823,145,1669,1076,21,756,777
46,03/08/20,6566,194,2134,743,49,465,514
47,03/09/20,7161,237,2394,595,43,260,303
48,03/10/20,8042,291,2731,881,54,337,391
49,03/11/20,9000,354,2959,958,63,228,291
50,03/12/20,10075,429,2959,1075,75,0,75
51,03/13/20,11364,514,2959,1289,85,0,85
52,03/14/20,12729,611,2959,1365,97,0,97
53,03/15/20,13938,724,4590,1209,113,1631,1744
54,03/16/20,14991,853,4590,1053,129,0,129
55,03/17/20,16169,988,5389,1178,135,799,934
56,03/18/20,17361,1135,5389,1192,147,0,147
57,03/19/20,18407,1284,5710,1046,149,321,470
58,03/20/20,19644,1433,6745,1237,149,1035,1184
59,03/21/20,20610,1556,7635,966,123,890,1013
60,03/22/20,21638,1685,7931,1028,129,296,425
61,03/23/20,23049,1812,7931,1411,127,0,127
62,03/24/20,24811,1934,8913,1762,122,982,1104
63,03/25/20,27017,2077,9625,2206,143,712,855
64,03/26/20,29406,2234,10457,2389,157,832,989
65,03/27/20,32332,2378,11133,2926,144,676,820
66,03/28/20,35408,2517,11679,3076,139,546,685
67,03/29/20,38309,2640,12391,2901,123,712,835
68,03/30/20,41495,2757,13911,3186,117,1520,1637
69,03/31/20,44605,2898,14656,3110,141,745,886
70,04/01/20,47593,3036,15473,2988,138,817,955
71,04/02/20,50468,3160,16711,2875,124,1238,1362
72,04/03/20,53183,3294,17935,2715,134,1224,1358
73,04/04/20,55743,3452,19736,2560,158,1801,1959
74,04/05/20,58226,3603,19736,2483,151,0,151
75,04/06/20,60500,3739,24236,2274,136,4500,4636
76,04/07/20,62589,3872,27039,2089,133,2803,2936
77,04/08/20,64586,3993,29812,1997,121,2773,2894
78,04/09/20,66220,4110,32309,1634,117,2497,2614
79,04/10/20,68192,4232,35465,1972,122,3156,3278
80,04/11/20,70029,4357,41947,1837,125,6482,6607
81,04/12/20,71686,4474,43894,1657,117,1947,2064
82,04/13/20,73303,4585,45983,1617,111,2089,2200
83,04/14/20,74877,4683,48129,1574,98,2146,2244
84,04/15/20,76389,4777,49933,1512,94,1804,1898
85,04/16/20,77995,4869,52229,1606,92,2296,2388
86,04/17/20,79494,4958,54064,1499,89,1835,1924
87,04/18/20,80868,5031,55987,1374,73,1923,1996
88,04/19/20,82211,5118,57023,1343,87,1036,1123
89,04/20/20,83505,5209,59273,1294,91,2250,2341
90,04/21/20,84802,5297,60965,1297,88,1692,1780
91,04/22/20,85996,5391,63113,1194,94,2148,2242
92,04/23/20,87026,5481,64843,1030,90,1730,1820
93,04/24/20,88194,5574,66599,1168,93,1756,1849
94,04/25/20,89328,5650,68193,1134,76,1594,1670
95,04/26/20,90481,5710,69657,1153,60,1464,1524
