,dates2,cum_cases,cum_deaths,cum_recover,new_cases,new_deaths,new_recover,new_uninfected
0,01/22/20,0,0,0,0,0,0,0
1,01/23/20,0,0,0,0,0,0,0
2,01/24/20,0,0,0,0,0,0,0
3,01/25/20,0,0,0,0,0,0,0
4,01/26/20,0,0,0,0,0,0,0
5,01/27/20,0,0,0,0,0,0,0
6,01/28/20,0,0,0,0,0,0,0
7,01/29/20,0,0,0,0,0,0,0
8,01/30/20,0,0,0,0,0,0,0
9,01/31/20,0,0,0,0,0,0,0
10,02/01/20,0,0,0,0,0,0,0
11,02/02/20,0,0,0,0,0,0,0
12,02/03/20,0,0,0,0,0,0,0
13,02/04/20,0,0,0,0,0,0,0
14,02/05/20,0,0,0,0,0,0,0
15,02/06/20,0,0,0,0,0,0,0
16,02/07/20,0,0,0,0,0,0,0
17,02/08/20,0,0,0,0,0,0,0
18,02/09/20,0,0,0,0,0,0,0
19,02/10/20,0,0,0,0,0,0,0
20,02/11/20,0,0,0,0,0,0,0
21,02/12/20,0,0,0,0,0,0,0
22,02/13/20,0,0,0,0,0,0,0
23,02/14/20,0,0,0,0,0,0,0
24,02/15/20,0,0,0,0,0,0,0
25,02/16/20,0,0,0,0,0,0,0
26,02/17/20,0,0,0,0,0,0,0
27,02/18/20,0,0,0,0,0,0,0
28,02/19/20,0,0,0,0,0,0,0
29,02/20/20,0,0,0,0,0,0,0
30,02/21/20,0,0,0,0,0,0,0
31,02/22/20,0,0,0,0,0,0,0
32,02/23/20,0,0,0,0,0,0,0
33,02/24/20,1,0,0,1,0,0,0
34,02/25/20,1,0,0,0,0,0,0
35,02/26/20,5,0,0,4,0,0,0
36,02/27/20,7,0,0,2,0,0,0
37,02/28/20,7,0,0,0,0,0,0
38,02/29/20,13,0,0,6,0,0,0
39,03/01/20,19,0,0,6,0,0,0
40,03/02/20,26,0,0,7,0,0,0
41,03/03/20,32,0,0,6,0,0,0
42,03/04/20,35,2,0,3,2,0,2
43,03/05/20,35,2,0,0,0,0,0
44,03/06/20,40,3,0,5,1,0,1
45,03/07/20,54,4,0,14,1,0,1
46,03/08/20,60,6,0,6,2,0,2
47,03/09/20,60,6,3,0,0,3,3
48,03/10/20,71,7,3,11,1,0,1
49,03/11/20,71,7,15,0,0,12,12
50,03/12/20,71,8,15,0,1,0,1
51,03/13/20,101,9,24,30,1,9,10
52,03/14/20,110,10,26,9,1,2,3
53,03/15/20,116,10,26,6,0,0,0
54,03/16/20,124,10,26,8,0,0,0
55,03/17/20,154,11,32,30,1,6,7
56,03/18/20,164,12,43,10,1,11,12
57,03/19/20,192,13,43,28,1,0,1
58,03/20/20,208,17,49,16,4,6,10
59,03/21/20,214,17,51,6,0,2,2
60,03/22/20,233,20,57,19,3,6,9
61,03/23/20,266,23,57,33,3,0,3
62,03/24/20,316,27,75,50,4,18,22
63,03/25/20,346,29,103,30,2,28,30
64,03/26/20,382,36,105,36,7,2,9
65,03/27/20,458,40,122,76,4,17,21
66,03/28/20,506,42,131,48,2,9,11
67,03/29/20,547,42,143,41,0,12,12
68,03/30/20,630,46,152,83,4,9,13
69,03/31/20,694,50,170,64,4,18,22
70,04/01/20,728,52,182,34,2,12,14
71,04/02/20,772,54,202,44,2,20,22
72,04/03/20,820,54,226,48,0,24,24
73,04/04/20,878,56,259,58,2,33,35
74,04/05/20,961,61,279,83,5,20,25
75,04/06/20,1031,64,344,70,3,65,68
76,04/07/20,1122,65,373,91,1,29,30
77,04/08/20,1202,69,452,80,4,79,83
78,04/09/20,1232,69,496,30,0,44,44
79,04/10/20,1279,70,550,47,1,54,55
80,04/11/20,1318,72,601,39,2,51,53
81,04/12/20,1352,76,640,34,4,39,43
82,04/13/20,1378,78,717,26,2,77,79
83,04/14/20,1400,78,766,22,0,49,49
84,04/15/20,1415,79,812,15,1,46,47
85,04/16/20,1434,80,856,19,1,44,45
86,04/17/20,1482,81,906,48,1,50,51
87,04/18/20,1513,82,953,31,1,47,48
88,04/19/20,1539,82,1009,26,0,56,56
89,04/20/20,1574,82,1043,35,0,34,34
90,04/21/20,1602,83,1096,28,1,53,54
91,04/22/20,1631,83,1146,29,0,50,50
92,04/23/20,1677,83,1171,46,0,25,25
93,04/24/20,1708,86,1204,31,3,33,36
94,04/25/20,1763,86,1224,55,0,20,20
95,04/26/20,1820,87,1263,57,1,39,40
