,dates2,cum_cases,cum_deaths,cum_recover,new_cases,new_deaths,new_recover,new_uninfected
0,01/22/20,2,0,0,0,0,0,0
1,01/23/20,2,0,0,0,0,0,0
2,01/24/20,2,0,0,0,0,0,0
3,01/25/20,2,0,0,0,0,0,0
4,01/26/20,4,0,1,2,0,1,1
5,01/27/20,4,0,1,0,0,0,0
6,01/28/20,7,0,1,3,0,0,0
7,01/29/20,7,0,1,0,0,0,0
8,01/30/20,11,0,1,4,0,0,0
9,01/31/20,15,0,1,4,0,0,0
10,02/01/20,20,0,1,5,0,0,0
11,02/02/20,20,0,1,0,0,0,0
12,02/03/20,20,0,1,0,0,0,0
13,02/04/20,22,0,1,2,0,0,0
14,02/05/20,22,0,1,0,0,0,0
15,02/06/20,22,0,1,0,0,0,0
16,02/07/20,25,0,1,3,0,0,0
17,02/08/20,25,0,1,0,0,0,0
18,02/09/20,26,0,1,1,0,0,0
19,02/10/20,26,0,4,0,0,3,3
20,02/11/20,26,0,9,0,0,5,5
21,02/12/20,28,0,9,2,0,0,0
22,02/13/20,28,1,9,0,1,0,1
23,02/14/20,29,1,9,1,0,0,0
24,02/15/20,43,1,12,14,0,3,3
25,02/16/20,59,1,12,16,0,0,0
26,02/17/20,66,1,12,7,0,0,0
27,02/18/20,74,1,13,8,0,1,1
28,02/19/20,84,1,18,10,0,5,5
29,02/20/20,94,1,18,10,0,0,0
30,02/21/20,105,1,22,11,0,4,4
31,02/22/20,122,1,22,17,0,0,0
32,02/23/20,147,1,22,25,0,0,0
33,02/24/20,159,1,22,12,0,0,0
34,02/25/20,170,1,22,11,0,0,0
35,02/26/20,189,2,22,19,1,0,1
36,02/27/20,214,4,22,25,2,0,2
37,02/28/20,228,4,22,14,0,0,0
38,02/29/20,241,5,32,13,1,10,11
39,03/01/20,256,6,32,15,1,0,1
40,03/02/20,274,6,32,18,0,0,0
41,03/03/20,293,6,43,19,0,11,11
42,03/04/20,331,6,43,38,0,0,0
43,03/05/20,360,6,43,29,0,0,0
44,03/06/20,420,6,46,60,0,3,3
45,03/07/20,461,6,76,41,0,30,30
46,03/08/20,502,6,76,41,0,0,0
47,03/09/20,511,10,76,9,4,0,4
48,03/10/20,581,10,101,70,0,25,25
49,03/11/20,639,15,118,58,5,17,22
50,03/12/20,639,16,118,0,1,0,1
51,03/13/20,701,19,118,62,3,0,3
52,03/14/20,773,22,118,72,3,0,3
53,03/15/20,839,22,118,66,0,0,0
54,03/16/20,839,27,144,0,5,26,31
55,03/17/20,878,29,144,39,2,0,2
56,03/18/20,889,29,144,11,0,0,0
57,03/19/20,924,29,150,35,0,6,6
58,03/20/20,963,33,191,39,4,41,45
59,03/21/20,1007,35,232,44,2,41,43
60,03/22/20,1101,41,235,94,6,3,9
61,03/23/20,1128,42,235,27,1,0,1
62,03/24/20,1193,43,285,65,1,50,51
63,03/25/20,1307,45,310,114,2,25,27
64,03/26/20,1387,47,359,80,2,49,51
65,03/27/20,1468,49,372,81,2,13,15
66,03/28/20,1693,52,404,225,3,32,35
67,03/29/20,1866,54,424,173,2,20,22
68,03/30/20,1866,54,424,0,0,0,0
69,03/31/20,1953,56,424,87,2,0,2
70,04/01/20,2178,57,472,225,1,48,49
71,04/02/20,2495,62,472,317,5,0,5
72,04/03/20,2617,63,514,122,1,42,43
73,04/04/20,3139,77,514,522,14,0,14
74,04/05/20,3139,77,514,0,0,0,0
75,04/06/20,3654,85,575,515,8,61,69
76,04/07/20,3906,92,592,252,7,17,24
77,04/08/20,4257,93,622,351,1,30,31
78,04/09/20,4667,94,632,410,1,10,11
79,04/10/20,5530,99,685,863,5,53,58
80,04/11/20,6005,99,762,475,0,77,77
81,04/12/20,6748,108,762,743,9,0,9
82,04/13/20,7370,123,784,622,15,22,37
83,04/14/20,7645,143,799,275,20,15,35
84,04/15/20,8100,146,853,455,3,54,57
85,04/16/20,8626,178,901,526,32,48,80
86,04/17/20,9787,190,935,1161,12,34,46
87,04/18/20,10296,222,1069,509,32,134,166
88,04/19/20,10797,236,1159,501,14,90,104
89,04/20/20,10797,236,1159,0,0,0,0
90,04/21/20,11135,263,1239,338,27,80,107
91,04/22/20,11512,281,1356,377,18,117,135
92,04/23/20,12368,328,1494,856,47,138,185
93,04/24/20,12829,345,1530,461,17,36,53
94,04/25/20,13231,360,1656,402,15,126,141
95,04/26/20,13441,372,1809,210,12,153,165
