,dates2,cum_cases,cum_deaths,cum_recover,new_cases,new_deaths,new_recover,new_uninfected
0,01/22/20,0,0,0,0,0,0,0
1,01/23/20,0,0,0,0,0,0,0
2,01/24/20,0,0,0,0,0,0,0
3,01/25/20,0,0,0,0,0,0,0
4,01/26/20,0,0,0,0,0,0,0
5,01/27/20,0,0,0,0,0,0,0
6,01/28/20,0,0,0,0,0,0,0
7,01/29/20,0,0,0,0,0,0,0
8,01/30/20,0,0,0,0,0,0,0
9,01/31/20,0,0,0,0,0,0,0
10,02/01/20,0,0,0,0,0,0,0
11,02/02/20,0,0,0,0,0,0,0
12,02/03/20,0,0,0,0,0,0,0
13,02/04/20,0,0,0,0,0,0,0
14,02/05/20,0,0,0,0,0,0,0
15,02/06/20,0,0,0,0,0,0,0
16,02/07/20,0,0,0,0,0,0,0
17,02/08/20,0,0,0,0,0,0,0
18,02/09/20,0,0,0,0,0,0,0
19,02/10/20,0,0,0,0,0,0,0
20,02/11/20,0,0,0,0,0,0,0
21,02/12/20,0,0,0,0,0,0,0
22,02/13/20,0,0,0,0,0,0,0
23,02/14/20,0,0,0,0,0,0,0
24,02/15/20,0,0,0,0,0,0,0
25,02/16/20,0,0,0,0,0,0,0
26,02/17/20,0,0,0,0,0,0,0
27,02/18/20,0,0,0,0,0,0,0
28,02/19/20,0,0,0,0,0,0,0
29,02/20/20,0,0,0,0,0,0,0
30,02/21/20,0,0,0,0,0,0,0
31,02/22/20,0,0,0,0,0,0,0
32,02/23/20,0,0,0,0,0,0,0
33,02/24/20,0,0,0,0,0,0,0
34,02/25/20,0,0,0,0,0,0,0
35,02/26/20,0,0,0,0,0,0,0
36,02/27/20,0,0,0,0,0,0,0
37,02/28/20,0,0,0,0,0,0,0
38,02/29/20,0,0,0,0,0,0,0
39,03/01/20,0,0,0,0,0,0,0
40,03/02/20,0,0,0,0,0,0,0
41,03/03/20,0,0,0,0,0,0,0
42,03/04/20,0,0,0,0,0,0,0
43,03/05/20,0,0,0,0,0,0,0
44,03/06/20,0,0,0,0,0,0,0
45,03/07/20,0,0,0,0,0,0,0
46,03/08/20,0,0,0,0,0,0,0
47,03/09/20,0,0,0,0,0,0,0
48,03/10/20,0,0,0,0,0,0,0
49,03/11/20,0,0,0,0,0,0,0
50,03/12/20,0,0,0,0,0,0,0
51,03/13/20,0,0,0,0,0,0,0
52,03/14/20,0,0,0,0,0,0,0
53,03/15/20,0,0,0,0,0,0,0
54,03/16/20,0,0,0,0,0,0,0
55,03/17/20,0,0,0,0,0,0,0
56,03/18/20,3,0,0,3,0,0,0
57,03/19/20,3,0,0,0,0,0,0
58,03/20/20,6,0,0,3,0,0,0
59,03/21/20,14,0,0,8,0,0,0
60,03/22/20,14,0,0,0,0,0,0
61,03/23/20,16,0,0,2,0,0,0
62,03/24/20,42,0,0,26,0,0,0
63,03/25/20,44,0,0,2,0,0,0
64,03/26/20,44,0,0,0,0,0,0
65,03/27/20,58,0,0,14,0,0,0
66,03/28/20,58,0,0,0,0,0,0
67,03/29/20,84,0,0,26,0,0,0
68,03/30/20,94,0,3,10,0,3,3
69,03/31/20,107,0,3,13,0,0,0
70,04/01/20,111,0,3,4,0,0,0
71,04/02/20,116,0,5,5,0,2,2
72,04/03/20,130,1,6,14,1,1,2
73,04/04/20,144,1,9,14,0,3,3
74,04/05/20,147,1,9,3,0,0,0
75,04/06/20,216,4,33,69,3,24,27
76,04/07/20,228,4,33,12,0,0,0
77,04/08/20,270,4,33,42,0,0,0
78,04/09/20,280,4,35,10,0,2,2
79,04/10/20,298,5,35,18,1,0,1
80,04/11/20,339,5,44,41,0,9,9
81,04/12/20,377,5,54,38,0,10,10
82,04/13/20,419,5,67,42,0,13,13
83,04/14/20,430,5,71,11,0,4,4
84,04/15/20,449,5,78,19,0,7,7
85,04/16/20,466,5,91,17,0,13,13
86,04/17/20,489,5,114,23,0,23,23
87,04/18/20,506,5,130,17,0,16,16
88,04/19/20,554,5,133,48,0,3,3
89,04/20/20,568,7,201,14,2,68,70
90,04/21/20,590,7,216,22,0,15,15
91,04/22/20,612,7,254,22,0,38,38
92,04/23/20,631,8,302,19,1,48,49
93,04/24/20,665,8,345,34,0,43,43
94,04/25/20,665,8,345,0,0,0,0
95,04/26/20,682,8,370,17,0,25,25
96,04/27/20,695,8,395,13,0,25,25
97,04/28/20,708,8,416,13,0,21,21
