,dates2,cum_cases,cum_deaths,cum_recover,new_cases,new_deaths,new_recover,new_uninfected
0,01/22/20,0.0,0,0,0,0,0,0
1,01/23/20,0.0,0,0,0,0,0,0
2,01/24/20,0.0,0,0,0,0,0,0
3,01/25/20,0.0,0,0,0,0,0,0
4,01/26/20,0.0,0,0,0,0,0,0
5,01/27/20,0.0,0,0,0,0,0,0
6,01/28/20,0.0,0,0,0,0,0,0
7,01/29/20,0.0,0,0,0,0,0,0
8,01/30/20,0.0,0,0,0,0,0,0
9,01/31/20,0.0,0,0,0,0,0,0
10,02/01/20,0.0,0,0,0,0,0,0
11,02/02/20,0.0,0,0,0,0,0,0
12,02/03/20,0.0,0,0,0,0,0,0
13,02/04/20,0.0,0,0,0,0,0,0
14,02/05/20,0.0,0,0,0,0,0,0
15,02/06/20,0.0,0,0,0,0,0,0
16,02/07/20,0.0,0,0,0,0,0,0
17,02/08/20,0.0,0,0,0,0,0,0
18,02/09/20,0.0,0,0,0,0,0,0
19,02/10/20,0.0,0,0,0,0,0,0
20,02/11/20,0.0,0,0,0,0,0,0
21,02/12/20,0.0,0,0,0,0,0,0
22,02/13/20,0.0,0,0,0,0,0,0
23,02/14/20,0.0,0,0,0,0,0,0
24,02/15/20,0.0,0,0,0,0,0,0
25,02/16/20,0.0,0,0,0,0,0,0
26,02/17/20,0.0,0,0,0,0,0,0
27,02/18/20,0.0,0,0,0,0,0,0
28,02/19/20,0.0,0,0,0,0,0,0
29,02/20/20,0.0,0,0,0,0,0,0
30,02/21/20,0.0,0,0,0,0,0,0
31,02/22/20,0.0,0,0,0,0,0,0
32,02/23/20,0.0,0,0,0,0,0,0
33,02/24/20,0.0,0,0,0,0,0,0
34,02/25/20,0.0,0,0,0,0,0,0
35,02/26/20,0.0,0,0,0,0,0,0
36,02/27/20,0.0,0,0,0,0,0,0
37,02/28/20,1.0,0,0,1,0,0,0
38,02/29/20,1.0,0,0,0,0,0,0
39,03/01/20,1.0,0,0,0,0,0,0
40,03/02/20,1.0,0,0,0,0,0,0
41,03/03/20,1.0,0,0,0,0,0,0
42,03/04/20,1.0,0,0,0,0,0,0
43,03/05/20,1.0,0,0,0,0,0,0
44,03/06/20,1.0,0,0,0,0,0,0
45,03/07/20,1.0,0,0,0,0,0,0
46,03/08/20,1.0,0,0,0,0,0,0
47,03/09/20,1.0,0,0,0,0,0,0
48,03/10/20,1.0,0,0,0,0,0,0
49,03/11/20,3.0,0,0,2,0,0,0
50,03/12/20,3.0,0,0,0,0,0,0
51,03/13/20,6.0,0,0,3,0,0,0
52,03/14/20,8.0,0,0,2,0,0,0
53,03/15/20,12.0,0,1,4,0,1,1
54,03/16/20,17.0,0,1,5,0,0,0
55,03/17/20,25.0,0,1,8,0,0,0
56,03/18/20,27.0,0,1,2,0,0,0
57,03/19/20,36.0,0,1,9,0,0,0
58,03/20/20,49.0,0,1,13,0,0,0
59,03/21/20,83.0,1,1,34,1,0,1
60,03/22/20,143.0,1,1,60,0,0,0
61,03/23/20,179.0,1,1,36,0,0,0
62,03/24/20,209.0,2,1,30,1,0,1
63,03/25/20,274.0,4,1,65,2,0,2
64,03/26/20,299.0,4,1,25,0,0,0
65,03/27/20,358.0,5,1,59,1,0,1
66,03/28/20,394.0,7,1,36,2,0,2
67,03/29/20,460.0,7,1,66,0,0,0
68,03/30/20,491.0,7,7,31,0,6,6
69,03/31/20,537.0,8,7,46,1,0,1
70,04/01/20,581.0,8,7,44,0,0,0
71,04/02/20,649.0,9,7,68,1,0,1
72,04/03/20,696.0,9,7,47,0,0,0
73,04/04/20,771.0,11,7,75,2,0,2
74,04/05/20,811.0,13,7,40,2,0,2
75,04/06/20,843.0,15,8,32,2,1,3
76,04/07/20,880.0,15,8,37,0,0,0
77,04/08/20,912.0,15,8,32,0,0,0
78,04/09/20,955.0,16,8,43,1,0,1
79,04/10/20,999.0,22,54,44,6,46,52
80,04/11/20,1026.0,23,54,27,1,0,1
81,04/12/20,1053.0,23,97,27,0,43,43
82,04/13/20,1062.0,24,101,9,1,4,5
83,04/14/20,1070.0,29,101,8,5,0,5
84,04/15/20,1091.0,30,138,21,1,37,38
85,04/16/20,1128.0,32,178,37,2,40,42
86,04/17/20,1149.0,33,210,21,1,32,33
87,04/18/20,1239.0,33,228,90,0,18,18
88,04/19/20,1298.0,35,242,59,2,14,16
89,04/20/20,1326.0,37,242,28,2,0,2
90,04/21/20,1350.0,38,298,24,1,56,57
91,04/22/20,1370.0,38,357,20,0,59,59
92,04/23/20,1398.0,40,399,28,2,42,44
93,04/24/20,1410.0,40,430,12,0,31,31
94,04/25/20,1426.0,41,460,16,1,30,31
95,04/26/20,1438.0,41,467,12,0,7,7
96,04/27/20,1449.0,41,474,11,0,7,7
97,04/28/20,1449.0,44,536,0,3,62,65
