,dates2,cum_cases,cum_deaths,cum_recover,new_cases,new_deaths,new_recover,new_uninfected
0,01/22/20,0,0.0,0,0,0,0,0
1,01/23/20,0,0.0,0,0,0,0,0
2,01/24/20,0,0.0,0,0,0,0,0
3,01/25/20,0,0.0,0,0,0,0,0
4,01/26/20,0,0.0,0,0,0,0,0
5,01/27/20,0,0.0,0,0,0,0,0
6,01/28/20,0,0.0,0,0,0,0,0
7,01/29/20,0,0.0,0,0,0,0,0
8,01/30/20,0,0.0,0,0,0,0,0
9,01/31/20,0,0.0,0,0,0,0,0
10,02/01/20,0,0.0,0,0,0,0,0
11,02/02/20,0,0.0,0,0,0,0,0
12,02/03/20,0,0.0,0,0,0,0,0
13,02/04/20,0,0.0,0,0,0,0,0
14,02/05/20,0,0.0,0,0,0,0,0
15,02/06/20,0,0.0,0,0,0,0,0
16,02/07/20,0,0.0,0,0,0,0,0
17,02/08/20,0,0.0,0,0,0,0,0
18,02/09/20,0,0.0,0,0,0,0,0
19,02/10/20,0,0.0,0,0,0,0,0
20,02/11/20,0,0.0,0,0,0,0,0
21,02/12/20,0,0.0,0,0,0,0,0
22,02/13/20,0,0.0,0,0,0,0,0
23,02/14/20,0,0.0,0,0,0,0,0
24,02/15/20,0,0.0,0,0,0,0,0
25,02/16/20,0,0.0,0,0,0,0,0
26,02/17/20,0,0.0,0,0,0,0,0
27,02/18/20,0,0.0,0,0,0,0,0
28,02/19/20,0,0.0,0,0,0,0,0
29,02/20/20,0,0.0,0,0,0,0,0
30,02/21/20,0,0.0,0,0,0,0,0
31,02/22/20,0,0.0,0,0,0,0,0
32,02/23/20,0,0.0,0,0,0,0,0
33,02/24/20,0,0.0,0,0,0,0,0
34,02/25/20,0,0.0,0,0,0,0,0
35,02/26/20,0,0.0,0,0,0,0,0
36,02/27/20,0,0.0,0,0,0,0,0
37,02/28/20,0,0.0,0,0,0,0,0
38,02/29/20,1,0.0,0,1,0,0,0
39,03/01/20,1,0.0,0,0,0,0,0
40,03/02/20,1,0.0,0,0,0,0,0
41,03/03/20,1,0.0,0,0,0,0,0
42,03/04/20,1,0.0,0,0,0,0,0
43,03/05/20,1,0.0,0,0,0,0,0
44,03/06/20,2,0.0,0,1,0,0,0
45,03/07/20,2,0.0,0,0,0,0,0
46,03/08/20,3,0.0,0,1,0,0,0
47,03/09/20,3,0.0,0,0,0,0,0
48,03/10/20,5,0.0,0,2,0,0,0
49,03/11/20,7,0.0,0,2,0,0,0
50,03/12/20,19,0.0,0,12,0,0,0
51,03/13/20,34,0.0,0,15,0,0,0
52,03/14/20,51,1.0,0,17,1,0,1
53,03/15/20,59,1.0,0,8,0,0,0
54,03/16/20,77,1.0,0,18,0,0,0
55,03/17/20,140,1.0,0,63,0,0,0
56,03/18/20,203,2.0,0,63,1,0,1
57,03/19/20,335,4.0,0,132,2,0,2
58,03/20/20,484,4.0,0,149,0,0,0
59,03/21/20,670,8.0,0,186,4,0,4
60,03/22/20,798,8.0,6,128,0,6,6
61,03/23/20,875,8.0,6,77,0,0,0
62,03/24/20,1099,8.0,6,224,0,0,0
63,03/25/20,1333,8.0,6,234,0,0,0
64,03/26/20,1453,9.0,6,120,1,0,1
65,03/27/20,1605,15.0,40,152,6,34,40
66,03/28/20,1831,18.0,40,226,3,0,3
67,03/29/20,1950,21.0,40,119,3,0,3
68,03/30/20,1988,22.0,40,38,1,0,1
69,03/31/20,2178,23.0,80,190,1,40,41
70,04/01/20,2319,29.0,80,141,6,0,6
71,04/02/20,2487,30.0,80,168,1,0,1
72,04/03/20,2612,31.0,500,125,1,420,421
73,04/04/20,2729,31.0,500,117,0,0,0
74,04/05/20,2804,36.0,500,75,5,0,5
75,04/06/20,2843,41.0,500,39,5,0,5
76,04/07/20,2970,44.0,500,127,3,0,3
77,04/08/20,3034,46.0,500,64,2,0,2
78,04/09/20,3115,52.0,500,81,6,0,6
79,04/10/20,3223,54.0,500,108,2,0,2
80,04/11/20,3270,62.0,500,47,8,0,8
81,04/12/20,3281,66.0,500,11,4,0,4
82,04/13/20,3292,69.0,500,11,3,0,3
83,04/14/20,3307,,500,15,0,0,-2
84,04/15/20,3373,69.0,526,66,0,26,28
85,04/16/20,3444,69.0,552,71,0,26,26
86,04/17/20,3480,72.0,579,36,3,27,30
87,04/18/20,3537,72.0,601,57,0,22,22
88,04/19/20,3550,73.0,627,13,1,26,27
89,04/20/20,3558,75.0,637,8,2,10,12
90,04/21/20,3618,78.0,670,60,3,33,36
91,04/22/20,3654,80.0,711,36,2,41,43
92,04/23/20,3665,83.0,728,11,3,17,20
93,04/24/20,3695,85.0,3007,30,2,2279,2281
94,04/25/20,3711,85.0,3088,16,0,81,81
95,04/26/20,3723,88.0,3104,12,3,16,19
