,dates2,cum_cases,cum_deaths,cum_recover,new_cases,new_deaths,new_recover,new_uninfected
0,01/22/20,0,0,0,0,0,0,0
1,01/23/20,0,0,0,0,0,0,0
2,01/24/20,0,0,0,0,0,0,0
3,01/25/20,0,0,0,0,0,0,0
4,01/26/20,0,0,0,0,0,0,0
5,01/27/20,0,0,0,0,0,0,0
6,01/28/20,0,0,0,0,0,0,0
7,01/29/20,0,0,0,0,0,0,0
8,01/30/20,0,0,0,0,0,0,0
9,01/31/20,0,0,0,0,0,0,0
10,02/01/20,0,0,0,0,0,0,0
11,02/02/20,0,0,0,0,0,0,0
12,02/03/20,0,0,0,0,0,0,0
13,02/04/20,0,0,0,0,0,0,0
14,02/05/20,0,0,0,0,0,0,0
15,02/06/20,0,0,0,0,0,0,0
16,02/07/20,0,0,0,0,0,0,0
17,02/08/20,0,0,0,0,0,0,0
18,02/09/20,0,0,0,0,0,0,0
19,02/10/20,0,0,0,0,0,0,0
20,02/11/20,0,0,0,0,0,0,0
21,02/12/20,0,0,0,0,0,0,0
22,02/13/20,0,0,0,0,0,0,0
23,02/14/20,0,0,0,0,0,0,0
24,02/15/20,0,0,0,0,0,0,0
25,02/16/20,0,0,0,0,0,0,0
26,02/17/20,0,0,0,0,0,0,0
27,02/18/20,0,0,0,0,0,0,0
28,02/19/20,0,0,0,0,0,0,0
29,02/20/20,0,0,0,0,0,0,0
30,02/21/20,0,0,0,0,0,0,0
31,02/22/20,0,0,0,0,0,0,0
32,02/23/20,0,0,0,0,0,0,0
33,02/24/20,0,0,0,0,0,0,0
34,02/25/20,0,0,0,0,0,0,0
35,02/26/20,0,0,0,0,0,0,0
36,02/27/20,0,0,0,0,0,0,0
37,02/28/20,1,0,0,1,0,0,0
38,02/29/20,4,0,0,3,0,0,0
39,03/01/20,5,0,0,1,0,0,0
40,03/02/20,5,0,0,0,0,0,0
41,03/03/20,5,0,1,0,0,1,1
42,03/04/20,5,0,1,0,0,0,0
43,03/05/20,5,0,1,0,0,0,0
44,03/06/20,6,0,1,1,0,0,0
45,03/07/20,6,0,1,0,0,0,0
46,03/08/20,7,0,1,1,0,0,0
47,03/09/20,7,0,1,0,0,0,0
48,03/10/20,7,0,4,0,0,3,3
49,03/11/20,8,0,4,1,0,0,0
50,03/12/20,12,0,4,4,0,0,0
51,03/13/20,26,0,4,14,0,0,0
52,03/14/20,41,0,4,15,0,0,0
53,03/15/20,53,0,4,12,0,0,0
54,03/16/20,82,0,4,29,0,0,0
55,03/17/20,93,0,4,11,0,0,0
56,03/18/20,118,0,4,25,0,0,0
57,03/19/20,164,1,4,46,1,0,1
58,03/20/20,203,2,4,39,1,0,1
59,03/21/20,251,2,4,48,0,0,0
60,03/22/20,316,3,4,65,1,0,1
61,03/23/20,367,4,4,51,1,0,1
62,03/24/20,405,5,4,38,1,0,1
63,03/25/20,475,6,4,70,1,0,1
64,03/26/20,585,8,4,110,2,0,2
65,03/27/20,717,12,4,132,4,0,4
66,03/28/20,848,16,4,131,4,0,4
67,03/29/20,993,20,4,145,4,0,4
68,03/30/20,1094,28,35,101,8,31,39
69,03/31/20,1215,29,35,121,1,0,1
70,04/01/20,1378,37,35,163,8,0,8
71,04/02/20,1510,50,35,132,13,0,13
72,04/03/20,1688,60,633,178,10,598,608
73,04/04/20,1890,79,633,202,19,0,19
74,04/05/20,2143,94,633,253,15,0,15
75,04/06/20,2439,125,633,296,31,0,31
76,04/07/20,2785,141,633,346,16,0,16
77,04/08/20,3181,174,633,396,33,0,33
78,04/09/20,3441,194,633,260,20,0,20
79,04/10/20,3844,233,633,403,39,0,39
80,04/11/20,4219,273,633,375,40,0,40
81,04/12/20,4661,296,1772,442,23,1139,1162
82,04/13/20,5014,332,1843,353,36,71,107
83,04/14/20,5399,406,1964,385,74,121,195
84,04/15/20,5847,449,2125,448,43,161,204
85,04/16/20,6297,486,2125,450,37,0,37
86,04/17/20,6875,546,2125,578,60,0,60
87,04/18/20,7497,650,2125,622,104,0,104
88,04/19/20,8261,686,2627,764,36,502,538
89,04/20/20,8772,712,2627,511,26,0,26
90,04/21/20,9501,857,2627,729,145,0,145
91,04/22/20,10544,970,2627,1043,113,0,113
92,04/23/20,11633,1069,2627,1089,99,0,99
93,04/24/20,12872,1221,2627,1239,152,0,152
94,04/25/20,13842,1305,7149,970,84,4522,4606
95,04/26/20,14677,1351,8354,835,46,1205,1251
96,04/27/20,15529,1434,9086,852,83,732,815
97,04/28/20,16752,1569,11423,1223,135,2337,2472
