dates2,cum_cases,cum_deaths,cum_recover,new_cases,new_deaths,new_recover,new_uninfected
01/22/20,0,0,0,0,0,0,0
01/23/20,0,0,0,0,0,0,0
01/24/20,0,0,0,0,0,0,0
01/25/20,0,0,0,0,0,0,0
01/26/20,0,0,0,0,0,0,0
01/27/20,0,0,0,0,0,0,0
01/28/20,0,0,0,0,0,0,0
01/29/20,0,0,0,0,0,0,0
01/30/20,0,0,0,0,0,0,0
01/31/20,0,0,0,0,0,0,0
02/01/20,0,0,0,0,0,0,0
02/02/20,0,0,0,0,0,0,0
02/03/20,0,0,0,0,0,0,0
02/04/20,0,0,0,0,0,0,0
02/05/20,0,0,0,0,0,0,0
02/06/20,0,0,0,0,0,0,0
02/07/20,0,0,0,0,0,0,0
02/08/20,0,0,0,0,0,0,0
02/09/20,0,0,0,0,0,0,0
02/10/20,0,0,0,0,0,0,0
02/11/20,0,0,0,0,0,0,0
02/12/20,0,0,0,0,0,0,0
02/13/20,0,0,0,0,0,0,0
02/14/20,0,0,0,0,0,0,0
02/15/20,0,0,0,0,0,0,0
02/16/20,0,0,0,0,0,0,0
02/17/20,0,0,0,0,0,0,0
02/18/20,0,0,0,0,0,0,0
02/19/20,0,0,0,0,0,0,0
02/20/20,0,0,0,0,0,0,0
02/21/20,0,0,0,0,0,0,0
02/22/20,0,0,0,0,0,0,0
02/23/20,0,0,0,0,0,0,0
02/24/20,0,0,0,0,0,0,0
02/25/20,0,0,0,0,0,0,0
02/26/20,0,0,0,0,0,0,0
02/27/20,0,0,0,0,0,0,0
02/28/20,0,0,0,0,0,0,0
02/29/20,0,0,0,0,0,0,0
03/01/20,0,0,0,0,0,0,0
03/02/20,0,0,0,0,0,0,0
03/03/20,0,0,0,0,0,0,0
03/04/20,0,0,0,0,0,0,0
03/05/20,0,0,0,0,0,0,0
03/06/20,0,0,0,0,0,0,0
03/07/20,0,0,0,0,0,0,0
03/08/20,1,0,0,1,0,0,0
03/09/20,1,0,0,0,0,0,0
03/10/20,3,0,0,2,0,0,0
03/11/20,3,0,0,0,0,0,0
03/12/20,3,0,0,0,0,0,0
03/13/20,6,0,0,3,0,0,0
03/14/20,12,0,0,6,0,0,0
03/15/20,23,0,0,11,0,0,0
03/16/20,23,0,0,0,0,0,0
03/17/20,30,0,1,7,0,1,1
03/18/20,30,1,1,0,1,0,1
03/19/20,49,1,1,19,0,0,0
03/20/20,66,1,1,17,0,0,0
03/21/20,80,1,1,14,0,0,0
03/22/20,94,1,1,14,0,0,0
03/23/20,109,1,1,15,0,0,0
03/24/20,125,1,2,16,0,1,1
03/25/20,149,1,2,24,0,0,0
03/26/20,177,1,2,28,0,0,0
03/27/20,199,2,2,22,1,0,1
03/28/20,231,2,2,32,0,0,0
03/29/20,263,2,2,32,0,0,0
03/30/20,298,2,15,35,0,13,13
03/31/20,353,4,18,55,2,3,5
04/01/20,423,5,23,70,1,5,6
04/02/20,505,6,23,82,1,0,1
04/03/20,591,8,26,86,2,3,5
04/04/20,752,12,29,161,4,3,7
04/05/20,864,15,30,112,3,1,4
04/06/20,965,19,37,101,4,7,11
04/07/20,1056,22,40,91,3,3,6
04/08/20,1174,27,40,118,5,0,5
04/09/20,1289,29,50,115,2,10,12
04/10/20,1438,29,56,149,0,6,6
04/11/20,1560,30,75,122,1,19,20
04/12/20,1662,31,94,102,1,19,20
04/13/20,1712,35,107,50,4,13,17
04/14/20,1934,40,134,222,5,27,32
04/15/20,2049,46,171,115,6,37,43
04/16/20,2154,54,235,105,8,64,72
