,dates2,cum_cases,cum_deaths,cum_recover,new_cases,new_deaths,new_recover,new_uninfected
0,01/22/20,0,0,0,0,0,0,0
1,01/23/20,0,0,0,0,0,0,0
2,01/24/20,0,0,0,0,0,0,0
3,01/25/20,0,0,0,0,0,0,0
4,01/26/20,0,0,0,0,0,0,0
5,01/27/20,0,0,0,0,0,0,0
6,01/28/20,0,0,0,0,0,0,0
7,01/29/20,0,0,0,0,0,0,0
8,01/30/20,0,0,0,0,0,0,0
9,01/31/20,0,0,0,0,0,0,0
10,02/01/20,0,0,0,0,0,0,0
11,02/02/20,0,0,0,0,0,0,0
12,02/03/20,0,0,0,0,0,0,0
13,02/04/20,0,0,0,0,0,0,0
14,02/05/20,0,0,0,0,0,0,0
15,02/06/20,0,0,0,0,0,0,0
16,02/07/20,0,0,0,0,0,0,0
17,02/08/20,0,0,0,0,0,0,0
18,02/09/20,0,0,0,0,0,0,0
19,02/10/20,0,0,0,0,0,0,0
20,02/11/20,0,0,0,0,0,0,0
21,02/12/20,0,0,0,0,0,0,0
22,02/13/20,0,0,0,0,0,0,0
23,02/14/20,0,0,0,0,0,0,0
24,02/15/20,0,0,0,0,0,0,0
25,02/16/20,0,0,0,0,0,0,0
26,02/17/20,0,0,0,0,0,0,0
27,02/18/20,0,0,0,0,0,0,0
28,02/19/20,0,0,0,0,0,0,0
29,02/20/20,0,0,0,0,0,0,0
30,02/21/20,0,0,0,0,0,0,0
31,02/22/20,0,0,0,0,0,0,0
32,02/23/20,0,0,0,0,0,0,0
33,02/24/20,0,0,0,0,0,0,0
34,02/25/20,0,0,0,0,0,0,0
35,02/26/20,0,0,0,0,0,0,0
36,02/27/20,0,0,0,0,0,0,0
37,02/28/20,1,0,0,1,0,0,0
38,02/29/20,1,0,0,0,0,0,0
39,03/01/20,1,0,0,0,0,0,0
40,03/02/20,1,0,0,0,0,0,0
41,03/03/20,1,0,0,0,0,0,0
42,03/04/20,3,0,0,2,0,0,0
43,03/05/20,3,0,0,0,0,0,0
44,03/06/20,4,0,0,1,0,0,0
45,03/07/20,5,0,0,1,0,0,0
46,03/08/20,5,0,0,0,0,0,0
47,03/09/20,5,0,0,0,0,0,0
48,03/10/20,5,0,0,0,0,0,0
49,03/11/20,5,0,0,0,0,0,0
50,03/12/20,5,0,0,0,0,0,0
51,03/13/20,5,0,0,0,0,0,0
52,03/14/20,6,0,0,1,0,0,0
53,03/15/20,8,0,0,2,0,0,0
54,03/16/20,8,0,0,0,0,0,0
55,03/17/20,12,0,0,4,0,0,0
56,03/18/20,20,0,0,8,0,0,0
57,03/19/20,28,0,0,8,0,0,0
58,03/20/20,39,0,0,11,0,0,0
59,03/21/20,52,0,0,13,0,0,0
60,03/22/20,102,0,0,50,0,0,0
61,03/23/20,102,0,0,0,0,0,0
62,03/24/20,155,0,12,53,0,12,12
63,03/25/20,205,0,22,50,0,10,10
64,03/26/20,283,0,27,78,0,5,5
65,03/27/20,368,0,37,85,0,10,10
66,03/28/20,451,0,50,83,0,13,13
67,03/29/20,514,1,56,63,1,6,7
68,03/30/20,589,1,63,75,0,7,7
69,03/31/20,647,1,74,58,0,11,11
70,04/01/20,708,1,83,61,0,9,9
71,04/02/20,797,1,92,89,0,9,9
72,04/03/20,868,1,103,71,0,11,11
73,04/04/20,950,1,127,82,0,24,24
74,04/05/20,1039,1,156,89,0,29,29
75,04/06/20,1106,1,176,67,0,20,20
76,04/07/20,1160,1,241,54,0,65,65
77,04/08/20,1210,1,282,50,0,41,41
78,04/09/20,1239,1,317,29,0,35,35
79,04/10/20,1283,2,373,44,1,56,57
80,04/11/20,1312,4,422,29,2,49,51
81,04/12/20,1330,4,471,18,0,49,49
82,04/13/20,1349,5,546,19,1,75,76
83,04/14/20,1366,9,628,17,4,82,86
84,04/15/20,1386,9,728,20,0,100,100
