,dates2,cum_cases,cum_deaths,cum_recover,new_cases,new_deaths,new_recover,new_uninfected
0,01/22/20,0,0,0,0,0,0,0
1,01/23/20,0,0,0,0,0,0,0
2,01/24/20,0,0,0,0,0,0,0
3,01/25/20,0,0,0,0,0,0,0
4,01/26/20,0,0,0,0,0,0,0
5,01/27/20,0,0,0,0,0,0,0
6,01/28/20,0,0,0,0,0,0,0
7,01/29/20,0,0,0,0,0,0,0
8,01/30/20,0,0,0,0,0,0,0
9,01/31/20,0,0,0,0,0,0,0
10,02/01/20,0,0,0,0,0,0,0
11,02/02/20,0,0,0,0,0,0,0
12,02/03/20,0,0,0,0,0,0,0
13,02/04/20,0,0,0,0,0,0,0
14,02/05/20,0,0,0,0,0,0,0
15,02/06/20,0,0,0,0,0,0,0
16,02/07/20,0,0,0,0,0,0,0
17,02/08/20,0,0,0,0,0,0,0
18,02/09/20,0,0,0,0,0,0,0
19,02/10/20,0,0,0,0,0,0,0
20,02/11/20,0,0,0,0,0,0,0
21,02/12/20,0,0,0,0,0,0,0
22,02/13/20,0,0,0,0,0,0,0
23,02/14/20,0,0,0,0,0,0,0
24,02/15/20,0,0,0,0,0,0,0
25,02/16/20,0,0,0,0,0,0,0
26,02/17/20,0,0,0,0,0,0,0
27,02/18/20,0,0,0,0,0,0,0
28,02/19/20,0,0,0,0,0,0,0
29,02/20/20,0,0,0,0,0,0,0
30,02/21/20,0,0,0,0,0,0,0
31,02/22/20,0,0,0,0,0,0,0
32,02/23/20,0,0,0,0,0,0,0
33,02/24/20,0,0,0,0,0,0,0
34,02/25/20,0,0,0,0,0,0,0
35,02/26/20,0,0,0,0,0,0,0
36,02/27/20,0,0,0,0,0,0,0
37,02/28/20,1,0,0,1,0,0,0
38,02/29/20,1,0,0,0,0,0,0
39,03/01/20,1,0,0,0,0,0,0
40,03/02/20,1,0,0,0,0,0,0
41,03/03/20,1,0,0,0,0,0,0
42,03/04/20,1,0,0,0,0,0,0
43,03/05/20,1,0,0,0,0,0,0
44,03/06/20,1,0,0,0,0,0,0
45,03/07/20,1,0,0,0,0,0,0
46,03/08/20,1,0,0,0,0,0,0
47,03/09/20,2,0,0,1,0,0,0
48,03/10/20,2,0,0,0,0,0,0
49,03/11/20,2,0,0,0,0,0,0
50,03/12/20,2,0,0,0,0,0,0
51,03/13/20,2,0,0,0,0,0,0
52,03/14/20,2,0,0,0,0,0,0
53,03/15/20,2,0,0,0,0,0,0
54,03/16/20,2,0,0,0,0,0,0
55,03/17/20,3,0,0,1,0,0,0
56,03/18/20,8,0,1,5,0,1,1
57,03/19/20,8,0,1,0,0,0,0
58,03/20/20,12,0,1,4,0,0,0
59,03/21/20,22,0,1,10,0,0,0
60,03/22/20,30,0,2,8,0,1,1
61,03/23/20,40,1,2,10,1,0,1
62,03/24/20,44,1,2,4,0,0,0
63,03/25/20,51,1,2,7,0,0,0
64,03/26/20,65,1,2,14,0,0,0
65,03/27/20,70,1,3,5,0,1,1
66,03/28/20,89,1,3,19,0,0,0
67,03/29/20,111,1,3,22,0,0,0
68,03/30/20,131,2,8,20,1,5,6
69,03/31/20,135,2,8,4,0,0,0
70,04/01/20,174,2,9,39,0,1,1
71,04/02/20,184,2,20,10,0,11,11
72,04/03/20,210,4,25,26,2,5,7
73,04/04/20,214,4,25,4,0,0,0
74,04/05/20,232,5,33,18,1,8,9
75,04/06/20,238,5,35,6,0,2,2
76,04/07/20,254,6,44,16,1,9,10
77,04/08/20,276,6,44,22,0,0,0
78,04/09/20,288,7,51,12,1,7,8
79,04/10/20,305,7,58,17,0,7,7
80,04/11/20,318,10,70,13,3,12,15
81,04/12/20,323,10,85,5,0,15,15
82,04/13/20,343,10,91,20,0,6,6
83,04/14/20,373,11,99,30,1,8,9
84,04/15/20,407,12,128,34,1,29,30
85,04/16/20,442,13,152,35,1,24,25
86,04/17/20,493,17,159,51,4,7,11
87,04/18/20,542,19,166,49,2,7,9
88,04/19/20,627,21,170,85,2,4,6
89,04/20/20,665,22,188,38,1,18,19
90,04/21/20,665,22,188,0,0,0,0
91,04/22/20,873,28,197,208,6,9,15
92,04/23/20,981,31,197,108,3,0,3
93,04/24/20,1095,32,208,114,1,11,12
94,04/25/20,1182,35,222,87,3,14,17
95,04/26/20,1273,40,239,91,5,17,22
96,04/27/20,1337,40,255,64,0,16,16
97,04/28/20,1532,44,255,195,4,0,4
