,dates2,cum_cases,cum_deaths,cum_recover,new_cases,new_deaths,new_recover,new_uninfected
0,01/22/20,0,0,0,0,0,0,0
1,01/23/20,0,0,0,0,0,0,0
2,01/24/20,0,0,0,0,0,0,0
3,01/25/20,0,0,0,0,0,0,0
4,01/26/20,0,0,0,0,0,0,0
5,01/27/20,0,0,0,0,0,0,0
6,01/28/20,0,0,0,0,0,0,0
7,01/29/20,0,0,0,0,0,0,0
8,01/30/20,0,0,0,0,0,0,0
9,01/31/20,0,0,0,0,0,0,0
10,02/01/20,0,0,0,0,0,0,0
11,02/02/20,0,0,0,0,0,0,0
12,02/03/20,0,0,0,0,0,0,0
13,02/04/20,0,0,0,0,0,0,0
14,02/05/20,0,0,0,0,0,0,0
15,02/06/20,0,0,0,0,0,0,0
16,02/07/20,0,0,0,0,0,0,0
17,02/08/20,0,0,0,0,0,0,0
18,02/09/20,0,0,0,0,0,0,0
19,02/10/20,0,0,0,0,0,0,0
20,02/11/20,0,0,0,0,0,0,0
21,02/12/20,0,0,0,0,0,0,0
22,02/13/20,0,0,0,0,0,0,0
23,02/14/20,0,0,0,0,0,0,0
24,02/15/20,0,0,0,0,0,0,0
25,02/16/20,0,0,0,0,0,0,0
26,02/17/20,0,0,0,0,0,0,0
27,02/18/20,0,0,0,0,0,0,0
28,02/19/20,0,0,0,0,0,0,0
29,02/20/20,0,0,0,0,0,0,0
30,02/21/20,0,0,0,0,0,0,0
31,02/22/20,0,0,0,0,0,0,0
32,02/23/20,0,0,0,0,0,0,0
33,02/24/20,0,0,0,0,0,0,0
34,02/25/20,0,0,0,0,0,0,0
35,02/26/20,1,0,0,1,0,0,0
36,02/27/20,1,0,0,0,0,0,0
37,02/28/20,1,0,0,0,0,0,0
38,02/29/20,1,0,0,0,0,0,0
39,03/01/20,1,0,0,0,0,0,0
40,03/02/20,1,0,0,0,0,0,0
41,03/03/20,1,0,0,0,0,0,0
42,03/04/20,1,0,0,0,0,0,0
43,03/05/20,1,0,0,0,0,0,0
44,03/06/20,3,0,0,2,0,0,0
45,03/07/20,3,0,0,0,0,0,0
46,03/08/20,3,0,0,0,0,0,0
47,03/09/20,3,0,0,0,0,0,0
48,03/10/20,7,0,0,4,0,0,0
49,03/11/20,7,0,0,0,0,0,0
50,03/12/20,7,0,0,0,0,0,0
51,03/13/20,14,0,1,7,0,1,1
52,03/14/20,14,0,1,0,0,0,0
53,03/15/20,14,0,1,0,0,0,0
54,03/16/20,18,0,1,4,0,0,0
55,03/17/20,26,0,1,8,0,0,0
56,03/18/20,35,0,1,9,0,0,0
57,03/19/20,48,0,1,13,0,0,0
58,03/20/20,67,0,1,19,0,0,0
59,03/21/20,85,0,1,18,0,0,0
60,03/22/20,115,1,1,30,1,0,1
61,03/23/20,136,2,1,21,1,0,1
62,03/24/20,148,2,1,12,0,0,0
63,03/25/20,177,3,1,29,1,0,1
64,03/26/20,201,3,3,24,0,2,2
65,03/27/20,219,3,3,18,0,0,0
66,03/28/20,241,4,3,22,1,0,1
67,03/29/20,259,6,3,18,2,0,2
68,03/30/20,285,7,12,26,1,9,10
69,03/31/20,329,9,12,44,2,0,2
70,04/01/20,354,11,17,25,2,5,7
71,04/02/20,384,11,17,30,0,0,0
72,04/03/20,430,12,20,46,1,3,4
73,04/04/20,483,17,20,53,5,0,5
74,04/05/20,555,18,23,72,1,3,4
75,04/06/20,570,23,30,15,5,7,12
76,04/07/20,599,26,30,29,3,0,3
77,04/08/20,617,29,35,18,3,5,8
78,04/09/20,663,30,37,46,1,2,3
79,04/10/20,711,32,41,48,2,4,6
80,04/11/20,760,34,41,49,2,0,2
81,04/12/20,828,34,41,68,0,0,0
82,04/13/20,854,38,44,26,4,3,7
83,04/14/20,908,44,86,54,6,42,48
84,04/15/20,974,45,98,66,1,12,13
85,04/16/20,1081,46,121,107,1,23,24
86,04/17/20,1117,49,139,36,3,18,21
87,04/18/20,1170,49,164,53,0,25,25
88,04/19/20,1207,51,179,37,2,15,17
89,04/20/20,1225,54,200,18,3,21,24
90,04/21/20,1231,55,224,6,1,24,25
91,04/22/20,1259,56,272,28,1,48,49
92,04/23/20,1300,56,301,41,0,29,29
93,04/24/20,1326,57,337,26,1,36,37
94,04/25/20,1367,59,374,41,2,37,39
95,04/26/20,1386,61,500,19,2,126,128
96,04/27/20,1399,65,553,13,4,53,57
97,04/28/20,1421,71,589,22,6,36,42
