,dates2,cum_cases,cum_deaths,cum_recover,new_cases,new_deaths,new_recover,new_uninfected
0,01/22/20,0,0,0,0,0,0,0
1,01/23/20,0,0,0,0,0,0,0
2,01/24/20,0,0,0,0,0,0,0
3,01/25/20,0,0,0,0,0,0,0
4,01/26/20,0,0,0,0,0,0,0
5,01/27/20,0,0,0,0,0,0,0
6,01/28/20,0,0,0,0,0,0,0
7,01/29/20,0,0,0,0,0,0,0
8,01/30/20,0,0,0,0,0,0,0
9,01/31/20,0,0,0,0,0,0,0
10,02/01/20,0,0,0,0,0,0,0
11,02/02/20,0,0,0,0,0,0,0
12,02/03/20,0,0,0,0,0,0,0
13,02/04/20,0,0,0,0,0,0,0
14,02/05/20,0,0,0,0,0,0,0
15,02/06/20,0,0,0,0,0,0,0
16,02/07/20,0,0,0,0,0,0,0
17,02/08/20,0,0,0,0,0,0,0
18,02/09/20,0,0,0,0,0,0,0
19,02/10/20,0,0,0,0,0,0,0
20,02/11/20,0,0,0,0,0,0,0
21,02/12/20,0,0,0,0,0,0,0
22,02/13/20,0,0,0,0,0,0,0
23,02/14/20,0,0,0,0,0,0,0
24,02/15/20,0,0,0,0,0,0,0
25,02/16/20,0,0,0,0,0,0,0
26,02/17/20,0,0,0,0,0,0,0
27,02/18/20,0,0,0,0,0,0,0
28,02/19/20,0,0,0,0,0,0,0
29,02/20/20,0,0,0,0,0,0,0
30,02/21/20,0,0,0,0,0,0,0
31,02/22/20,0,0,0,0,0,0,0
32,02/23/20,0,0,0,0,0,0,0
33,02/24/20,0,0,0,0,0,0,0
34,02/25/20,0,0,0,0,0,0,0
35,02/26/20,1,0,0,1,0,0,0
36,02/27/20,1,0,0,0,0,0,0
37,02/28/20,6,0,0,5,0,0,0
38,02/29/20,15,0,0,9,0,0,0
39,03/01/20,19,0,0,4,0,0,0
40,03/02/20,25,0,0,6,0,0,0
41,03/03/20,32,0,0,7,0,0,0
42,03/04/20,56,0,0,24,0,0,0
43,03/05/20,87,0,0,31,0,0,0
44,03/06/20,108,0,0,21,0,0,0
45,03/07/20,147,0,0,39,0,0,0
46,03/08/20,176,0,0,29,0,0,0
47,03/09/20,205,0,1,29,0,1,1
48,03/10/20,400,0,1,195,0,0,0
49,03/11/20,598,0,1,198,0,0,0
50,03/12/20,702,0,1,104,0,0,0
51,03/13/20,996,0,1,294,0,0,0
52,03/14/20,1090,3,1,94,3,0,3
53,03/15/20,1221,3,1,131,0,0,0
54,03/16/20,1333,3,1,112,0,0,0
55,03/17/20,1463,3,1,130,0,0,0
56,03/18/20,1550,6,1,87,3,0,3
57,03/19/20,1746,7,1,196,1,0,1
58,03/20/20,1914,7,1,168,0,0,0
59,03/21/20,2118,7,1,204,0,0,0
60,03/22/20,2385,7,1,267,0,0,0
61,03/23/20,2621,10,1,236,3,0,3
62,03/24/20,2863,12,6,242,2,5,7
63,03/25/20,3084,14,6,221,2,0,2
64,03/26/20,3369,14,6,285,0,0,0
65,03/27/20,3755,19,6,386,5,0,5
66,03/28/20,4015,23,7,260,4,1,5
67,03/29/20,4284,25,7,269,2,0,2
68,03/30/20,4445,32,12,161,7,5,12
69,03/31/20,4641,39,13,196,7,1,8
70,04/01/20,4863,44,13,222,5,0,5
71,04/02/20,5147,50,32,284,6,19,25
72,04/03/20,5370,59,32,223,9,0,9
73,04/04/20,5550,62,32,180,3,0,3
74,04/05/20,5687,71,32,137,9,0,9
75,04/06/20,5865,76,32,178,5,0,5
76,04/07/20,6086,89,32,221,13,0,13
77,04/08/20,6086,101,32,0,12,0,12
78,04/09/20,6211,108,32,125,7,0,7
79,04/10/20,6314,113,32,103,5,0,5
80,04/11/20,6409,119,32,95,6,0,6
81,04/12/20,6525,128,32,116,9,0,9
82,04/13/20,6603,134,32,78,6,0,6
83,04/14/20,6623,139,32,20,5,0,5
84,04/15/20,6740,150,32,117,11,0,11
85,04/16/20,6896,152,32,156,2,0,2
86,04/17/20,6937,161,32,41,9,0,9
87,04/18/20,7036,164,32,99,3,0,3
88,04/19/20,7078,165,32,42,1,0,1
89,04/20/20,7156,181,32,78,16,0,16
90,04/21/20,7191,182,32,35,1,0,1
91,04/22/20,7338,187,32,147,5,0,5
92,04/23/20,7401,194,32,63,7,0,7
93,04/24/20,7463,199,32,62,5,0,5
94,04/25/20,7499,201,32,36,2,0,2
95,04/26/20,7527,201,32,28,0,0,0
