,dates2,cum_cases,cum_deaths,cum_recover,new_cases,new_deaths,new_recover,new_uninfected
0,01/22/20,0,0,0,0,0,0,0
1,01/23/20,0,0,0,0,0,0,0
2,01/24/20,0,0,0,0,0,0,0
3,01/25/20,0,0,0,0,0,0,0
4,01/26/20,0,0,0,0,0,0,0
5,01/27/20,0,0,0,0,0,0,0
6,01/28/20,0,0,0,0,0,0,0
7,01/29/20,0,0,0,0,0,0,0
8,01/30/20,0,0,0,0,0,0,0
9,01/31/20,0,0,0,0,0,0,0
10,02/01/20,0,0,0,0,0,0,0
11,02/02/20,0,0,0,0,0,0,0
12,02/03/20,0,0,0,0,0,0,0
13,02/04/20,0,0,0,0,0,0,0
14,02/05/20,0,0,0,0,0,0,0
15,02/06/20,0,0,0,0,0,0,0
16,02/07/20,0,0,0,0,0,0,0
17,02/08/20,0,0,0,0,0,0,0
18,02/09/20,0,0,0,0,0,0,0
19,02/10/20,0,0,0,0,0,0,0
20,02/11/20,0,0,0,0,0,0,0
21,02/12/20,0,0,0,0,0,0,0
22,02/13/20,0,0,0,0,0,0,0
23,02/14/20,0,0,0,0,0,0,0
24,02/15/20,0,0,0,0,0,0,0
25,02/16/20,0,0,0,0,0,0,0
26,02/17/20,0,0,0,0,0,0,0
27,02/18/20,0,0,0,0,0,0,0
28,02/19/20,0,0,0,0,0,0,0
29,02/20/20,0,0,0,0,0,0,0
30,02/21/20,0,0,0,0,0,0,0
31,02/22/20,0,0,0,0,0,0,0
32,02/23/20,0,0,0,0,0,0,0
33,02/24/20,2,0,0,2,0,0,0
34,02/25/20,2,0,0,0,0,0,0
35,02/26/20,4,0,0,2,0,0,0
36,02/27/20,4,0,0,0,0,0,0
37,02/28/20,4,0,0,0,0,0,0
38,02/29/20,6,0,1,2,0,1,1
39,03/01/20,6,0,1,0,0,0,0
40,03/02/20,6,0,1,0,0,0,0
41,03/03/20,12,0,2,6,0,1,1
42,03/04/20,15,0,2,3,0,0,0
43,03/05/20,16,0,2,1,0,0,0
44,03/06/20,16,0,2,0,0,0,0
45,03/07/20,16,0,2,0,0,0,0
46,03/08/20,16,0,2,0,0,0,0
47,03/09/20,16,0,2,0,0,0,0
48,03/10/20,18,0,9,2,0,7,7
49,03/11/20,18,0,9,0,0,0,0
50,03/12/20,18,0,9,0,0,0,0
51,03/13/20,19,0,9,1,0,0,0
52,03/14/20,19,0,9,0,0,0,0
53,03/15/20,22,0,9,3,0,0,0
54,03/16/20,22,0,9,0,0,0,0
55,03/17/20,24,0,9,2,0,0,0
56,03/18/20,39,0,12,15,0,3,3
57,03/19/20,48,0,12,9,0,0,0
58,03/20/20,48,0,12,0,0,0,0
59,03/21/20,52,0,12,4,0,0,0
60,03/22/20,55,0,17,3,0,5,5
61,03/23/20,66,0,17,11,0,0,0
62,03/24/20,84,0,17,18,0,0,0
63,03/25/20,99,0,17,15,0,0,0
64,03/26/20,109,0,23,10,0,6,6
65,03/27/20,131,0,23,22,0,0,0
66,03/28/20,152,0,23,21,0,0,0
67,03/29/20,167,0,23,15,0,0,0
68,03/30/20,179,0,29,12,0,6,6
69,03/31/20,192,1,34,13,1,5,6
70,04/01/20,210,1,34,18,0,0,0
71,04/02/20,231,1,57,21,0,23,23
72,04/03/20,252,1,57,21,0,0,0
73,04/04/20,277,2,61,25,1,4,5
74,04/05/20,298,2,61,21,0,0,0
75,04/06/20,331,2,61,33,0,0,0
76,04/07/20,371,2,67,40,0,6,6
77,04/08/20,419,2,72,48,0,5,5
78,04/09/20,457,3,109,38,1,37,38
79,04/10/20,484,3,109,27,0,0,0
80,04/11/20,546,3,109,62,0,0,0
81,04/12/20,599,4,109,53,1,0,1
82,04/13/20,727,4,124,128,0,15,15
83,04/14/20,813,4,130,86,0,6,6
84,04/15/20,910,4,131,97,0,1,1
85,04/16/20,1019,4,176,109,0,45,45
86,04/17/20,1069,6,176,50,2,0,2
87,04/18/20,1180,6,176,111,0,0,0
88,04/19/20,1266,7,233,86,1,57,58
89,04/20/20,1410,7,238,144,0,5,5
90,04/21/20,1508,8,238,98,1,0,1
91,04/22/20,1614,8,238,106,0,0,0
92,04/23/20,1716,9,307,102,1,69,70
93,04/24/20,1790,10,325,74,1,18,19
94,04/25/20,1905,10,329,115,0,4,4
95,04/26/20,1998,10,333,93,0,4,4
