,dates2,cum_cases,cum_deaths,cum_recover,new_cases,new_deaths,new_recover,new_uninfected
0,01/22/20,0,0,0,0,0,0,0
1,01/23/20,0,0,0,0,0,0,0
2,01/24/20,0,0,0,0,0,0,0
3,01/25/20,0,0,0,0,0,0,0
4,01/26/20,0,0,0,0,0,0,0
5,01/27/20,0,0,0,0,0,0,0
6,01/28/20,0,0,0,0,0,0,0
7,01/29/20,0,0,0,0,0,0,0
8,01/30/20,0,0,0,0,0,0,0
9,01/31/20,0,0,0,0,0,0,0
10,02/01/20,0,0,0,0,0,0,0
11,02/02/20,0,0,0,0,0,0,0
12,02/03/20,0,0,0,0,0,0,0
13,02/04/20,0,0,0,0,0,0,0
14,02/05/20,0,0,0,0,0,0,0
15,02/06/20,0,0,0,0,0,0,0
16,02/07/20,0,0,0,0,0,0,0
17,02/08/20,0,0,0,0,0,0,0
18,02/09/20,0,0,0,0,0,0,0
19,02/10/20,0,0,0,0,0,0,0
20,02/11/20,0,0,0,0,0,0,0
21,02/12/20,0,0,0,0,0,0,0
22,02/13/20,0,0,0,0,0,0,0
23,02/14/20,0,0,0,0,0,0,0
24,02/15/20,0,0,0,0,0,0,0
25,02/16/20,0,0,0,0,0,0,0
26,02/17/20,0,0,0,0,0,0,0
27,02/18/20,0,0,0,0,0,0,0
28,02/19/20,0,0,0,0,0,0,0
29,02/20/20,0,0,0,0,0,0,0
30,02/21/20,0,0,0,0,0,0,0
31,02/22/20,0,0,0,0,0,0,0
32,02/23/20,0,0,0,0,0,0,0
33,02/24/20,0,0,0,0,0,0,0
34,02/25/20,0,0,0,0,0,0,0
35,02/26/20,0,0,0,0,0,0,0
36,02/27/20,0,0,0,0,0,0,0
37,02/28/20,0,0,0,0,0,0,0
38,02/29/20,0,0,0,0,0,0,0
39,03/01/20,0,0,0,0,0,0,0
40,03/02/20,0,0,0,0,0,0,0
41,03/03/20,0,0,0,0,0,0,0
42,03/04/20,0,0,0,0,0,0,0
43,03/05/20,0,0,0,0,0,0,0
44,03/06/20,0,0,0,0,0,0,0
45,03/07/20,0,0,0,0,0,0,0
46,03/08/20,0,0,0,0,0,0,0
47,03/09/20,0,0,0,0,0,0,0
48,03/10/20,1,0,0,1,0,0,0
49,03/11/20,8,1,0,7,1,0,1
50,03/12/20,11,1,0,3,0,0,0
51,03/13/20,27,1,0,16,0,0,0
52,03/14/20,36,1,0,9,0,0,0
53,03/15/20,43,1,0,7,0,0,0
54,03/16/20,55,1,0,12,0,0,0
55,03/17/20,69,1,0,14,0,0,0
56,03/18/20,86,1,0,17,0,0,0
57,03/19/20,109,1,0,23,0,0,0
58,03/20/20,137,1,0,28,0,0,0
59,03/21/20,200,1,0,63,0,0,0
60,03/22/20,313,3,0,113,2,0,2
61,03/23/20,345,6,0,32,3,0,3
62,03/24/20,345,6,1,0,0,1,1
63,03/25/20,443,8,1,98,2,0,2
64,03/26/20,558,8,2,115,0,1,1
65,03/27/20,674,9,2,116,1,0,1
66,03/28/20,786,14,2,112,5,0,5
67,03/29/20,901,17,4,115,3,2,5
68,03/30/20,989,24,4,88,7,0,7
69,03/31/20,1181,30,9,192,6,5,11
70,04/01/20,1181,30,9,0,0,0,0
71,04/02/20,1317,32,9,136,2,0,2
72,04/03/20,1475,37,10,158,5,1,6
73,04/04/20,1673,41,13,198,4,3,7
74,04/05/20,1801,46,13,128,5,0,5
75,04/06/20,1988,54,13,187,8,0,8
76,04/07/20,2100,55,14,112,1,1,2
77,04/08/20,2249,59,16,149,4,2,6
78,04/09/20,2528,63,16,279,4,0,4
79,04/10/20,2752,66,16,224,3,0,3
80,04/11/20,2974,74,17,222,8,1,9
81,04/12/20,3234,79,23,260,5,6,11
82,04/13/20,3400,87,29,166,8,6,14
83,04/14/20,3472,94,61,72,7,32,39
84,04/15/20,3574,95,72,102,1,11,12
85,04/16/20,3751,103,75,177,8,3,11
86,04/17/20,4016,109,98,265,6,23,29
87,04/18/20,4210,116,122,194,7,24,31
88,04/19/20,4273,120,140,63,4,18,22
89,04/20/20,4467,126,165,194,6,25,31
90,04/21/20,4658,136,204,191,10,39,49
91,04/22/20,4821,141,231,163,5,27,32
92,04/23/20,5166,146,271,345,5,40,45
93,04/24/20,5338,154,319,172,8,48,56
94,04/25/20,5538,159,338,200,5,19,24
95,04/26/20,5779,165,338,241,6,0,6
96,04/27/20,6021,167,455,242,2,117,119
97,04/28/20,6021,167,455,0,0,0,0
