,dates2,cum_cases,cum_deaths,cum_recover,new_cases,new_deaths,new_recover,new_uninfected
0,01/22/20,0,0,0,0,0,0,0
1,01/23/20,0,0,0,0,0,0,0
2,01/24/20,0,0,0,0,0,0,0
3,01/25/20,0,0,0,0,0,0,0
4,01/26/20,0,0,0,0,0,0,0
5,01/27/20,0,0,0,0,0,0,0
6,01/28/20,0,0,0,0,0,0,0
7,01/29/20,0,0,0,0,0,0,0
8,01/30/20,0,0,0,0,0,0,0
9,01/31/20,0,0,0,0,0,0,0
10,02/01/20,0,0,0,0,0,0,0
11,02/02/20,0,0,0,0,0,0,0
12,02/03/20,0,0,0,0,0,0,0
13,02/04/20,0,0,0,0,0,0,0
14,02/05/20,0,0,0,0,0,0,0
15,02/06/20,0,0,0,0,0,0,0
16,02/07/20,0,0,0,0,0,0,0
17,02/08/20,0,0,0,0,0,0,0
18,02/09/20,0,0,0,0,0,0,0
19,02/10/20,0,0,0,0,0,0,0
20,02/11/20,0,0,0,0,0,0,0
21,02/12/20,0,0,0,0,0,0,0
22,02/13/20,0,0,0,0,0,0,0
23,02/14/20,0,0,0,0,0,0,0
24,02/15/20,0,0,0,0,0,0,0
25,02/16/20,0,0,0,0,0,0,0
26,02/17/20,0,0,0,0,0,0,0
27,02/18/20,0,0,0,0,0,0,0
28,02/19/20,0,0,0,0,0,0,0
29,02/20/20,0,0,0,0,0,0,0
30,02/21/20,0,0,0,0,0,0,0
31,02/22/20,0,0,0,0,0,0,0
32,02/23/20,0,0,0,0,0,0,0
33,02/24/20,0,0,0,0,0,0,0
34,02/25/20,0,0,0,0,0,0,0
35,02/26/20,0,0,0,0,0,0,0
36,02/27/20,0,0,0,0,0,0,0
37,02/28/20,0,0,0,0,0,0,0
38,02/29/20,0,0,0,0,0,0,0
39,03/01/20,0,0,0,0,0,0,0
40,03/02/20,2,0,0,2,0,0,0
41,03/03/20,2,0,0,0,0,0,0
42,03/04/20,5,0,0,3,0,0,0
43,03/05/20,8,0,0,3,0,0,0
44,03/06/20,13,0,0,5,0,0,0
45,03/07/20,20,0,0,7,0,0,0
46,03/08/20,30,0,0,10,0,0,0
47,03/09/20,30,0,0,0,0,0,0
48,03/10/20,41,0,0,11,0,0,0
49,03/11/20,59,0,0,18,0,0,0
50,03/12/20,59,0,0,0,0,0,0
51,03/13/20,112,0,1,53,0,1,1
52,03/14/20,169,0,2,57,0,1,1
53,03/15/20,245,0,2,76,0,0,0
54,03/16/20,331,0,3,86,0,1,1
55,03/17/20,448,1,3,117,1,0,1
56,03/18/20,448,2,3,0,1,0,1
57,03/19/20,785,3,3,337,1,0,1
58,03/20/20,1020,6,5,235,3,2,5
59,03/21/20,1280,12,5,260,6,0,6
60,03/22/20,1600,14,5,320,2,0,2
61,03/23/20,2060,23,5,460,9,0,9
62,03/24/20,2362,33,22,302,10,17,27
63,03/25/20,2995,43,22,633,10,0,10
64,03/26/20,3544,60,43,549,17,21,38
65,03/27/20,4268,76,43,724,16,0,16
66,03/28/20,5170,100,43,902,24,0,24
67,03/29/20,5962,119,43,792,19,0,19
68,03/30/20,6408,140,43,446,21,0,21
69,03/31/20,7443,160,43,1035,20,0,20
70,04/01/20,8251,187,43,808,27,0,27
71,04/02/20,9034,209,68,783,22,25,47
72,04/03/20,9886,246,68,852,37,0,37
73,04/04/20,10524,266,75,638,20,7,27
74,04/05/20,11278,295,75,754,29,0,29
75,04/06/20,11730,311,140,452,16,65,81
76,04/07/20,12442,345,184,712,34,44,78
77,04/08/20,13141,380,196,699,35,12,47
78,04/09/20,13956,409,205,815,29,9,38
79,04/10/20,15472,435,233,1516,26,28,54
80,04/11/20,15987,470,266,515,35,33,68
81,04/12/20,16585,504,277,598,34,11,45
82,04/13/20,16934,535,277,349,31,0,31
83,04/14/20,17448,567,347,514,32,70,102
84,04/15/20,18091,599,383,643,32,36,68
85,04/16/20,18841,629,493,750,30,110,140
86,04/17/20,19022,657,519,181,28,26,54
87,04/18/20,19685,687,610,663,30,91,121
88,04/19/20,20206,714,610,521,27,0,27
89,04/20/20,20863,735,610,657,21,0,21
90,04/21/20,21379,762,917,516,27,307,334
91,04/22/20,21982,785,1143,603,23,226,249
92,04/23/20,22353,820,1201,371,35,58,93
93,04/24/20,22797,854,1228,444,34,27,61
94,04/25/20,23392,880,1277,595,26,49,75
95,04/26/20,23864,903,1329,472,23,52,75
96,04/27/20,24027,928,1357,163,25,28,53
97,04/28/20,24322,948,1389,295,20,32,52
