,dates2,cum_cases,cum_deaths,cum_recover,new_cases,new_deaths,new_recover,new_uninfected
0,01/22/20,0,0,0,0,0,0,0
1,01/23/20,0,0,0,0,0,0,0
2,01/24/20,0,0,0,0,0,0,0
3,01/25/20,0,0,0,0,0,0,0
4,01/26/20,0,0,0,0,0,0,0
5,01/27/20,0,0,0,0,0,0,0
6,01/28/20,0,0,0,0,0,0,0
7,01/29/20,0,0,0,0,0,0,0
8,01/30/20,0,0,0,0,0,0,0
9,01/31/20,0,0,0,0,0,0,0
10,02/01/20,0,0,0,0,0,0,0
11,02/02/20,0,0,0,0,0,0,0
12,02/03/20,0,0,0,0,0,0,0
13,02/04/20,0,0,0,0,0,0,0
14,02/05/20,0,0,0,0,0,0,0
15,02/06/20,0,0,0,0,0,0,0
16,02/07/20,0,0,0,0,0,0,0
17,02/08/20,0,0,0,0,0,0,0
18,02/09/20,0,0,0,0,0,0,0
19,02/10/20,0,0,0,0,0,0,0
20,02/11/20,0,0,0,0,0,0,0
21,02/12/20,0,0,0,0,0,0,0
22,02/13/20,0,0,0,0,0,0,0
23,02/14/20,0,0,0,0,0,0,0
24,02/15/20,0,0,0,0,0,0,0
25,02/16/20,0,0,0,0,0,0,0
26,02/17/20,0,0,0,0,0,0,0
27,02/18/20,0,0,0,0,0,0,0
28,02/19/20,0,0,0,0,0,0,0
29,02/20/20,0,0,0,0,0,0,0
30,02/21/20,0,0,0,0,0,0,0
31,02/22/20,0,0,0,0,0,0,0
32,02/23/20,0,0,0,0,0,0,0
33,02/24/20,0,0,0,0,0,0,0
34,02/25/20,0,0,0,0,0,0,0
35,02/26/20,0,0,0,0,0,0,0
36,02/27/20,0,0,0,0,0,0,0
37,02/28/20,0,0,0,0,0,0,0
38,02/29/20,1,0,0,1,0,0,0
39,03/01/20,3,0,0,2,0,0,0
40,03/02/20,3,0,0,0,0,0,0
41,03/03/20,7,0,0,4,0,0,0
42,03/04/20,8,0,0,1,0,0,0
43,03/05/20,8,0,0,0,0,0,0
44,03/06/20,8,0,0,0,0,0,0
45,03/07/20,8,0,0,0,0,0,0
46,03/08/20,15,0,0,7,0,0,0
47,03/09/20,18,0,0,3,0,0,0
48,03/10/20,24,0,0,6,0,0,0
49,03/11/20,262,0,0,238,0,0,0
50,03/12/20,262,0,0,0,0,0,0
51,03/13/20,320,0,0,58,0,0,0
52,03/14/20,337,0,4,17,0,4,4
53,03/15/20,401,0,4,64,0,0,0
54,03/16/20,439,0,4,38,0,0,0
55,03/17/20,439,0,4,0,0,0,0
56,03/18/20,452,0,4,13,0,0,0
57,03/19/20,460,0,4,8,0,0,0
58,03/20/20,470,0,10,10,0,6,6
59,03/21/20,481,0,27,11,0,17,17
60,03/22/20,494,0,33,13,0,6,6
61,03/23/20,501,0,33,7,0,0,0
62,03/24/20,526,0,41,25,0,8,8
63,03/25/20,537,0,41,11,0,0,0
64,03/26/20,549,0,43,12,0,2,2
65,03/27/20,562,0,43,13,0,0,0
66,03/28/20,590,1,45,28,1,2,3
67,03/29/20,634,1,48,44,0,3,3
68,03/30/20,693,1,51,59,0,3,3
69,03/31/20,781,2,62,88,1,11,12
70,04/01/20,835,2,71,54,0,9,9
71,04/02/20,949,3,72,114,1,1,2
72,04/03/20,1075,3,93,126,0,21,21
73,04/04/20,1325,3,109,250,0,16,16
74,04/05/20,1604,4,123,279,1,14,15
75,04/06/20,1832,4,131,228,0,8,8
76,04/07/20,2057,6,150,225,2,19,21
77,04/08/20,2210,6,178,153,0,28,28
78,04/09/20,2376,6,206,166,0,28,28
79,04/10/20,2512,6,227,136,0,21,21
80,04/11/20,2728,6,247,216,0,20,20
81,04/12/20,2979,7,275,251,1,28,29
82,04/13/20,3231,7,334,252,0,59,59
83,04/14/20,3428,7,373,197,0,39,39
84,04/15/20,3711,7,406,283,0,33,33
85,04/16/20,4103,7,415,392,0,9,9
86,04/17/20,4663,7,464,560,0,49,49
87,04/18/20,5008,8,510,345,1,46,47
88,04/19/20,5448,8,518,440,0,8,8
89,04/20/20,6015,9,555,567,1,37,38
90,04/21/20,6533,9,614,518,0,59,59
91,04/22/20,7141,10,689,608,1,75,76
92,04/23/20,7764,10,750,623,0,61,61
93,04/24/20,8525,10,809,761,0,59,59
94,04/25/20,9358,10,929,833,0,120,120
95,04/26/20,10287,10,1012,929,0,83,83
96,04/27/20,11244,10,1066,957,0,54,54
97,04/28/20,11921,10,1134,677,0,68,68
