,dates2,cum_cases,cum_deaths,cum_recover,new_cases,new_deaths,new_recover,new_uninfected
0,01/22/20,0,0,0,0,0,0,0
1,01/23/20,0,0,0,0,0,0,0
2,01/24/20,0,0,0,0,0,0,0
3,01/25/20,0,0,0,0,0,0,0
4,01/26/20,0,0,0,0,0,0,0
5,01/27/20,0,0,0,0,0,0,0
6,01/28/20,0,0,0,0,0,0,0
7,01/29/20,0,0,0,0,0,0,0
8,01/30/20,0,0,0,0,0,0,0
9,01/31/20,2,0,0,2,0,0,0
10,02/01/20,2,0,0,0,0,0,0
11,02/02/20,2,0,0,0,0,0,0
12,02/03/20,2,0,0,0,0,0,0
13,02/04/20,2,0,0,0,0,0,0
14,02/05/20,2,0,0,0,0,0,0
15,02/06/20,2,0,0,0,0,0,0
16,02/07/20,2,0,0,0,0,0,0
17,02/08/20,2,0,0,0,0,0,0
18,02/09/20,2,0,0,0,0,0,0
19,02/10/20,2,0,0,0,0,0,0
20,02/11/20,2,0,0,0,0,0,0
21,02/12/20,2,0,2,0,0,2,2
22,02/13/20,2,0,2,0,0,0,0
23,02/14/20,2,0,2,0,0,0,0
24,02/15/20,2,0,2,0,0,0,0
25,02/16/20,2,0,2,0,0,0,0
26,02/17/20,2,0,2,0,0,0,0
27,02/18/20,2,0,2,0,0,0,0
28,02/19/20,2,0,2,0,0,0,0
29,02/20/20,2,0,2,0,0,0,0
30,02/21/20,2,0,2,0,0,0,0
31,02/22/20,2,0,2,0,0,0,0
32,02/23/20,2,0,2,0,0,0,0
33,02/24/20,2,0,2,0,0,0,0
34,02/25/20,2,0,2,0,0,0,0
35,02/26/20,2,0,2,0,0,0,0
36,02/27/20,2,0,2,0,0,0,0
37,02/28/20,2,0,2,0,0,0,0
38,02/29/20,2,0,2,0,0,0,0
39,03/01/20,2,0,2,0,0,0,0
40,03/02/20,3,0,2,1,0,0,0
41,03/03/20,3,0,2,0,0,0,0
42,03/04/20,3,0,2,0,0,0,0
43,03/05/20,4,0,2,1,0,0,0
44,03/06/20,13,0,2,9,0,0,0
45,03/07/20,13,0,2,0,0,0,0
46,03/08/20,17,0,3,4,0,1,1
47,03/09/20,17,0,3,0,0,0,0
48,03/10/20,20,0,3,3,0,0,0
49,03/11/20,20,0,3,0,0,0,0
50,03/12/20,28,0,3,8,0,0,0
51,03/13/20,45,0,3,17,0,0,0
52,03/14/20,59,0,8,14,0,5,5
53,03/15/20,63,0,8,4,0,0,0
54,03/16/20,90,0,8,27,0,0,0
55,03/17/20,114,0,8,24,0,0,0
56,03/18/20,147,0,8,33,0,0,0
57,03/19/20,199,1,9,52,1,1,2
58,03/20/20,253,1,9,54,0,0,0
59,03/21/20,306,1,12,53,0,3,3
60,03/22/20,367,1,16,61,0,4,4
61,03/23/20,438,1,16,71,0,0,0
62,03/24/20,495,1,22,57,0,6,6
63,03/25/20,658,3,29,163,2,7,9
64,03/26/20,840,3,38,182,0,9,9
65,03/27/20,1036,4,45,196,1,7,8
66,03/28/20,1264,4,49,228,0,4,4
67,03/29/20,1534,8,64,270,4,15,19
68,03/30/20,1836,9,66,302,1,2,3
69,03/31/20,2337,17,121,501,8,55,63
70,04/01/20,2777,24,190,440,7,69,76
71,04/02/20,3548,30,235,771,6,45,51
72,04/03/20,4149,34,281,601,4,46,50
73,04/04/20,4731,43,333,582,9,52,61
74,04/05/20,5389,45,355,658,2,22,24
75,04/06/20,6343,47,406,954,2,51,53
76,04/07/20,7497,58,494,1154,11,88,99
77,04/08/20,8672,63,580,1175,5,86,91
78,04/09/20,10131,76,698,1459,13,118,131
79,04/10/20,11917,94,795,1786,18,97,115
80,04/11/20,13584,106,1045,1667,12,250,262
81,04/12/20,15770,130,1291,2186,24,246,270
82,04/13/20,18328,148,1470,2558,18,179,197
83,04/14/20,21102,170,1694,2774,22,224,246
84,04/15/20,24490,198,1986,3388,28,292,320
85,04/16/20,27938,232,2304,3448,34,318,352
86,04/17/20,32008,273,2590,4070,41,286,327
87,04/18/20,36793,313,3057,4785,40,467,507
88,04/19/20,42853,361,3291,6060,48,234,282
89,04/20/20,47121,405,3446,4268,44,155,199
90,04/21/20,52763,456,3873,5642,51,427,478
91,04/22/20,57999,513,4420,5236,57,547,604
92,04/23/20,62773,555,4891,4774,42,471,513
93,04/24/20,68622,615,5568,5849,60,677,737
94,04/25/20,74588,681,6250,5966,66,682,748
95,04/26/20,80949,747,6767,6361,66,517,583
96,04/27/20,87147,794,7346,6198,47,579,626
97,04/28/20,93558,867,8456,6411,73,1110,1183
