,dates2,cum_cases,cum_deaths,cum_recover,new_cases,new_deaths,new_recover,new_uninfected
0,01/22/20,0,0,0,0,0,0,0
1,01/23/20,0,0,0,0,0,0,0
2,01/24/20,0,0,0,0,0,0,0
3,01/25/20,0,0,0,0,0,0,0
4,01/26/20,0,0,0,0,0,0,0
5,01/27/20,0,0,0,0,0,0,0
6,01/28/20,0,0,0,0,0,0,0
7,01/29/20,0,0,0,0,0,0,0
8,01/30/20,0,0,0,0,0,0,0
9,01/31/20,0,0,0,0,0,0,0
10,02/01/20,0,0,0,0,0,0,0
11,02/02/20,0,0,0,0,0,0,0
12,02/03/20,0,0,0,0,0,0,0
13,02/04/20,0,0,0,0,0,0,0
14,02/05/20,0,0,0,0,0,0,0
15,02/06/20,0,0,0,0,0,0,0
16,02/07/20,0,0,0,0,0,0,0
17,02/08/20,0,0,0,0,0,0,0
18,02/09/20,0,0,0,0,0,0,0
19,02/10/20,0,0,0,0,0,0,0
20,02/11/20,0,0,0,0,0,0,0
21,02/12/20,0,0,0,0,0,0,0
22,02/13/20,0,0,0,0,0,0,0
23,02/14/20,0,0,0,0,0,0,0
24,02/15/20,0,0,0,0,0,0,0
25,02/16/20,0,0,0,0,0,0,0
26,02/17/20,0,0,0,0,0,0,0
27,02/18/20,0,0,0,0,0,0,0
28,02/19/20,0,0,0,0,0,0,0
29,02/20/20,0,0,0,0,0,0,0
30,02/21/20,0,0,0,0,0,0,0
31,02/22/20,0,0,0,0,0,0,0
32,02/23/20,0,0,0,0,0,0,0
33,02/24/20,0,0,0,0,0,0,0
34,02/25/20,0,0,0,0,0,0,0
35,02/26/20,0,0,0,0,0,0,0
36,02/27/20,1,0,0,1,0,0,0
37,02/28/20,1,0,0,0,0,0,0
38,02/29/20,1,0,0,0,0,0,0
39,03/01/20,1,0,0,0,0,0,0
40,03/02/20,8,0,0,7,0,0,0
41,03/03/20,10,1,0,2,1,0,1
42,03/04/20,16,1,0,6,0,0,0
43,03/05/20,21,1,0,5,0,0,0
44,03/06/20,21,1,0,0,0,0,0
45,03/07/20,23,1,0,2,0,0,0
46,03/08/20,36,1,0,13,0,0,0
47,03/09/20,36,1,0,0,0,0,0
48,03/10/20,51,2,0,15,1,0,1
49,03/11/20,62,2,0,11,0,0,0
50,03/12/20,69,3,0,7,1,0,1
51,03/13/20,80,5,0,11,2,0,2
52,03/14/20,80,5,4,0,0,4,4
53,03/15/20,101,5,4,21,0,0,0
54,03/16/20,109,7,4,8,2,0,2
55,03/17/20,109,7,4,0,0,0,0
56,03/18/20,119,11,4,10,4,0,4
57,03/19/20,119,11,4,0,0,0,0
58,03/20/20,144,14,4,25,3,0,3
59,03/21/20,144,20,4,0,6,0,6
60,03/22/20,175,20,4,31,0,0,0
61,03/23/20,187,20,4,12,0,0,0
62,03/24/20,187,21,4,0,1,0,1
63,03/25/20,208,21,4,21,0,0,0
64,03/26/20,208,21,4,0,0,0,0
65,03/27/20,223,21,4,15,0,0,0
66,03/28/20,224,22,6,1,1,2,3
67,03/29/20,224,22,6,0,0,0,0
68,03/30/20,230,25,13,6,3,7,10
69,03/31/20,236,26,13,6,1,0,1
70,04/01/20,236,26,13,0,0,0,0
71,04/02/20,245,30,21,9,4,8,12
72,04/03/20,245,30,21,0,0,0,0
73,04/04/20,259,32,27,14,2,6,8
74,04/05/20,266,32,35,7,0,8,8
75,04/06/20,266,32,35,0,0,0,0
76,04/07/20,279,34,40,13,2,5,7
77,04/08/20,279,34,40,0,0,0,0
78,04/09/20,333,34,49,54,0,9,9
79,04/10/20,344,34,50,11,0,1,1
80,04/11/20,356,35,53,12,1,3,4
81,04/12/20,356,35,53,0,0,0,0
82,04/13/20,356,35,53,0,0,0,0
83,04/14/20,371,36,53,15,1,0,1
84,04/15/20,372,36,53,1,0,0,0
85,04/16/20,426,38,55,54,2,2,4
86,04/17/20,435,39,57,9,1,2,3
87,04/18/20,455,39,60,20,0,3,3
88,04/19/20,461,39,60,6,0,0,0
89,04/20/20,462,39,61,1,0,1,1
90,04/21/20,476,40,62,14,1,1,2
91,04/22/20,488,40,62,12,0,0,0
92,04/23/20,501,40,63,13,0,1,1
93,04/24/20,513,40,64,12,0,1,1
94,04/25/20,513,40,64,0,0,0,0
95,04/26/20,538,41,64,25,1,0,1
96,04/27/20,538,41,64,0,0,0,0
97,04/28/20,553,41,64,15,0,0,0
