dates2,cum_cases,cum_deaths,cum_recover,new_cases,new_deaths,new_recover,new_uninfected
01/22/20,0,0,0,0,0,0,0
01/23/20,0,0,0,0,0,0,0
01/24/20,0,0,0,0,0,0,0
01/25/20,0,0,0,0,0,0,0
01/26/20,0,0,0,0,0,0,0
01/27/20,0,0,0,0,0,0,0
01/28/20,0,0,0,0,0,0,0
01/29/20,0,0,0,0,0,0,0
01/30/20,0,0,0,0,0,0,0
01/31/20,0,0,0,0,0,0,0
02/01/20,0,0,0,0,0,0,0
02/02/20,0,0,0,0,0,0,0
02/03/20,0,0,0,0,0,0,0
02/04/20,0,0,0,0,0,0,0
02/05/20,0,0,0,0,0,0,0
02/06/20,0,0,0,0,0,0,0
02/07/20,0,0,0,0,0,0,0
02/08/20,0,0,0,0,0,0,0
02/09/20,0,0,0,0,0,0,0
02/10/20,0,0,0,0,0,0,0
02/11/20,0,0,0,0,0,0,0
02/12/20,0,0,0,0,0,0,0
02/13/20,0,0,0,0,0,0,0
02/14/20,0,0,0,0,0,0,0
02/15/20,0,0,0,0,0,0,0
02/16/20,0,0,0,0,0,0,0
02/17/20,0,0,0,0,0,0,0
02/18/20,0,0,0,0,0,0,0
02/19/20,0,0,0,0,0,0,0
02/20/20,0,0,0,0,0,0,0
02/21/20,0,0,0,0,0,0,0
02/22/20,0,0,0,0,0,0,0
02/23/20,0,0,0,0,0,0,0
02/24/20,0,0,0,0,0,0,0
02/25/20,0,0,0,0,0,0,0
02/26/20,0,0,0,0,0,0,0
02/27/20,0,0,0,0,0,0,0
02/28/20,0,0,0,0,0,0,0
02/29/20,0,0,0,0,0,0,0
03/01/20,0,0,0,0,0,0,0
03/02/20,1,0,0,1,0,0,0
03/03/20,1,0,0,0,0,0,0
03/04/20,1,0,0,0,0,0,0
03/05/20,5,0,0,4,0,0,0
03/06/20,5,0,0,0,0,0,0
03/07/20,5,0,0,0,0,0,0
03/08/20,11,0,0,6,0,0,0
03/09/20,15,0,0,4,0,0,0
03/10/20,20,0,1,5,0,1,1
03/11/20,21,0,1,1,0,0,0
03/12/20,45,0,1,24,0,0,0
03/13/20,86,0,1,41,0,0,0
03/14/20,103,0,1,17,0,0,0
03/15/20,103,0,1,0,0,0,0
03/16/20,118,0,2,15,0,1,1
03/17/20,171,0,6,53,0,4,4
03/18/20,171,0,6,0,0,0,0
03/19/20,274,0,6,103,0,0,0
03/20/20,344,0,8,70,0,2,2
03/21/20,392,0,16,48,0,8,8
03/22/20,511,0,16,119,0,0,0
03/23/20,562,0,16,51,0,0,0
03/24/20,767,1,28,205,1,12,13
03/25/20,900,2,29,133,1,1,2
03/26/20,1012,3,33,112,1,4,5
03/27/20,1104,3,35,92,0,2,2
03/28/20,1203,4,37,99,1,2,3
03/29/20,1299,8,66,96,4,29,33
03/30/20,1453,8,115,154,0,49,49
03/31/20,1563,10,165,110,2,50,52
04/01/20,1720,16,264,157,6,99,105
04/02/20,1885,21,328,165,5,64,69
04/03/20,2039,25,351,154,4,23,27
04/04/20,2179,29,420,140,4,69,73
04/05/20,2402,34,488,223,5,68,73
04/06/20,2605,38,551,203,4,63,67
04/07/20,2795,41,615,190,3,64,67
04/08/20,2932,41,631,137,0,16,16
04/09/20,3287,44,666,355,3,35,38
04/10/20,3651,47,685,364,3,19,22
04/11/20,4033,52,720,382,5,35,40
04/12/20,4462,59,761,429,7,41,48
04/13/20,4934,65,805,472,6,44,50
04/14/20,5369,73,889,435,8,84,92
04/15/20,5862,79,931,493,6,42,48
04/16/20,6380,83,990,518,4,59,63
