,dates2,cum_cases,cum_deaths,cum_recover,new_cases,new_deaths,new_recover,new_uninfected
0,01/22/20,0,0,0,0,0,0,0
1,01/23/20,0,0,0,0,0,0,0
2,01/24/20,0,0,0,0,0,0,0
3,01/25/20,0,0,0,0,0,0,0
4,01/26/20,0,0,0,0,0,0,0
5,01/27/20,0,0,0,0,0,0,0
6,01/28/20,0,0,0,0,0,0,0
7,01/29/20,0,0,0,0,0,0,0
8,01/30/20,0,0,0,0,0,0,0
9,01/31/20,0,0,0,0,0,0,0
10,02/01/20,0,0,0,0,0,0,0
11,02/02/20,0,0,0,0,0,0,0
12,02/03/20,0,0,0,0,0,0,0
13,02/04/20,0,0,0,0,0,0,0
14,02/05/20,0,0,0,0,0,0,0
15,02/06/20,0,0,0,0,0,0,0
16,02/07/20,0,0,0,0,0,0,0
17,02/08/20,0,0,0,0,0,0,0
18,02/09/20,0,0,0,0,0,0,0
19,02/10/20,0,0,0,0,0,0,0
20,02/11/20,0,0,0,0,0,0,0
21,02/12/20,0,0,0,0,0,0,0
22,02/13/20,0,0,0,0,0,0,0
23,02/14/20,0,0,0,0,0,0,0
24,02/15/20,0,0,0,0,0,0,0
25,02/16/20,0,0,0,0,0,0,0
26,02/17/20,0,0,0,0,0,0,0
27,02/18/20,0,0,0,0,0,0,0
28,02/19/20,0,0,0,0,0,0,0
29,02/20/20,0,0,0,0,0,0,0
30,02/21/20,0,0,0,0,0,0,0
31,02/22/20,0,0,0,0,0,0,0
32,02/23/20,0,0,0,0,0,0,0
33,02/24/20,0,0,0,0,0,0,0
34,02/25/20,0,0,0,0,0,0,0
35,02/26/20,0,0,0,0,0,0,0
36,02/27/20,0,0,0,0,0,0,0
37,02/28/20,0,0,0,0,0,0,0
38,02/29/20,0,0,0,0,0,0,0
39,03/01/20,0,0,0,0,0,0,0
40,03/02/20,1,0,0,1,0,0,0
41,03/03/20,2,0,0,1,0,0,0
42,03/04/20,4,0,0,2,0,0,0
43,03/05/20,4,0,0,0,0,0,0
44,03/06/20,4,0,0,0,0,0,0
45,03/07/20,4,0,0,0,0,0,0
46,03/08/20,4,0,1,0,0,1,1
47,03/09/20,4,0,1,0,0,0,0
48,03/10/20,4,0,1,0,0,0,0
49,03/11/20,4,0,1,0,0,0,0
50,03/12/20,4,0,1,0,0,0,0
51,03/13/20,10,0,1,6,0,0,0
52,03/14/20,10,0,1,0,0,0,0
53,03/15/20,24,0,1,14,0,0,0
54,03/16/20,24,0,2,0,0,1,1
55,03/17/20,26,0,2,2,0,0,0
56,03/18/20,31,0,2,5,0,0,0
57,03/19/20,31,0,2,0,0,0,0
58,03/20/20,38,0,2,7,0,0,0
59,03/21/20,47,0,5,9,0,3,3
60,03/22/20,67,0,5,20,0,0,0
61,03/23/20,79,0,5,12,0,0,0
62,03/24/20,86,0,8,7,0,3,3
63,03/25/20,99,0,9,13,0,1,1
64,03/26/20,105,0,9,6,0,0,0
65,03/27/20,119,0,11,14,0,2,2
66,03/28/20,130,0,18,11,0,7,7
67,03/29/20,142,0,27,12,0,9,9
68,03/30/20,162,0,27,20,0,0,0
69,03/31/20,175,0,40,13,0,13,13
70,04/01/20,190,1,45,15,1,5,6
71,04/02/20,195,1,55,5,0,10,10
72,04/03/20,207,1,66,12,0,11,11
73,04/04/20,219,2,72,12,1,6,7
74,04/05/20,222,2,82,3,0,10,10
75,04/06/20,226,2,92,4,0,10,10
76,04/07/20,237,2,105,11,0,13,13
77,04/08/20,244,2,113,7,0,8,8
78,04/09/20,250,2,123,6,0,10,10
79,04/10/20,265,2,137,15,0,14,14
80,04/11/20,278,2,152,13,0,15,15
81,04/12/20,280,2,171,2,0,19,19
82,04/13/20,291,2,178,11,0,7,7
83,04/14/20,299,2,183,8,0,5,5
84,04/15/20,314,2,190,15,0,7,7
85,04/16/20,335,2,194,21,0,4,4
86,04/17/20,342,2,198,7,0,4,4
87,04/18/20,350,3,211,8,1,13,14
88,04/19/20,367,3,220,17,0,9,9
89,04/20/20,377,5,235,10,2,15,17
90,04/21/20,412,5,242,35,0,7,7
91,04/22/20,442,6,253,30,1,11,12
92,04/23/20,479,6,257,37,0,4,4
93,04/24/20,545,7,262,66,1,5,6
94,04/25/20,614,7,276,69,0,14,14
95,04/26/20,671,9,283,57,2,7,9
96,04/27/20,736,9,284,65,0,1,1
97,04/28/20,823,9,296,87,0,12,12
