,dates2,cum_cases,cum_deaths,cum_recover,new_cases,new_deaths,new_recover,new_uninfected
0,01/22/20,0,0,0,0,0,0,0
1,01/23/20,1,0,0,1,0,0,0
2,01/24/20,3,0,0,2,0,0,0
3,01/25/20,3,0,0,0,0,0,0
4,01/26/20,4,0,0,1,0,0,0
5,01/27/20,5,0,0,1,0,0,0
6,01/28/20,7,0,0,2,0,0,0
7,01/29/20,7,0,0,0,0,0,0
8,01/30/20,10,0,0,3,0,0,0
9,01/31/20,13,0,0,3,0,0,0
10,02/01/20,16,0,0,3,0,0,0
11,02/02/20,18,0,0,2,0,0,0
12,02/03/20,18,0,0,0,0,0,0
13,02/04/20,24,0,0,6,0,0,0
14,02/05/20,28,0,0,4,0,0,0
15,02/06/20,28,0,0,0,0,0,0
16,02/07/20,30,0,0,2,0,0,0
17,02/08/20,33,0,2,3,0,2,2
18,02/09/20,40,0,2,7,0,0,0
19,02/10/20,45,0,2,5,0,0,0
20,02/11/20,47,0,9,2,0,7,7
21,02/12/20,50,0,15,3,0,6,6
22,02/13/20,58,0,15,8,0,0,0
23,02/14/20,67,0,17,9,0,2,2
24,02/15/20,72,0,18,5,0,1,1
25,02/16/20,75,0,18,3,0,0,0
26,02/17/20,77,0,24,2,0,6,6
27,02/18/20,81,0,29,4,0,5,5
28,02/19/20,84,0,34,3,0,5,5
29,02/20/20,84,0,34,0,0,0,0
30,02/21/20,85,0,37,1,0,3,3
31,02/22/20,85,0,37,0,0,0,0
32,02/23/20,89,0,51,4,0,14,14
33,02/24/20,89,0,51,0,0,0,0
34,02/25/20,91,0,53,2,0,2,2
35,02/26/20,93,0,62,2,0,9,9
36,02/27/20,93,0,62,0,0,0,0
37,02/28/20,93,0,62,0,0,0,0
38,02/29/20,102,0,72,9,0,10,10
39,03/01/20,106,0,72,4,0,0,0
40,03/02/20,108,0,78,2,0,6,6
41,03/03/20,110,0,78,2,0,0,0
42,03/04/20,110,0,78,0,0,0,0
43,03/05/20,117,0,78,7,0,0,0
44,03/06/20,130,0,78,13,0,0,0
45,03/07/20,138,0,78,8,0,0,0
46,03/08/20,150,0,78,12,0,0,0
47,03/09/20,150,0,78,0,0,0,0
48,03/10/20,160,0,78,10,0,0,0
49,03/11/20,178,0,96,18,0,18,18
50,03/12/20,178,0,96,0,0,0,0
51,03/13/20,200,0,97,22,0,1,1
52,03/14/20,212,0,105,12,0,8,8
53,03/15/20,226,0,105,14,0,0,0
54,03/16/20,243,0,109,17,0,4,4
55,03/17/20,266,0,114,23,0,5,5
56,03/18/20,313,0,114,47,0,0,0
57,03/19/20,345,0,114,32,0,0,0
58,03/20/20,385,0,124,40,0,10,10
59,03/21/20,432,2,140,47,2,16,18
60,03/22/20,455,2,144,23,0,4,4
61,03/23/20,509,2,144,54,0,0,0
62,03/24/20,558,2,156,49,0,12,12
63,03/25/20,631,2,160,73,0,4,4
64,03/26/20,683,2,172,52,0,12,12
65,03/27/20,732,2,183,49,0,11,11
66,03/28/20,802,2,198,70,0,15,15
67,03/29/20,844,3,212,42,1,14,15
68,03/30/20,879,3,228,35,0,16,16
69,03/31/20,926,3,240,47,0,12,12
70,04/01/20,1000,3,245,74,0,5,5
71,04/02/20,1049,4,266,49,1,21,22
72,04/03/20,1114,5,282,65,1,16,17
73,04/04/20,1189,6,297,75,1,15,16
74,04/05/20,1309,6,320,120,0,23,23
75,04/06/20,1375,6,344,66,0,24,24
76,04/07/20,1481,6,377,106,0,33,33
77,04/08/20,1623,6,406,142,0,29,29
78,04/09/20,1910,6,460,287,0,54,54
79,04/10/20,2108,7,492,198,1,32,33
80,04/11/20,2299,8,528,191,1,36,37
81,04/12/20,2532,8,560,233,0,32,32
82,04/13/20,2918,9,586,386,1,26,27
83,04/14/20,3252,10,611,334,1,25,26
84,04/15/20,3699,10,652,447,0,41,41
85,04/16/20,4427,10,683,728,0,31,31
86,04/17/20,5050,11,708,623,1,25,26
87,04/18/20,5992,11,740,942,0,32,32
88,04/19/20,6588,11,768,596,0,28,28
89,04/20/20,8014,11,801,1426,0,33,33
90,04/21/20,9125,11,839,1111,0,38,38
91,04/22/20,10141,12,896,1016,1,57,58
92,04/23/20,11178,12,924,1037,0,28,28
93,04/24/20,12075,12,956,897,0,32,32
94,04/25/20,12693,12,1002,618,0,46,46
95,04/26/20,13624,12,1060,931,0,58,58
