dates2,cum_cases,cum_deaths,cum_recover,new_cases,new_deaths,new_recover,new_uninfected
01/22/20,0,0,0,0,0,0,0
01/23/20,0,0,0,0,0,0,0
01/24/20,0,0,0,0,0,0,0
01/25/20,0,0,0,0,0,0,0
01/26/20,0,0,0,0,0,0,0
01/27/20,1,0,0,1,0,0,0
01/28/20,1,0,0,0,0,0,0
01/29/20,1,0,0,0,0,0,0
01/30/20,1,0,0,0,0,0,0
01/31/20,1,0,0,0,0,0,0
02/01/20,1,0,0,0,0,0,0
02/02/20,1,0,0,0,0,0,0
02/03/20,1,0,0,0,0,0,0
02/04/20,1,0,0,0,0,0,0
02/05/20,1,0,0,0,0,0,0
02/06/20,1,0,0,0,0,0,0
02/07/20,1,0,0,0,0,0,0
02/08/20,1,0,1,0,0,1,1
02/09/20,1,0,1,0,0,0,0
02/10/20,1,0,1,0,0,0,0
02/11/20,1,0,1,0,0,0,0
02/12/20,1,0,1,0,0,0,0
02/13/20,1,0,1,0,0,0,0
02/14/20,1,0,1,0,0,0,0
02/15/20,1,0,1,0,0,0,0
02/16/20,1,0,1,0,0,0,0
02/17/20,1,0,1,0,0,0,0
02/18/20,1,0,1,0,0,0,0
02/19/20,1,0,1,0,0,0,0
02/20/20,1,0,1,0,0,0,0
02/21/20,1,0,1,0,0,0,0
02/22/20,1,0,1,0,0,0,0
02/23/20,1,0,1,0,0,0,0
02/24/20,1,0,1,0,0,0,0
02/25/20,1,0,1,0,0,0,0
02/26/20,1,0,1,0,0,0,0
02/27/20,1,0,1,0,0,0,0
02/28/20,1,0,1,0,0,0,0
02/29/20,1,0,1,0,0,0,0
03/01/20,1,0,1,0,0,0,0
03/02/20,1,0,1,0,0,0,0
03/03/20,1,0,1,0,0,0,0
03/04/20,1,0,1,0,0,0,0
03/05/20,1,0,1,0,0,0,0
03/06/20,1,0,1,0,0,0,0
03/07/20,1,0,1,0,0,0,0
03/08/20,1,0,1,0,0,0,0
03/09/20,1,0,1,0,0,0,0
03/10/20,1,0,1,0,0,0,0
03/11/20,2,0,1,1,0,0,0
03/12/20,2,0,1,0,0,0,0
03/13/20,6,0,1,4,0,0,0
03/14/20,10,0,1,4,0,0,0
03/15/20,18,0,1,8,0,0,0
03/16/20,28,0,1,10,0,0,0
03/17/20,44,0,1,16,0,0,0
03/18/20,51,0,1,7,0,0,0
03/19/20,60,0,3,9,0,2,2
03/20/20,73,0,3,13,0,0,0
03/21/20,77,0,1,4,0,-2,-2
03/22/20,82,0,3,5,0,2,2
03/23/20,97,0,3,15,0,0,0
03/24/20,102,0,2,5,0,-1,-1
03/25/20,102,0,3,0,0,1,1
03/26/20,106,0,7,4,0,4,4
03/27/20,106,0,7,0,0,0,0
03/28/20,113,1,9,7,1,2,3
03/29/20,117,1,11,4,0,2,2
03/30/20,122,2,15,5,1,4,5
03/31/20,143,2,17,21,0,2,2
04/01/20,146,3,21,3,1,4,5
04/02/20,151,4,21,5,1,0,1
04/03/20,159,4,24,8,0,3,3
04/04/20,166,5,27,7,1,3,4
04/05/20,176,5,33,10,0,6,6
04/06/20,178,5,38,2,0,5,5
04/07/20,185,6,42,7,1,4,5
04/08/20,189,7,44,4,1,2,3
04/09/20,190,7,49,1,0,5,5
04/10/20,190,7,54,0,0,5,5
04/11/20,198,7,54,8,0,0,0
04/12/20,210,7,56,12,0,2,2
04/13/20,217,7,56,7,0,0,0
04/14/20,233,7,61,16,0,5,5
04/15/20,238,7,63,5,0,2,2
04/16/20,238,7,68,0,0,5,5
