,dates2,cum_cases,cum_deaths,cum_recover,new_cases,new_deaths,new_recover,new_uninfected
0,01/22/20,0,0,0,0,0,0,0
1,01/23/20,0,0,0,0,0,0,0
2,01/24/20,0,0,0,0,0,0,0
3,01/25/20,0,0,0,0,0,0,0
4,01/26/20,0,0,0,0,0,0,0
5,01/27/20,0,0,0,0,0,0,0
6,01/28/20,0,0,0,0,0,0,0
7,01/29/20,0,0,0,0,0,0,0
8,01/30/20,0,0,0,0,0,0,0
9,01/31/20,1,0,0,1,0,0,0
10,02/01/20,1,0,0,0,0,0,0
11,02/02/20,1,0,0,0,0,0,0
12,02/03/20,1,0,0,0,0,0,0
13,02/04/20,1,0,0,0,0,0,0
14,02/05/20,1,0,0,0,0,0,0
15,02/06/20,1,0,0,0,0,0,0
16,02/07/20,1,0,0,0,0,0,0
17,02/08/20,1,0,0,0,0,0,0
18,02/09/20,1,0,0,0,0,0,0
19,02/10/20,1,0,0,0,0,0,0
20,02/11/20,1,0,0,0,0,0,0
21,02/12/20,1,0,0,0,0,0,0
22,02/13/20,1,0,0,0,0,0,0
23,02/14/20,1,0,0,0,0,0,0
24,02/15/20,1,0,0,0,0,0,0
25,02/16/20,1,0,0,0,0,0,0
26,02/17/20,1,0,0,0,0,0,0
27,02/18/20,1,0,0,0,0,0,0
28,02/19/20,1,0,0,0,0,0,0
29,02/20/20,1,0,0,0,0,0,0
30,02/21/20,1,0,0,0,0,0,0
31,02/22/20,1,0,0,0,0,0,0
32,02/23/20,1,0,0,0,0,0,0
33,02/24/20,1,0,0,0,0,0,0
34,02/25/20,1,0,0,0,0,0,0
35,02/26/20,2,0,0,1,0,0,0
36,02/27/20,7,0,0,5,0,0,0
37,02/28/20,7,0,0,0,0,0,0
38,02/29/20,12,0,0,5,0,0,0
39,03/01/20,14,0,0,2,0,0,0
40,03/02/20,15,0,0,1,0,0,0
41,03/03/20,21,0,0,6,0,0,0
42,03/04/20,35,0,0,14,0,0,0
43,03/05/20,94,0,0,59,0,0,0
44,03/06/20,101,0,0,7,0,0,0
45,03/07/20,161,0,0,60,0,0,0
46,03/08/20,203,0,0,42,0,0,0
47,03/09/20,248,0,1,45,0,1,1
48,03/10/20,355,0,1,107,0,0,0
49,03/11/20,500,1,1,145,1,0,1
50,03/12/20,599,1,1,99,0,0,0
51,03/13/20,814,1,1,215,0,0,0
52,03/14/20,961,2,1,147,1,0,1
53,03/15/20,1022,3,1,61,1,0,1
54,03/16/20,1103,6,1,81,3,0,3
55,03/17/20,1190,7,1,87,1,0,1
56,03/18/20,1279,10,1,89,3,0,3
57,03/19/20,1439,11,16,160,1,15,16
58,03/20/20,1639,16,16,200,5,0,5
59,03/21/20,1763,20,16,124,4,0,4
60,03/22/20,1934,21,16,171,1,0,1
61,03/23/20,2046,25,16,112,4,0,4
62,03/24/20,2286,36,16,240,11,0,11
63,03/25/20,2526,62,16,240,26,0,26
64,03/26/20,2840,77,16,314,15,0,15
65,03/27/20,3069,105,16,229,28,0,28
66,03/28/20,3447,105,16,378,0,0,0
67,03/29/20,3700,110,16,253,5,0,5
68,03/30/20,4028,146,16,328,36,0,36
69,03/31/20,4435,180,16,407,34,0,34
70,04/01/20,4947,239,103,512,59,87,146
71,04/02/20,5568,308,103,621,69,0,69
72,04/03/20,6131,358,205,563,50,102,152
73,04/04/20,6443,373,205,312,15,0,15
74,04/05/20,6830,401,205,387,28,0,28
75,04/06/20,7206,477,205,376,76,0,76
76,04/07/20,7693,591,205,487,114,0,114
77,04/08/20,8419,687,205,726,96,0,96
78,04/09/20,9141,793,205,722,106,0,106
79,04/10/20,9685,870,381,544,77,176,253
80,04/11/20,10151,887,381,466,17,0,17
81,04/12/20,10483,899,381,332,12,0,12
82,04/13/20,10948,919,381,465,20,0,20
83,04/14/20,11445,1033,381,497,114,0,114
84,04/15/20,11927,1203,381,482,170,0,170
85,04/16/20,12540,1333,550,613,130,169,299
86,04/17/20,13216,1400,550,676,67,0,67
87,04/18/20,13822,1511,550,606,111,0,111
88,04/19/20,14385,1540,550,563,29,0,29
89,04/20/20,14777,1580,550,392,40,0,40
90,04/21/20,15322,1765,550,545,185,0,185
91,04/22/20,16004,1937,550,682,172,0,172
92,04/23/20,16755,2021,550,751,84,0,84
93,04/24/20,17567,2152,1005,812,131,455,586
94,04/25/20,18177,2192,1005,610,40,0,40
95,04/26/20,18640,2194,1005,463,2,0,2
96,04/27/20,18926,2274,1005,286,80,0,80
97,04/28/20,19621,2355,1005,695,81,0,81
