,dates2,cum_cases,cum_deaths,cum_recover,new_cases,new_deaths,new_recover,new_uninfected
0,01/22/20,0,0,0,0,0,0,0
1,01/23/20,0,0,0,0,0,0,0
2,01/24/20,0,0,0,0,0,0,0
3,01/25/20,0,0,0,0,0,0,0
4,01/26/20,0,0,0,0,0,0,0
5,01/27/20,0,0,0,0,0,0,0
6,01/28/20,0,0,0,0,0,0,0
7,01/29/20,0,0,0,0,0,0,0
8,01/30/20,0,0,0,0,0,0,0
9,01/31/20,0,0,0,0,0,0,0
10,02/01/20,0,0,0,0,0,0,0
11,02/02/20,0,0,0,0,0,0,0
12,02/03/20,0,0,0,0,0,0,0
13,02/04/20,0,0,0,0,0,0,0
14,02/05/20,0,0,0,0,0,0,0
15,02/06/20,0,0,0,0,0,0,0
16,02/07/20,0,0,0,0,0,0,0
17,02/08/20,0,0,0,0,0,0,0
18,02/09/20,0,0,0,0,0,0,0
19,02/10/20,0,0,0,0,0,0,0
20,02/11/20,0,0,0,0,0,0,0
21,02/12/20,0,0,0,0,0,0,0
22,02/13/20,0,0,0,0,0,0,0
23,02/14/20,0,0,0,0,0,0,0
24,02/15/20,0,0,0,0,0,0,0
25,02/16/20,0,0,0,0,0,0,0
26,02/17/20,0,0,0,0,0,0,0
27,02/18/20,0,0,0,0,0,0,0
28,02/19/20,0,0,0,0,0,0,0
29,02/20/20,0,0,0,0,0,0,0
30,02/21/20,0,0,0,0,0,0,0
31,02/22/20,0,0,0,0,0,0,0
32,02/23/20,0,0,0,0,0,0,0
33,02/24/20,0,0,0,0,0,0,0
34,02/25/20,1,0,0,1,0,0,0
35,02/26/20,1,0,0,0,0,0,0
36,02/27/20,8,0,0,7,0,0,0
37,02/28/20,8,0,0,0,0,0,0
38,02/29/20,18,0,0,10,0,0,0
39,03/01/20,27,0,0,9,0,0,0
40,03/02/20,42,0,0,15,0,0,0
41,03/03/20,56,0,2,14,0,2,2
42,03/04/20,90,0,3,34,0,1,1
43,03/05/20,114,1,3,24,1,0,1
44,03/06/20,214,1,3,100,0,0,0
45,03/07/20,268,1,3,54,0,0,0
46,03/08/20,337,2,3,69,1,0,1
47,03/09/20,374,2,3,37,0,0,0
48,03/10/20,491,3,3,117,1,0,1
49,03/11/20,652,4,4,161,1,1,2
50,03/12/20,652,4,4,0,0,0,0
51,03/13/20,1139,11,4,487,7,0,7
52,03/14/20,1359,13,4,220,2,0,2
53,03/15/20,2200,14,4,841,1,0,1
54,03/16/20,2200,14,4,0,0,0,0
55,03/17/20,2700,27,4,500,13,0,13
56,03/18/20,3028,28,15,328,1,11,12
57,03/19/20,4075,41,15,1047,13,0,13
58,03/20/20,5294,54,15,1219,13,0,13
59,03/21/20,6575,75,15,1281,21,0,21
60,03/22/20,7474,98,131,899,23,116,139
61,03/23/20,8795,120,131,1321,22,0,22
62,03/24/20,9877,122,131,1082,2,0,2
63,03/25/20,10897,153,131,1020,31,0,31
64,03/26/20,11811,191,131,914,38,0,38
65,03/27/20,12928,231,1530,1117,40,1399,1439
66,03/28/20,14076,264,1530,1148,33,0,33
67,03/29/20,14829,300,1595,753,36,65,101
68,03/30/20,15922,359,1823,1093,59,228,287
69,03/31/20,16605,433,1823,683,74,0,74
70,04/01/20,17768,488,2967,1163,55,1144,1199
71,04/02/20,18827,536,4013,1059,48,1046,1094
72,04/03/20,19606,591,4846,779,55,833,888
73,04/04/20,20505,666,6415,899,75,1569,1644
74,04/05/20,21100,715,6415,595,49,0,49
75,04/06/20,21657,765,8056,557,50,1641,1691
76,04/07/20,22253,821,8704,596,56,648,704
77,04/08/20,23280,895,9800,1027,74,1096,1170
78,04/09/20,24051,948,10600,771,53,800,853
79,04/10/20,24551,1002,11100,500,54,500,554
80,04/11/20,25107,1036,12100,556,34,1000,1034
81,04/12/20,25415,1106,12700,308,70,600,670
82,04/13/20,25688,1138,13700,273,32,1000,1032
83,04/14/20,25936,1174,13700,248,36,0,36
84,04/15/20,26336,1239,15400,400,65,1700,1765
85,04/16/20,26732,1281,15900,396,42,500,542
86,04/17/20,27078,1327,16400,346,46,500,546
87,04/18/20,27404,1368,17100,326,41,700,741
88,04/19/20,27740,1393,17800,336,25,700,725
89,04/20/20,27944,1429,18600,204,36,800,836
90,04/21/20,28063,1478,19400,119,49,800,849
91,04/22/20,28268,1509,19900,205,31,500,531
92,04/23/20,28496,1549,20600,228,40,700,740
93,04/24/20,28677,1589,21000,181,40,400,440
94,04/25/20,28894,1599,21300,217,10,300,310
95,04/26/20,29061,1610,21800,167,11,500,511
96,04/27/20,29164,1665,22200,103,55,400,455
97,04/28/20,29264,1699,22600,100,34,400,434
